Wall time,Step,Value
1637692590.4459658,49,0.5078125
1637692591.1734746,99,0.54296875
1637692591.9029562,149,0.55859375
1637692592.6331124,199,0.63671875
1637692593.3605704,249,0.66796875
1637692594.1184914,299,0.65234375
1637692594.8314757,349,0.62890625
1637692595.5783389,399,0.6484375
1637692596.2983766,449,0.703125
1637692598.1491086,499,0.73828125
1637692598.8770306,549,0.7421875
1637692599.6078975,599,0.7421875
1637692600.3455417,649,0.75
1637692601.087638,699,0.75
1637692601.8096714,749,0.76953125
1637692602.5408082,799,0.7890625
1637692603.285538,849,0.76953125
1637692604.0082688,899,0.8046875
1637692604.7350743,949,0.79296875
1637692606.641874,999,0.83203125
1637692607.3750055,1049,0.8984375
1637692608.1383498,1099,0.83203125
1637692608.8746665,1149,0.859375
1637692609.6020987,1199,0.9140625
1637692610.3235476,1249,0.87890625
1637692611.0524771,1299,0.859375
1637692611.7702599,1349,0.90234375
1637692612.4936862,1399,0.8359375
1637692614.3850882,1449,0.87890625
1637692615.1113532,1499,0.89453125
1637692615.8437073,1549,0.89453125
1637692616.5551834,1599,0.921875
1637692617.2734115,1649,0.890625
1637692618.0218785,1699,0.87890625
1637692618.7382178,1749,0.86328125
1637692619.4582365,1799,0.89453125
1637692620.1883087,1849,0.90625
1637692620.9071083,1899,0.90625
1637692622.3213995,1949,0.9453125
1637692623.076863,1999,0.890625
1637692623.7939405,2049,0.91015625
1637692624.512004,2099,0.84375
1637692625.2491803,2149,0.91015625
1637692625.9749591,2199,0.890625
1637692626.6806538,2249,0.87890625
1637692627.406677,2299,0.890625
1637692628.1261547,2349,0.8828125
1637692629.567536,2399,0.87890625
1637692630.3045013,2449,0.88671875
1637692631.032921,2499,0.8984375
1637692631.7721043,2549,0.86328125
1637692632.4851902,2599,0.875
1637692633.208014,2649,0.859375
1637692633.932994,2699,0.890625
1637692634.6623871,2749,0.90234375
1637692635.3729324,2799,0.87890625
1637692636.102476,2849,0.87109375
1637692637.5237973,2899,0.859375
1637692638.2406762,2949,0.8671875
1637692638.9415438,2999,0.89453125
1637692639.6548302,3049,0.87109375
1637692640.3854547,3099,0.9375
1637692641.0943315,3149,0.859375
1637692641.8163269,3199,0.88671875
1637692642.5365496,3249,0.9296875
1637692643.2907252,3299,0.90234375
1637692644.804071,3349,0.828125
1637692645.5215442,3399,0.8828125
1637692646.24783,3449,0.90234375
1637692646.9557106,3499,0.8984375
1637692647.6433542,3549,0.859375
1637692648.3496463,3599,0.890625
1637692649.0868664,3649,0.87890625
1637692649.8994682,3699,0.88671875
1637692650.6163158,3749,0.8671875
1637692651.3700616,3799,0.86328125
1637692652.8492942,3849,0.875
1637692653.5998056,3899,0.9140625
1637692654.424498,3949,0.859375
1637692655.139496,3999,0.87890625
1637692655.8781962,4049,0.91015625
1637692656.602498,4099,0.83984375
