Wall time,Step,Value
1637693372.2627313,49,0.4765625
1637693373.0173428,99,0.44140625
1637693373.7455094,149,0.53515625
1637693374.491338,199,0.54296875
1637693375.2180307,249,0.50390625
1637693375.9413865,299,0.59375
1637693376.6884036,349,0.66015625
1637693377.5080297,399,0.6015625
1637693378.2644289,449,0.61328125
1637693380.178767,499,0.75390625
1637693380.9192405,549,0.71484375
1637693381.6630166,599,0.73046875
1637693382.3938594,649,0.74609375
1637693383.1189451,699,0.79296875
1637693383.835945,749,0.8046875
1637693384.5540118,799,0.8203125
1637693385.2909856,849,0.85546875
1637693386.0221899,899,0.828125
1637693386.7506473,949,0.8359375
1637693388.6369705,999,0.8671875
1637693389.3520603,1049,0.87109375
1637693390.0875793,1099,0.890625
1637693390.8542664,1149,0.87109375
1637693391.5791833,1199,0.859375
1637693392.335857,1249,0.90625
1637693393.0475674,1299,0.8828125
1637693393.7796865,1349,0.92578125
1637693394.510659,1399,0.88671875
1637693396.4698658,1449,0.9375
1637693397.2447755,1499,0.91796875
1637693398.0105715,1549,0.8984375
1637693398.7436378,1599,0.84375
1637693399.5022087,1649,0.8828125
1637693400.2364361,1699,0.8828125
1637693401.0087855,1749,0.87109375
1637693401.7821903,1799,0.89453125
1637693402.5200646,1849,0.859375
1637693403.2852268,1899,0.88671875
1637693405.2054777,1949,0.88671875
1637693405.9308045,1999,0.890625
1637693406.6898108,2049,0.8828125
1637693407.4217703,2099,0.875
1637693408.1839714,2149,0.91015625
1637693408.9014602,2199,0.8828125
1637693409.6179404,2249,0.89453125
1637693410.3572714,2299,0.90625
1637693411.0922704,2349,0.875
1637693412.6345942,2399,0.921875
1637693413.3600261,2449,0.890625
1637693414.0871334,2499,0.90625
1637693414.8150508,2549,0.9375
1637693415.5288982,2599,0.8984375
1637693416.2420547,2649,0.90625
1637693416.9976301,2699,0.91796875
1637693417.7274187,2749,0.87109375
1637693418.4481063,2799,0.875
1637693419.1800914,2849,0.890625
1637693420.6400254,2899,0.859375
