Wall time,Step,Value
1637692968.4733915,49,0.70703125
1637692969.2364266,99,0.84765625
1637692969.9712994,149,0.890625
1637692970.7299879,199,0.8515625
1637692971.4398298,249,0.88671875
1637692972.1502752,299,0.9375
1637692972.8859575,349,0.92578125
1637692973.61589,399,0.921875
1637692974.4474404,449,0.94921875
1637692976.3822737,499,0.97265625
1637692977.1430855,549,0.9609375
1637692977.854756,599,0.95703125
1637692978.5934098,649,0.9765625
1637692979.344969,699,0.9921875
1637692980.0810437,749,0.97265625
1637692980.7970302,799,0.9609375
1637692981.5810251,849,0.96484375
1637692982.3095741,899,0.953125
1637692983.038239,949,0.97265625
1637692984.8996294,999,0.98046875
1637692985.6120396,1049,0.984375
1637692986.3473978,1099,0.98828125
1637692987.072099,1149,0.984375
1637692987.7920072,1199,0.97265625
1637692988.535499,1249,0.98046875
1637692989.2680047,1299,0.98046875
1637692990.0725827,1349,0.9609375
1637692990.8298967,1399,0.96484375
1637692992.3116643,1449,0.9609375
1637692993.0509536,1499,0.97265625
1637692993.7790637,1549,0.95703125
1637692994.504544,1599,0.953125
1637692995.2524498,1649,0.953125
1637692996.0002766,1699,0.96875
1637692996.737824,1749,0.921875
1637692997.4769094,1799,0.93359375
1637692998.204961,1849,0.94140625
1637692998.9395657,1899,0.93359375
1637693000.38444,1949,0.94140625
1637693001.124679,1999,0.9453125
1637693001.8693054,2049,0.9296875
1637693002.5858445,2099,0.93359375
1637693003.3141541,2149,0.9140625
1637693004.0459335,2199,0.93359375
1637693004.7705004,2249,0.9296875
1637693005.491467,2299,0.91796875
1637693006.2221062,2349,0.9140625
1637693007.6531975,2399,0.9375
1637693008.3763394,2449,0.9296875
1637693009.1130145,2499,0.92578125
1637693009.8487866,2549,0.9375
1637693010.586281,2599,0.91796875
1637693011.3242342,2649,0.92578125
1637693012.0364597,2699,0.88671875
1637693012.7479339,2749,0.90234375
1637693013.4852493,2799,0.90625
1637693014.2279727,2849,0.90625
1637693015.768112,2899,0.8828125
1637693016.4862726,2949,0.87890625
1637693017.2103279,2999,0.8515625
1637693017.9594018,3049,0.87890625
1637693018.687341,3099,0.91015625
1637693019.431048,3149,0.93359375
1637693020.1543365,3199,0.890625
1637693020.8618894,3249,0.875
1637693021.5887256,3299,0.84765625
1637693023.0495543,3349,0.92578125
1637693023.8083458,3399,0.8828125
1637693024.542925,3449,0.92578125
1637693025.2668285,3499,0.91796875
1637693025.9897528,3549,0.90625
1637693026.734806,3599,0.9140625
1637693027.4627979,3649,0.89453125
1637693028.1993773,3699,0.90234375
1637693029.0200505,3749,0.89453125
1637693029.7519224,3799,0.91015625
1637693031.232602,3849,0.91796875
1637693031.9654753,3899,0.91015625
1637693032.792829,3949,0.90625
1637693033.5318136,3999,0.90625
1637693034.2613716,4049,0.9296875
1637693035.0562713,4099,0.89453125
1637693035.7904496,4149,0.8984375
1637693036.5544677,4199,0.8828125
1637693037.295893,4249,0.89453125
1637693038.7867877,4299,0.88671875
1637693039.4999757,4349,0.921875
1637693040.234337,4399,0.91015625
1637693040.9832675,4449,0.90234375
1637693041.6986012,4499,0.859375
1637693042.4136512,4549,0.89453125
1637693043.1544766,4599,0.90234375
1637693043.8813412,4649,0.88671875
1637693044.6197338,4699,0.84765625
1637693045.3637319,4749,0.9140625
1637693046.8340204,4799,0.90625
1637693047.610694,4849,0.9140625
1637693048.355344,4899,0.89453125
1637693049.1003175,4949,0.8984375
1637693049.848421,4999,0.91015625
1637693050.5682452,5049,0.91796875
1637693051.3039818,5099,0.89453125
1637693052.0299692,5149,0.87890625
1637693052.7537193,5199,0.8828125
1637693054.2779791,5249,0.88671875
1637693055.0021625,5299,0.9140625
1637693055.7479978,5349,0.8984375
1637693056.4901435,5399,0.86328125
1637693057.2204912,5449,0.91015625
1637693057.956449,5499,0.91796875
1637693058.7556574,5549,0.92578125
1637693059.5000625,5599,0.94921875
1637693060.246013,5649,0.9375
1637693060.9779112,5699,0.9140625
1637693062.4522707,5749,0.9375
1637693063.194766,5799,0.921875
1637693063.9437852,5849,0.9140625
1637693064.6766691,5899,0.9453125
1637693065.3881714,5949,0.9296875
1637693066.1148455,5999,0.93359375
1637693066.8609116,6049,0.921875
1637693067.612258,6099,0.91796875
1637693068.346613,6149,0.9296875
1637693069.8203545,6199,0.93359375
1637693070.5444086,6249,0.953125
1637693071.2681708,6299,0.91015625
1637693072.004919,6349,0.9296875
1637693072.7396576,6399,0.9296875
1637693073.4676428,6449,0.8984375
1637693074.1951025,6499,0.90234375
1637693074.9190016,6549,0.9296875
1637693075.6449635,6599,0.90625
1637693076.3958168,6649,0.8984375
1637693077.868695,6699,0.9296875
1637693078.6190403,6749,0.9375
1637693079.3415813,6799,0.94140625
1637693080.0827062,6849,0.92578125
1637693080.9032094,6899,0.9375
1637693081.6624985,6949,0.92578125
1637693082.388632,6999,0.9296875
1637693083.1253562,7049,0.96484375
1637693083.8525486,7099,0.9375
1637693085.347002,7149,0.9296875
1637693086.0931585,7199,0.90625
1637693086.8203118,7249,0.94921875
1637693087.553682,7299,0.9453125
1637693088.2830906,7349,0.9140625
1637693089.0186548,7399,0.93359375
1637693089.783882,7449,0.9453125
1637693090.5115306,7499,0.91796875
1637693091.246815,7549,0.92578125
1637693091.9833388,7599,0.92578125
1637693093.486344,7649,0.9375
1637693094.2518811,7699,0.93359375
1637693094.9772706,7749,0.92578125
1637693095.6995027,7799,0.9453125
1637693096.4310057,7849,0.9765625
1637693097.1639655,7899,0.9375
1637693097.8828657,7949,0.94921875
1637693098.7442555,7999,0.953125
1637693099.4821844,8049,0.93359375
