Wall time,Step,Value
1636510906.9134512,49,0.29296875
1636510907.5891707,99,0.39453125
1636510908.2369933,149,0.4921875
1636510909.1061323,199,0.54296875
1636510909.755362,249,0.5625
1636510910.4313512,299,0.671875
1636510911.0766463,349,0.6796875
1636510911.7248456,399,0.75390625
1636510913.3841681,449,0.76171875
1636510914.0474994,499,0.78515625
1636510914.6829734,549,0.80078125
1636510915.34134,599,0.71875
1636510915.9834325,649,0.8203125
1636510916.6480362,699,0.80078125
1636510917.30351,749,0.83984375
1636510917.9457283,799,0.8203125
1636510919.6090326,849,0.828125
1636510920.2790852,899,0.84375
1636510920.9307961,949,0.86328125
1636510921.57466,999,0.84375
1636510922.2639327,1049,0.78515625
1636510922.9038732,1099,0.84375
1636510923.5564666,1149,0.84375
1636510924.2286644,1199,0.83203125
1636510924.9147012,1249,0.859375
1636510926.5283692,1299,0.8828125
1636510927.1914399,1349,0.86328125
1636510927.8881667,1399,0.84375
1636510928.5789015,1449,0.88671875
1636510929.2175717,1499,0.86328125
1636510929.8523257,1549,0.859375
1636510930.5163252,1599,0.81640625
1636510931.1581242,1649,0.8671875
1636510932.8654568,1699,0.85546875
1636510933.5313852,1749,0.86328125
1636510934.1863458,1799,0.8046875
1636510934.8589096,1849,0.8671875
1636510935.5258677,1899,0.84375
1636510936.2124512,1949,0.87890625
1636510936.8848746,1999,0.83203125
1636510937.5291855,2049,0.83203125
1636510938.1937335,2099,0.85546875
1636510939.4690745,2149,0.85546875
1636510940.1426063,2199,0.85546875
1636510940.8083463,2249,0.86328125
1636510941.4657514,2299,0.84765625
1636510942.107739,2349,0.89453125
1636510942.7460914,2399,0.86328125
1636510943.407308,2449,0.8125
1636510944.0698543,2499,0.88671875
1636510945.339969,2549,0.8828125
1636510946.0338607,2599,0.8984375
1636510946.6990044,2649,0.8671875
1636510947.3509333,2699,0.86328125
1636510948.00798,2749,0.8828125
1636510948.6865053,2799,0.90234375
1636510949.3625245,2849,0.82421875
1636510950.0158534,2899,0.84375
1636510950.6865666,2949,0.88671875
1636510951.9880624,2999,0.875
1636510952.6710823,3049,0.890625
1636510953.3254366,3099,0.86328125
1636510953.966458,3149,0.86328125
1636510954.5996315,3199,0.8984375
1636510955.2721431,3249,0.8671875
1636510955.9160604,3299,0.8359375
1636510956.605469,3349,0.87890625
1636510958.32524,3399,0.8671875
1636510958.9708862,3449,0.89453125
1636510959.6267366,3499,0.90625
1636510960.3214839,3549,0.87890625
1636510960.9804268,3599,0.8828125
1636510961.642588,3649,0.88671875
1636510962.2948313,3699,0.90234375
1636510962.947298,3749,0.8671875
1636510964.633857,3799,0.87109375
1636510965.282568,3849,0.90625
1636510965.940487,3899,0.8671875
1636510966.6057608,3949,0.86328125
1636510967.2653918,3999,0.87890625
1636510967.9310672,4049,0.87109375
1636510968.588672,4099,0.90234375
1636510969.2384548,4149,0.89453125
1636510969.8851085,4199,0.87890625
1636510971.1695118,4249,0.91015625
1636510971.8677711,4299,0.90625
1636510972.5343444,4349,0.91015625
1636510973.2300298,4399,0.8515625
1636510973.886368,4449,0.890625
1636510974.556239,4499,0.859375
1636510975.2257085,4549,0.87890625
1636510975.9075346,4599,0.89453125
1636510977.6048372,4649,0.890625
1636510978.2553346,4699,0.921875
1636510978.9207191,4749,0.921875
1636510979.5891428,4799,0.890625
1636510980.271932,4849,0.9140625
1636510980.9141526,4899,0.92578125
1636510981.5593,4949,0.90234375
1636510982.304132,4999,0.8984375
1636510982.9705818,5049,0.859375
1636510984.1800294,5099,0.8671875
1636510984.8356407,5149,0.9140625
1636510985.5811906,5199,0.90234375
1636510986.287233,5249,0.890625
1636510986.9233942,5299,0.859375
1636510987.584351,5349,0.921875
1636510988.2595308,5399,0.90234375
1636510988.966168,5449,0.87109375
1636510990.6367345,5499,0.9375
1636510991.271559,5549,0.9375
1636510991.9230402,5599,0.91015625
1636510992.59323,5649,0.91015625
1636510993.2558494,5699,0.91796875
1636510993.9318187,5749,0.8828125
1636510994.582524,5799,0.9140625
1636510995.2324848,5849,0.9296875
1636510995.8933861,5899,0.9296875
1636510997.1147552,5949,0.890625
1636510997.772753,5999,0.921875
1636510998.4383786,6049,0.921875
1636510999.0976453,6099,0.9375
1636510999.7384543,6149,0.94140625
1636511000.3856957,6199,0.94140625
1636511001.0445323,6249,0.9296875
1636511001.6890075,6299,0.94140625
1636511003.3373618,6349,0.9375
1636511003.9957554,6399,0.8984375
1636511004.6404686,6449,0.921875
1636511005.3096774,6499,0.9375
1636511005.9767516,6549,0.9375
1636511006.6235175,6599,0.9140625
1636511007.3043118,6649,0.91015625
1636511007.9572992,6699,0.92578125
1636511008.6015441,6749,0.92578125
1636511010.23802,6799,0.90234375
1636511010.911047,6849,0.953125
1636511011.558704,6899,0.8828125
1636511012.2037609,6949,0.9296875
1636511012.8526495,6999,0.94140625
1636511013.5071735,7049,0.9140625
1636511014.1847167,7099,0.921875
1636511014.8510334,7149,0.921875
1636511016.0925288,7199,0.953125
1636511016.7523158,7249,0.90234375
1636511017.3929904,7299,0.90625
1636511018.0286067,7349,0.94140625
1636511018.6977174,7399,0.9296875
1636511019.3519347,7449,0.9375
1636511020.021523,7499,0.91796875
1636511020.6655643,7549,0.95703125
1636511022.3144748,7599,0.94140625
1636511022.9747615,7649,0.96484375
1636511023.6144943,7699,0.953125
1636511024.2851238,7749,0.93359375
1636511024.9398143,7799,0.96484375
1636511025.6093245,7849,0.94921875
1636511026.2840276,7899,0.96484375
1636511026.9664278,7949,0.94140625
1636511027.6343784,7999,0.953125
1636511029.2955973,8049,0.9453125
1636511029.9582973,8099,0.94140625
1636511030.6173174,8149,0.97265625
1636511031.259494,8199,0.94921875
1636511031.9313664,8249,0.9375
1636511032.5744119,8299,0.9453125
1636511033.2360666,8349,0.95703125
1636511033.8677351,8399,0.94921875
1636511035.5544767,8449,0.9375
1636511036.2204108,8499,0.953125
