Wall time,Step,Value
1636512401.3975246,49,0.64453125
1636512402.0887887,99,0.6640625
1636512402.7196417,149,0.64453125
1636512403.525164,199,0.72265625
1636512404.1989136,249,0.640625
1636512404.8460207,299,0.73828125
1636512405.4800406,349,0.80859375
1636512406.1315506,399,0.77734375
1636512407.8130937,449,0.80078125
1636512408.4549959,499,0.82421875
1636512409.091638,549,0.8046875
1636512409.7296941,599,0.8359375
1636512410.3713882,649,0.859375
1636512411.040289,699,0.8515625
1636512411.68494,749,0.87890625
1636512412.3471534,799,0.89453125
1636512414.001287,849,0.8828125
1636512414.6587372,899,0.9140625
1636512415.3209028,949,0.890625
1636512415.9711373,999,0.921875
1636512416.6370173,1049,0.921875
1636512417.2958894,1099,0.88671875
1636512417.9420457,1149,0.92578125
1636512418.5940533,1199,0.921875
1636512419.2619498,1249,0.890625
1636512420.9452,1299,0.921875
1636512421.5953248,1349,0.89453125
1636512422.2856061,1399,0.92578125
1636512422.920457,1449,0.90234375
1636512423.5668654,1499,0.93359375
1636512424.2146122,1549,0.9296875
1636512424.849892,1599,0.93359375
1636512425.4892383,1649,0.921875
1636512427.219289,1699,0.9453125
1636512427.8636017,1749,0.93359375
1636512428.5331767,1799,0.94921875
1636512429.1844237,1849,0.89453125
1636512429.8199885,1899,0.91796875
1636512430.4683044,1949,0.94140625
1636512431.1066806,1999,0.91796875
1636512431.7606053,2049,0.93359375
1636512432.4388459,2099,0.8828125
1636512433.7065263,2149,0.9375
1636512434.3526003,2199,0.921875
1636512434.9959514,2249,0.9609375
1636512435.6356208,2299,0.9140625
1636512436.2758572,2349,0.9296875
1636512436.9240375,2399,0.92578125
1636512437.5837295,2449,0.90625
1636512438.2330184,2499,0.93359375
1636512439.4715693,2549,0.9296875
1636512440.124394,2599,0.9375
1636512440.809537,2649,0.9609375
1636512441.4812613,2699,0.8984375
1636512442.1222978,2749,0.94140625
1636512442.7715988,2799,0.87890625
1636512443.4332738,2849,0.89453125
1636512444.0973752,2899,0.92578125
1636512444.7472882,2949,0.90625
1636512445.997449,2999,0.8984375
1636512446.6617634,3049,0.890625
1636512447.306411,3099,0.90625
1636512447.9945483,3149,0.8984375
1636512448.646864,3199,0.93359375
1636512449.2934816,3249,0.9375
1636512449.9389968,3299,0.91796875
1636512450.6248004,3349,0.89453125
1636512451.8537073,3399,0.93359375
1636512452.5259018,3449,0.92578125
1636512453.1736453,3499,0.93359375
1636512453.8698635,3549,0.94921875
1636512454.5168786,3599,0.921875
1636512455.193931,3649,0.94921875
1636512455.8382912,3699,0.8828125
1636512456.5235171,3749,0.9375
1636512457.7790453,3799,0.90234375
1636512458.4394395,3849,0.93359375
1636512459.0988462,3899,0.921875
1636512459.7449477,3949,0.93359375
1636512460.4266546,3999,0.921875
1636512461.0665078,4049,0.93359375
1636512461.717285,4099,0.9453125
1636512462.3636727,4149,0.92578125
1636512462.997804,4199,0.8984375
1636512464.2598104,4249,0.94140625
1636512464.8957634,4299,0.92578125
1636512465.5386007,4349,0.9375
1636512466.1997864,4399,0.921875
1636512466.8272583,4449,0.90625
1636512467.4600036,4499,0.94921875
1636512468.1141555,4549,0.92578125
1636512468.7655425,4599,0.9375
1636512470.0273952,4649,0.94921875
1636512470.6709812,4699,0.94140625
1636512471.3206625,4749,0.91796875
1636512471.9723656,4799,0.94921875
1636512472.6147854,4849,0.94921875
1636512473.272922,4899,0.9375
1636512473.916542,4949,0.90625
1636512474.5549886,4999,0.9453125
1636512475.2057781,5049,0.92578125
1636512476.462833,5099,0.9375
1636512477.0977283,5149,0.94921875
1636512477.761156,5199,0.921875
1636512478.407248,5249,0.9375
1636512479.0458071,5299,0.9140625
1636512479.702752,5349,0.921875
1636512480.4095244,5399,0.9453125
1636512481.0985715,5449,0.9765625
1636512482.3563101,5499,0.9609375
1636512482.9981577,5549,0.9375
1636512483.6522193,5599,0.94140625
1636512484.4190202,5649,0.9609375
1636512485.0598533,5699,0.953125
1636512485.6986065,5749,0.92578125
1636512486.359262,5799,0.9375
1636512486.9915671,5849,0.9609375
1636512487.6314056,5899,0.9375
