Wall time,Step,Value
1636511784.9182203,49,0.69140625
1636511785.5637164,99,0.7265625
1636511786.2597067,149,0.765625
1636511787.0674512,199,0.78125
1636511787.7407563,249,0.7734375
1636511788.3832328,299,0.75390625
1636511789.0352578,349,0.765625
1636511789.6900105,399,0.80859375
1636511791.3400102,449,0.7890625
1636511792.0202615,499,0.8203125
1636511792.6717055,549,0.859375
1636511793.323267,599,0.84375
1636511793.9913468,649,0.796875
1636511794.6430392,699,0.8671875
1636511795.30929,749,0.88671875
1636511795.9758627,799,0.921875
1636511797.6784794,849,0.91015625
1636511798.3421404,899,0.921875
1636511798.9846675,949,0.91015625
1636511799.634027,999,0.9140625
1636511800.2917495,1049,0.9296875
1636511800.9423685,1099,0.91796875
1636511801.5808132,1149,0.90625
1636511802.2413516,1199,0.9453125
1636511802.8879495,1249,0.91796875
1636511804.5972598,1299,0.921875
1636511805.2508183,1349,0.95703125
1636511805.9064538,1399,0.96875
1636511806.5666783,1449,0.953125
1636511807.2215176,1499,0.94921875
1636511807.8762786,1549,0.93359375
1636511808.5355444,1599,0.92578125
1636511809.1874182,1649,0.94140625
1636511810.4346573,1699,0.94140625
1636511811.0734346,1749,0.953125
1636511811.748643,1799,0.91015625
1636511812.3891504,1849,0.94140625
1636511813.0323231,1899,0.9453125
1636511813.679221,1949,0.93359375
1636511814.3526495,1999,0.94921875
1636511815.0028758,2049,0.91796875
1636511815.651319,2099,0.91796875
1636511817.3111477,2149,0.94921875
1636511817.9611654,2199,0.91796875
1636511818.625142,2249,0.9453125
1636511819.2935188,2299,0.94140625
1636511819.94776,2349,0.9140625
1636511820.6169934,2399,0.93359375
1636511821.2706451,2449,0.9453125
1636511821.9156828,2499,0.9296875
1636511823.1821573,2549,0.9375
1636511823.835952,2599,0.921875
1636511824.485946,2649,0.921875
1636511825.134058,2699,0.8984375
1636511825.8092177,2749,0.9140625
1636511826.4442122,2799,0.92578125
1636511827.1148567,2849,0.921875
1636511827.7768831,2899,0.91796875
1636511828.4293637,2949,0.9296875
1636511829.6778057,2999,0.92578125
1636511830.310182,3049,0.97265625
1636511830.9504337,3099,0.93359375
1636511831.5990107,3149,0.96484375
1636511832.2458522,3199,0.93359375
1636511832.904706,3249,0.91015625
1636511833.5690129,3299,0.92578125
1636511834.2296903,3349,0.9453125
1636511835.5019312,3399,0.90234375
1636511836.1489646,3449,0.921875
1636511836.8047142,3499,0.9375
1636511837.4685352,3549,0.93359375
1636511838.1303427,3599,0.94140625
1636511838.7790215,3649,0.9140625
1636511839.446391,3699,0.9375
1636511840.1087496,3749,0.9375
1636511841.3746347,3799,0.92578125
1636511842.0439785,3849,0.9375
1636511842.6895304,3899,0.921875
1636511843.351958,3949,0.921875
1636511843.9915192,3999,0.9296875
1636511844.6613162,4049,0.9453125
1636511845.3198922,4099,0.93359375
1636511845.970773,4149,0.9140625
1636511846.631075,4199,0.9140625
1636511847.8868744,4249,0.95703125
1636511848.5620134,4299,0.9296875
1636511849.2430165,4349,0.95703125
1636511849.8933518,4399,0.87890625
1636511850.557195,4449,0.94140625
1636511851.22401,4499,0.9453125
1636511851.8972194,4549,0.91015625
1636511852.5627708,4599,0.90234375
1636511853.8173418,4649,0.90234375
1636511854.4636436,4699,0.91796875
1636511855.1168263,4749,0.94140625
1636511855.7688937,4799,0.96484375
1636511856.4057343,4849,0.93359375
1636511857.0674171,4899,0.93359375
1636511857.7258685,4949,0.9140625
1636511858.471843,4999,0.9453125
1636511859.1285996,5049,0.89453125
1636511860.376468,5099,0.96484375
1636511861.0322506,5149,0.953125
1636511861.6609054,5199,0.9375
1636511862.3787484,5249,0.9375
1636511863.0197794,5299,0.9140625
1636511863.68156,5349,0.94140625
1636511864.333179,5399,0.9140625
1636511865.0171633,5449,0.93359375
1636511866.3256245,5499,0.9375
1636511866.9760175,5549,0.96875
1636511867.6408615,5599,0.9453125
1636511868.3126626,5649,0.95703125
1636511868.9447231,5699,0.9453125
1636511869.594308,5749,0.94140625
1636511870.2425678,5799,0.96875
1636511870.8721256,5849,0.94140625
1636511871.5270174,5899,0.94921875
1636511872.7352185,5949,0.9609375
1636511873.419314,5999,0.984375
1636511874.0715916,6049,0.953125
1636511874.7246397,6099,0.94921875
1636511875.3668387,6149,0.9453125
1636511875.9903607,6199,0.953125
1636511876.6224155,6249,0.96484375
1636511877.2877767,6299,0.9140625
