Wall time,Step,Value
1636557352.9210117,49,0.77734375
1636557353.5599763,99,0.81640625
1636557354.2047806,149,0.89453125
1636557354.9590473,199,0.921875
1636557355.6384492,249,0.91796875
1636557356.2686455,299,0.91015625
1636557356.9182355,349,0.93359375
1636557357.5602958,399,0.96875
1636557359.1946123,449,0.97265625
1636557359.821532,499,0.98046875
1636557360.4538226,549,0.97265625
1636557361.0962062,599,0.953125
1636557361.7424555,649,0.96484375
1636557362.3727734,699,0.984375
1636557363.0126824,749,0.9609375
1636557363.6515834,799,0.9609375
1636557365.3256328,849,0.984375
1636557365.9641447,899,0.97265625
1636557366.592348,949,0.98828125
1636557367.2274504,999,0.96484375
1636557367.8596873,1049,0.9609375
1636557368.4973023,1099,0.96484375
1636557369.1452005,1149,0.96875
1636557369.792523,1199,0.98046875
1636557370.4349887,1249,0.96875
1636557371.6393912,1299,0.98828125
1636557372.296555,1349,0.95703125
1636557372.9534447,1399,0.9765625
1636557373.617359,1449,0.953125
1636557374.2608287,1499,0.96875
1636557374.8856385,1549,0.953125
1636557375.5387244,1599,0.94140625
1636557376.1988893,1649,0.94921875
1636557377.4420378,1699,0.953125
1636557378.085067,1749,0.94140625
1636557378.7240686,1799,0.98046875
1636557379.388848,1849,0.94921875
1636557380.0528765,1899,0.94921875
1636557380.7238665,1949,0.9375
1636557381.3534927,1999,0.90234375
1636557381.9779682,2049,0.9140625
1636557382.6200125,2099,0.92578125
1636557383.910865,2149,0.9296875
1636557384.535397,2199,0.91796875
1636557385.1835775,2249,0.94921875
1636557385.8082683,2299,0.9140625
1636557386.4524117,2349,0.9140625
1636557387.1036756,2399,0.9296875
1636557387.7570941,2449,0.890625
1636557388.40188,2499,0.921875
1636557389.6368256,2549,0.93359375
1636557390.2878115,2599,0.9296875
1636557390.916259,2649,0.9375
1636557391.5627134,2699,0.90234375
1636557392.2108405,2749,0.91796875
1636557392.8555398,2799,0.9140625
1636557393.4934428,2849,0.9375
1636557394.157737,2899,0.91796875
1636557394.798371,2949,0.91796875
1636557396.0149589,2999,0.8828125
1636557396.6969912,3049,0.953125
1636557397.3427145,3099,0.94140625
1636557397.9705095,3149,0.89453125
1636557398.6095383,3199,0.90625
1636557399.2671583,3249,0.91796875
1636557399.895233,3299,0.93359375
1636557400.5414395,3349,0.9140625
1636557401.804115,3399,0.921875
1636557402.458796,3449,0.9375
1636557403.1052232,3499,0.9140625
1636557403.7522595,3549,0.9140625
1636557404.4044561,3599,0.88671875
1636557405.0455005,3649,0.9296875
1636557405.690067,3699,0.91796875
1636557406.3324404,3749,0.91796875
1636557407.5720248,3799,0.91796875
1636557408.2212336,3849,0.921875
1636557408.864741,3899,0.9375
1636557409.5090506,3949,0.92578125
1636557410.1369002,3999,0.9296875
1636557410.7819614,4049,0.875
1636557411.4267714,4099,0.9296875
1636557412.0747032,4149,0.92578125
1636557412.7281625,4199,0.921875
1636557413.9804113,4249,0.9375
1636557414.6322625,4299,0.91015625
1636557415.269455,4349,0.921875
1636557415.9131587,4399,0.91796875
1636557416.553392,4449,0.94140625
1636557417.2048275,4499,0.94921875
1636557417.8495462,4549,0.93359375
1636557418.4897127,4599,0.90625
1636557419.7322683,4649,0.9296875
1636557420.3819697,4699,0.9296875
1636557421.0432613,4749,0.90625
1636557421.6816328,4799,0.9296875
1636557422.3479896,4849,0.9453125
1636557423.0112853,4899,0.94140625
1636557423.6401362,4949,0.94140625
1636557424.282616,4999,0.93359375
1636557424.9815342,5049,0.90234375
