Wall time,Step,Value
1636557042.23289,49,0.34375
1636557042.8975046,99,0.36328125
1636557043.5431335,149,0.359375
1636557044.2267394,199,0.3984375
1636557044.852012,249,0.3203125
1636557045.500024,299,0.46484375
1636557047.0482442,349,0.515625
1636557047.7086205,399,0.4609375
1636557048.3885243,449,0.5625
1636557049.0454388,499,0.55078125
1636557049.703247,549,0.59765625
1636557050.3468606,599,0.66796875
1636557051.0226045,649,0.6953125
1636557052.5754838,699,0.64453125
1636557053.2115026,749,0.72265625
1636557053.837467,799,0.7109375
1636557054.562302,849,0.734375
1636557055.2034366,899,0.77734375
1636557055.85704,949,0.7578125
1636557056.5151906,999,0.7265625
1636557058.2550514,1049,0.76171875
1636557058.9452317,1099,0.79296875
1636557059.6152031,1149,0.8671875
1636557060.26647,1199,0.76953125
1636557060.9221325,1249,0.828125
1636557061.5571969,1299,0.76953125
1636557062.1972666,1349,0.74609375
1636557063.7313843,1399,0.796875
1636557064.3626566,1449,0.8046875
1636557065.0358238,1499,0.75
1636557065.6696074,1549,0.76953125
1636557066.3086894,1599,0.796875
1636557066.968354,1649,0.8046875
1636557067.6293619,1699,0.8046875
1636557068.8473835,1749,0.8515625
1636557069.5049217,1799,0.7734375
1636557070.1665187,1849,0.7890625
1636557070.8351755,1899,0.78125
1636557071.479978,1949,0.8046875
1636557072.157068,1999,0.8125
1636557072.8166344,2049,0.77734375
1636557074.0276952,2099,0.76953125
1636557074.671719,2149,0.80078125
1636557075.3469355,2199,0.75
1636557075.967312,2249,0.796875
1636557076.6225355,2299,0.79296875
1636557077.2905054,2349,0.76171875
1636557077.9242978,2399,0.8203125
1636557079.0928023,2449,0.79296875
1636557079.7316787,2499,0.80078125
1636557080.384337,2549,0.78125
1636557081.020495,2599,0.75
1636557081.667501,2649,0.78515625
1636557082.3242054,2699,0.75390625
1636557083.5422673,2749,0.8359375
1636557084.2109933,2799,0.8046875
1636557084.8618073,2849,0.8125
1636557085.5051346,2899,0.7421875
1636557086.1590698,2949,0.78515625
1636557086.803426,2999,0.7734375
1636557087.436246,3049,0.75390625
1636557088.5907862,3099,0.84375
1636557089.2412803,3149,0.80078125
1636557089.8614714,3199,0.828125
1636557090.4863005,3249,0.81640625
1636557091.1274576,3299,0.75390625
1636557091.7862985,3349,0.78515625
1636557092.4441097,3399,0.80078125
1636557093.6444411,3449,0.78515625
1636557094.278109,3499,0.83203125
1636557094.9042249,3549,0.796875
1636557095.5622878,3599,0.79296875
1636557096.221269,3649,0.7890625
1636557096.8728588,3699,0.81640625
1636557097.5502286,3749,0.75
1636557098.72291,3799,0.84765625
1636557099.374296,3849,0.796875
1636557100.0524063,3899,0.80078125
1636557100.6879933,3949,0.78515625
1636557101.3621278,3999,0.8359375
1636557102.0110624,4049,0.76953125
1636557102.6541936,4099,0.79296875
1636557103.839124,4149,0.82421875
1636557104.517503,4199,0.828125
1636557105.157008,4249,0.83203125
1636557105.7972748,4299,0.82421875
1636557106.4660556,4349,0.80859375
1636557107.138256,4399,0.8125
1636557107.7797556,4449,0.79296875
1636557108.9650345,4499,0.8046875
1636557109.5942829,4549,0.85546875
1636557110.2445126,4599,0.7734375
1636557110.8737369,4649,0.82421875
1636557111.5264287,4699,0.8359375
1636557112.1620328,4749,0.84765625
1636557112.7919946,4799,0.78125
