Wall time,Step,Value
1636556360.6285474,49,0.453125
1636556361.2880585,99,0.42578125
1636556361.9137893,149,0.51171875
1636556362.584072,199,0.5390625
1636556363.2287014,249,0.5625
1636556363.8746786,299,0.578125
1636556364.5220294,349,0.66015625
1636556365.1724856,399,0.57421875
1636556365.8017244,449,0.66015625
1636556367.4207625,499,0.6875
1636556368.0706775,549,0.70703125
1636556368.7076695,599,0.71875
1636556369.3749099,649,0.78515625
1636556370.0371208,699,0.81640625
1636556370.6554658,749,0.76171875
1636556371.327604,799,0.83984375
1636556371.970623,849,0.796875
1636556372.5992846,899,0.828125
1636556373.2483966,949,0.8046875
1636556374.8926914,999,0.86328125
1636556375.555682,1049,0.86328125
1636556376.1778498,1099,0.83203125
1636556376.812357,1149,0.8671875
1636556377.4604826,1199,0.83203125
1636556378.1146502,1249,0.8515625
1636556378.7469025,1299,0.828125
1636556379.3979673,1349,0.83203125
1636556380.0406783,1399,0.83984375
1636556381.7044423,1449,0.890625
1636556382.3559875,1499,0.84765625
1636556382.989508,1549,0.83203125
1636556383.6270401,1599,0.83984375
1636556384.2752736,1649,0.88671875
1636556384.897336,1699,0.83984375
1636556385.5546288,1749,0.875
1636556386.194335,1799,0.8671875
1636556386.835555,1849,0.87890625
1636556387.4962451,1899,0.86328125
1636556389.176695,1949,0.90625
1636556389.8295639,1999,0.91796875
1636556390.4795175,2049,0.85546875
1636556391.1053767,2099,0.8984375
1636556391.7360349,2149,0.83984375
1636556392.3817658,2199,0.87890625
1636556393.0387983,2249,0.875
1636556393.6845963,2299,0.8203125
1636556394.3270872,2349,0.8359375
1636556395.6080623,2399,0.8828125
1636556396.2769566,2449,0.84765625
1636556396.9216197,2499,0.921875
1636556397.5464559,2549,0.8984375
1636556398.2083511,2599,0.79296875
1636556398.8510547,2649,0.796875
1636556399.4767108,2699,0.8359375
1636556400.1170375,2749,0.8515625
1636556400.7452462,2799,0.83984375
1636556401.4714425,2849,0.91796875
1636556402.7746198,2899,0.90234375
1636556403.418605,2949,0.890625
1636556404.0951173,2999,0.87890625
1636556404.7240927,3049,0.859375
1636556405.4245064,3099,0.8203125
1636556406.103108,3149,0.88671875
1636556406.7512503,3199,0.8203125
1636556407.400113,3249,0.87109375
1636556408.044804,3299,0.859375
1636556409.414442,3349,0.83203125
1636556410.1116781,3399,0.8515625
1636556410.742741,3449,0.8828125
1636556411.447632,3499,0.87890625
1636556412.0857992,3549,0.87890625
1636556412.7335768,3599,0.89453125
1636556413.3739026,3649,0.86328125
1636556414.02136,3699,0.8359375
1636556414.6686041,3749,0.90625
1636556415.3215551,3799,0.8359375
1636556416.5795696,3849,0.87890625
1636556417.2156434,3899,0.875
1636556417.8420823,3949,0.890625
1636556418.4889362,3999,0.8671875
1636556419.1341162,4049,0.86328125
1636556419.7714562,4099,0.84765625
1636556420.4392152,4149,0.90625
1636556421.0989845,4199,0.859375
1636556421.7522087,4249,0.8671875
1636556422.9986737,4299,0.83984375
1636556423.6311252,4349,0.859375
1636556424.2883022,4399,0.8671875
1636556424.924156,4449,0.84765625
1636556425.5768359,4499,0.86328125
1636556426.256793,4549,0.8984375
1636556426.9164305,4599,0.84765625
1636556427.5820792,4649,0.90625
1636556428.2090104,4699,0.859375
1636556428.8444526,4749,0.87890625
1636556430.0978518,4799,0.87890625
1636556430.746963,4849,0.88671875
1636556431.3962774,4899,0.890625
1636556432.0438492,4949,0.88671875
1636556432.6867075,4999,0.90234375
1636556433.3329096,5049,0.87890625
1636556433.9597843,5099,0.9140625
1636556434.6122637,5149,0.91015625
1636556435.2771344,5199,0.92578125
1636556437.0222461,5249,0.8828125
1636556437.6519518,5299,0.91796875
1636556438.3139946,5349,0.89453125
1636556438.9491687,5399,0.89453125
1636556439.5966682,5449,0.8828125
1636556440.2936904,5499,0.88671875
1636556440.9211676,5549,0.89453125
1636556441.557066,5599,0.88671875
1636556442.2208552,5649,0.88671875
1636556442.8666198,5699,0.8515625
1636556444.5389385,5749,0.88671875
1636556445.192278,5799,0.9296875
1636556445.8430884,5849,0.90625
1636556446.5023413,5899,0.91015625
1636556447.147046,5949,0.8671875
1636556447.793336,5999,0.875
1636556448.4317975,6049,0.92578125
1636556449.0679193,6099,0.87890625
1636556449.7087946,6149,0.88671875
1636556450.941872,6199,0.875
1636556451.5956602,6249,0.88671875
1636556452.2552843,6299,0.91015625
1636556452.898808,6349,0.875
1636556453.531203,6399,0.86328125
1636556454.1954067,6449,0.89453125
1636556454.8223698,6499,0.89453125
1636556455.479897,6549,0.9140625
1636556456.1369472,6599,0.9375
1636556456.7713125,6649,0.91796875
1636556458.4415877,6699,0.9375
1636556459.0995429,6749,0.88671875
1636556459.7384622,6799,0.890625
1636556460.402962,6849,0.921875
