Wall time,Step,Value
1636556090.2586117,49,0.89453125
1636556090.9176643,99,0.90234375
1636556091.5611892,149,0.921875
1636556092.317712,199,0.93359375
1636556092.9553814,249,0.953125
1636556093.608368,299,0.91796875
1636556094.2468996,349,0.9609375
1636556094.8609328,399,0.98046875
1636556096.4739478,449,0.96875
1636556097.0908577,499,0.95703125
1636556097.717223,549,0.984375
1636556098.3688543,599,0.98046875
1636556099.004639,649,0.98828125
1636556099.6470797,699,0.9765625
1636556100.309399,749,0.9765625
1636556100.934898,799,0.97265625
1636556102.5104346,849,0.984375
1636556103.1407607,899,0.98828125
1636556103.7697783,949,0.984375
1636556104.4319265,999,0.9765625
1636556105.0569441,1049,0.9921875
1636556105.7022674,1099,0.97265625
1636556106.3482468,1149,0.99609375
1636556106.9798617,1199,0.97265625
1636556107.6143034,1249,0.96875
1636556108.8097932,1299,0.98828125
1636556109.4484265,1349,0.96875
1636556110.0798655,1399,0.97265625
1636556110.7375407,1449,0.96875
1636556111.38728,1499,0.98828125
1636556112.0227091,1549,0.96484375
1636556112.6588414,1599,0.96875
1636556113.286979,1649,0.97265625
1636556114.4978125,1699,0.96875
1636556115.1459923,1749,0.9375
1636556115.7559078,1799,0.96484375
1636556116.383227,1849,0.92578125
1636556117.0002747,1899,0.92578125
1636556117.655178,1949,0.92578125
1636556118.2866461,1999,0.93359375
1636556118.911037,2049,0.9296875
1636556119.5762222,2099,0.93359375
1636556120.7731826,2149,0.9140625
1636556121.4146447,2199,0.9375
1636556122.0505378,2249,0.94140625
1636556122.6807363,2299,0.92578125
1636556123.3043373,2349,0.9375
1636556123.9300048,2399,0.9140625
1636556124.5475595,2449,0.92578125
1636556125.179209,2499,0.92578125
1636556126.3844364,2549,0.9140625
1636556127.0166597,2599,0.9453125
1636556127.650403,2649,0.8984375
1636556128.2781844,2699,0.92578125
1636556128.9294403,2749,0.93359375
1636556129.5761795,2799,0.9375
1636556130.257028,2849,0.9140625
1636556130.873431,2899,0.91015625
1636556131.5057387,2949,0.90234375
1636556132.681689,2999,0.9375
1636556133.317233,3049,0.87890625
1636556133.9695723,3099,0.91796875
1636556134.6186433,3149,0.89453125
1636556135.2603796,3199,0.92578125
1636556135.9121802,3249,0.89453125
1636556136.5539482,3299,0.890625
1636556137.186228,3349,0.91796875
1636556138.3908703,3399,0.90625
1636556139.0447986,3449,0.953125
1636556139.6736689,3499,0.93359375
1636556140.3003395,3549,0.9296875
1636556140.9293146,3599,0.953125
1636556141.5532153,3649,0.91015625
1636556142.2273214,3699,0.9296875
1636556142.8969476,3749,0.9296875
1636556144.1275897,3799,0.92578125
1636556144.7892194,3849,0.92578125
1636556145.4574866,3899,0.91796875
1636556146.1063943,3949,0.921875
1636556146.744809,3999,0.94140625
1636556147.3801768,4049,0.9296875
1636556148.0124419,4099,0.921875
1636556148.6597173,4149,0.9296875
1636556149.283302,4199,0.92578125
1636556150.4826384,4249,0.921875
1636556151.1193173,4299,0.9296875
1636556151.7616816,4349,0.92578125
1636556152.4271958,4399,0.91796875
1636556153.0863256,4449,0.9296875
1636556153.723719,4499,0.91015625
1636556154.3781507,4549,0.92578125
1636556155.0209901,4599,0.90625
1636556156.3261611,4649,0.91796875
1636556156.9491007,4699,0.94140625
1636556157.5606785,4749,0.96875
1636556158.200426,4799,0.953125
1636556158.9535742,4849,0.96484375
1636556159.5847216,4899,0.9140625
1636556160.2319279,4949,0.92578125
1636556160.8465488,4999,0.953125
1636556161.463374,5049,0.9296875
