Wall time,Step,Value
1636555808.169089,49,0.83203125
1636555808.7935321,99,0.859375
1636555809.5356898,149,0.88671875
1636555810.1753852,199,0.8515625
1636555810.7998962,249,0.8671875
1636555811.4238398,299,0.91015625
1636555812.0898497,349,0.91015625
1636555812.7357686,399,0.90625
1636555814.4450448,449,0.90625
1636555815.0790968,499,0.953125
1636555815.6921117,549,0.9375
1636555816.3252687,599,0.953125
1636555816.954211,649,0.94921875
1636555817.5842214,699,0.96484375
1636555818.2185228,749,0.96484375
1636555818.8629591,799,0.953125
1636555819.4924634,849,0.95703125
1636555821.1801622,899,0.95703125
1636555821.799431,949,0.96484375
1636555822.434138,999,0.9765625
1636555823.0460815,1049,0.98046875
1636555823.6666782,1099,0.98046875
1636555824.3023658,1149,0.9609375
1636555824.9099243,1199,0.9609375
1636555825.5469244,1249,0.9765625
1636555826.1820443,1299,0.96875
1636555827.8014636,1349,0.9921875
1636555828.4487724,1399,0.984375
1636555829.092215,1449,0.96875
1636555829.7157242,1499,0.96484375
1636555830.3637595,1549,0.95703125
1636555830.9852688,1599,0.953125
1636555831.6233406,1649,0.96875
1636555832.2767262,1699,0.9609375
1636555832.9150505,1749,0.953125
1636555834.115015,1799,0.98046875
1636555834.7467852,1849,0.96484375
1636555835.3701289,1899,0.95703125
1636555835.9868603,1949,0.95703125
1636555836.6486838,1999,0.94921875
1636555837.2767258,2049,0.9609375
1636555837.9065697,2099,0.95703125
1636555838.5493524,2149,0.9453125
1636555839.8030925,2199,0.9453125
1636555840.4420896,2249,0.95703125
1636555841.064892,2299,0.9609375
1636555841.7031362,2349,0.93359375
1636555842.3391786,2399,0.92578125
1636555842.9672394,2449,0.96875
1636555843.6154215,2499,0.94921875
1636555844.2631426,2549,0.9609375
1636555844.9499404,2599,0.9375
1636555846.1692376,2649,0.94921875
1636555846.7982068,2699,0.93359375
1636555847.4068844,2749,0.92578125
1636555848.0320368,2799,0.9375
1636555848.6912398,2849,0.95703125
1636555849.3147244,2899,0.97265625
1636555849.951522,2949,0.91796875
1636555850.5753262,2999,0.953125
1636555851.2025323,3049,0.921875
1636555852.4193923,3099,0.95703125
1636555853.0484247,3149,0.92578125
1636555853.6678624,3199,0.94140625
1636555854.3340242,3249,0.94921875
1636555854.9653924,3299,0.94140625
1636555855.641868,3349,0.9453125
1636555856.2778833,3399,0.9453125
1636555856.9037855,3449,0.953125
1636555857.5636516,3499,0.95703125
1636555858.7937262,3549,0.92578125
1636555859.439,3599,0.98046875
1636555860.0648482,3649,0.9296875
1636555860.6928353,3699,0.953125
1636555861.3289895,3749,0.9609375
1636555861.9674404,3799,0.96484375
1636555862.6110353,3849,0.94140625
1636555863.2251568,3899,0.93359375
1636555863.8330204,3949,0.953125
1636555865.0739617,3999,0.9609375
1636555865.6944761,4049,0.97265625
1636555866.3351378,4099,0.96484375
1636555866.9681394,4149,0.9609375
1636555867.5878367,4199,0.9375
1636555868.2167373,4249,0.953125
1636555868.8401692,4299,0.9609375
1636555869.4696167,4349,0.94921875
1636555870.7016501,4399,0.96484375
1636555871.345666,4449,0.98046875
1636555872.0115197,4499,0.9453125
1636555872.6403341,4549,0.96484375
1636555873.292686,4599,0.96484375
1636555873.9228988,4649,0.9765625
1636555874.5545974,4699,0.96875
1636555875.1881056,4749,0.94140625
1636555875.8085568,4799,0.94921875
1636555876.9941766,4849,0.98828125
1636555877.6169493,4899,0.9609375
1636555878.2786055,4949,0.9609375
1636555878.9029915,4999,0.95703125
1636555879.544784,5049,0.9765625
1636555880.1801398,5099,0.95703125
1636555880.8232024,5149,0.953125
1636555881.4464684,5199,0.953125
1636555882.151049,5249,0.94921875
1636555883.3374841,5299,0.953125
1636555883.9662848,5349,0.94140625
1636555884.5999057,5399,0.97265625
1636555885.2681153,5449,0.98046875
1636555885.9526548,5499,0.953125
1636555886.5974884,5549,0.984375
1636555887.2258203,5599,0.96875
1636555887.8574772,5649,0.921875
1636555888.5580194,5699,0.93359375
