Wall time,Step,Value
1636501234.5267875,49,0.79296875
1636501235.1505153,99,0.80859375
1636501235.7839098,149,0.83828125
1636501236.4115667,199,0.85453125
1636501237.0424054,249,0.87053125
1636501237.6742241,299,0.89106875
1636501239.228264,349,0.90339125
1636501239.8529394,399,0.92172225
1636501240.4804938,449,0.9342833500000001
1636501241.106934,499,0.9293200100000001
1636501241.7429967,549,0.931029506
1636501242.3660376,599,0.9273677036
1636501242.9824119,649,0.93298312216
1636501244.5001574,699,0.947289873296
1636501245.1515136,749,0.9449364239776
1636501245.7745574,799,0.93883685438656
1636501246.3953145,849,0.933614612631936
1636501247.0204198,899,0.9320437675791615
1636501247.6449106,949,0.929538760547497
1636501248.2964506,999,0.9264732563284982
1636501249.4362488,1049,0.9293214537970989
1636501250.0805836,1099,0.9294678722782592
1636501250.7287555,1149,0.9358057233669556
1636501251.3883162,1199,0.9286709340201733
1636501252.0461946,1249,0.9150150604121039
1636501252.6829927,1299,0.9052590362472623
1636501253.3181741,1349,0.9025304217483574
1636501254.5063248,1399,0.9165182530490145
1636501255.1204288,1449,0.9295984518294087
1636501255.754299,1499,0.9233840710976453
1636501256.385767,1549,0.9102804426585871
1636501257.0196495,1599,0.9008557655951522
1636501257.6660388,1649,0.8827009593570914
1636501258.314019,1699,0.8905580756142548
1636501259.4904008,1749,0.906209845368553
1636501260.1190755,1799,0.9062259072211318
1636501260.742725,1849,0.8968605443326791
1636501261.3727527,1899,0.8849913265996076
1636501262.0053914,1949,0.8856822959597646
1636501262.6380045,1999,0.8907843775758587
1636501263.2755625,2049,0.9000956265455153
1636501264.4842026,2099,0.8900573759273092
1636501265.1191785,2149,0.8934094255563855
1636501265.763781,2199,0.8860456553338314
1636501266.4041655,2249,0.8816273932002989
1636501267.030287,2299,0.8758514359201793
1636501267.6634367,2349,0.8895733615521075
1636501268.2997599,2399,0.8931190169312645
