Wall time,Step,Value
1636304422.6435494,49,0.296875
1636304423.3581765,99,0.421875
1636304424.082496,149,0.546875
1636304424.8966928,199,0.58984375
1636304425.5675745,249,0.6328125
1636304426.2547922,299,0.703125
1636304426.9321148,349,0.72265625
1636304427.613537,399,0.7421875
1636304429.2848911,449,0.78515625
1636304429.9818144,499,0.84375
1636304430.666094,549,0.8515625
1636304431.3731725,599,0.828125
1636304432.0552056,649,0.8125
1636304432.742147,699,0.81640625
1636304433.449246,749,0.83203125
1636304434.0945897,799,0.84765625
1636304434.7575183,849,0.8671875
1636304436.3832393,899,0.83984375
1636304437.096221,949,0.890625
1636304437.777288,999,0.87890625
1636304438.503377,1049,0.890625
1636304439.2174096,1099,0.8515625
1636304439.907668,1149,0.8515625
1636304440.5775242,1199,0.90234375
1636304441.2472541,1249,0.90625
1636304441.9108202,1299,0.90234375
1636304443.5591416,1349,0.94140625
1636304444.2498512,1399,0.8828125
1636304444.9422898,1449,0.90625
1636304445.6257567,1499,0.86328125
1636304446.3040013,1549,0.87109375
1636304446.9545267,1599,0.90625
1636304447.6254897,1649,0.90625
1636304448.3084984,1699,0.90625
1636304448.9634178,1749,0.91796875
1636304450.6462119,1799,0.9140625
1636304451.3521652,1849,0.9140625
1636304452.049386,1899,0.8984375
1636304452.7285547,1949,0.9140625
1636304453.3844256,1999,0.86328125
1636304454.0442164,2049,0.890625
1636304454.7147784,2099,0.89453125
1636304455.3907506,2149,0.8984375
1636304456.6385398,2199,0.87890625
1636304457.2938867,2249,0.8359375
1636304457.961826,2299,0.8984375
1636304458.6305237,2349,0.8984375
1636304459.2981052,2399,0.90234375
1636304459.9731996,2449,0.890625
1636304460.6513872,2499,0.90625
1636304461.33149,2549,0.89453125
1636304461.9936206,2599,0.92578125
1636304463.4203272,2649,0.89453125
1636304464.1266062,2699,0.91796875
1636304464.8111923,2749,0.9140625
1636304465.485774,2799,0.9375
1636304466.153221,2849,0.90625
1636304466.817533,2899,0.9375
1636304467.4668243,2949,0.921875
1636304468.1603556,2999,0.92578125
1636304468.823593,3049,0.93359375
1636304470.1073854,3099,0.91015625
1636304470.7816203,3149,0.91796875
1636304471.4686785,3199,0.91796875
1636304472.116376,3249,0.92578125
1636304472.7951114,3299,0.90234375
1636304473.4527278,3349,0.89453125
1636304474.1172347,3399,0.921875
1636304474.8231692,3449,0.8828125
1636304475.5048623,3499,0.921875
1636304476.7202327,3549,0.90625
1636304477.384841,3599,0.91015625
1636304478.0749831,3649,0.94921875
1636304478.760214,3699,0.921875
1636304479.4155788,3749,0.921875
1636304480.0962138,3799,0.921875
1636304480.7489889,3849,0.9375
1636304481.4139411,3899,0.9375
1636304482.071202,3949,0.9140625
1636304483.7192397,3999,0.95703125
1636304484.4263964,4049,0.93359375
1636304485.141013,4099,0.94921875
1636304485.909517,4149,0.94140625
1636304486.6549625,4199,0.91796875
1636304487.3349,4249,0.93359375
1636304488.0515356,4299,0.92578125
1636304488.7417905,4349,0.890625
1636304490.3260715,4399,0.93359375
1636304490.9911819,4449,0.9375
1636304491.6500401,4499,0.94921875
1636304492.305556,4549,0.90234375
1636304492.9833229,4599,0.91796875
1636304493.6570828,4649,0.94921875
1636304494.3381667,4699,0.9453125
1636304495.0146754,4749,0.93359375
1636304495.702752,4799,0.96484375
1636304496.953486,4849,0.90234375
1636304497.6185448,4899,0.9296875
1636304498.2971938,4949,0.9296875
1636304498.9440114,4999,0.9375
1636304499.6211486,5049,0.921875
1636304500.3149617,5099,0.9296875
1636304500.9925015,5149,0.93359375
1636304501.6724854,5199,0.96484375
1636304502.337517,5249,0.96484375
1636304504.0650196,5299,0.91015625
1636304504.7817013,5349,0.95703125
1636304505.5134842,5399,0.94921875
1636304506.1979291,5449,0.96875
1636304506.854249,5499,0.94140625
1636304507.5672753,5549,0.92578125
1636304508.2155435,5599,0.921875
1636304508.8968518,5649,0.9140625
1636304509.561376,5699,0.9453125
1636304510.864899,5749,0.92578125
1636304511.5611703,5799,0.94140625
1636304512.2386048,5849,0.94140625
1636304512.978729,5899,0.9453125
1636304513.6664152,5949,0.9453125
1636304514.3324528,5999,0.94140625
1636304515.002251,6049,0.94140625
1636304515.699377,6099,0.9453125
1636304517.3674664,6149,0.9296875
1636304518.0736136,6199,0.9296875
1636304518.7469254,6249,0.9375
1636304519.441171,6299,0.9296875
1636304520.1143,6349,0.98046875
1636304520.8137634,6399,0.97265625
1636304521.482058,6449,0.9453125
1636304522.1360917,6499,0.9609375
1636304522.802075,6549,0.9296875
1636304524.0663688,6599,0.9375
1636304524.7167401,6649,0.9296875
1636304525.3853226,6699,0.97265625
1636304526.0498197,6749,0.96875
1636304526.7101748,6799,0.953125
1636304527.3837264,6849,0.953125
1636304528.067691,6899,0.9140625
1636304528.7948341,6949,0.96875
1636304529.4892135,6999,0.93359375
1636304531.2126033,7049,0.96484375
1636304531.8937511,7099,0.9765625
1636304532.6026,7149,0.97265625
1636304533.2994826,7199,0.953125
1636304533.9761345,7249,0.96875
1636304534.65766,7299,0.95703125
1636304535.3766992,7349,0.95703125
1636304536.0792844,7399,0.9765625
1636304536.7763126,7449,0.9453125
1636304538.541452,7499,0.984375
1636304539.233478,7549,0.97265625
1636304539.936077,7599,0.94921875
1636304540.620863,7649,0.96875
1636304541.2946258,7699,0.98046875
1636304541.9793057,7749,0.96484375
1636304542.688251,7799,0.96875
1636304543.349961,7849,0.96875
