Wall time,Step,Value
1636307470.3466237,49,0.390625
1636307471.15224,99,0.3046875
1636307471.938021,149,0.32421875
1636307472.7480056,199,0.44921875
1636307473.5032976,249,0.41015625
1636307474.2876174,299,0.421875
1636307475.153547,349,0.46484375
1636307475.9057944,399,0.50390625
1636307477.9338596,449,0.5625
1636307478.7705033,499,0.6171875
1636307479.5544248,549,0.6328125
1636307480.3842885,599,0.63671875
1636307481.1537814,649,0.69921875
1636307481.8973365,699,0.66015625
1636307482.654317,749,0.72265625
1636307483.4284356,799,0.7265625
1636307485.4098356,849,0.765625
1636307486.2139,899,0.765625
1636307486.9976733,949,0.78515625
1636307487.7428637,999,0.7890625
1636307488.4973233,1049,0.828125
1636307489.3007302,1099,0.8125
1636307490.0574777,1149,0.8125
1636307490.8081927,1199,0.796875
1636307492.7256181,1249,0.81640625
1636307493.5177839,1299,0.8125
1636307494.2942195,1349,0.82421875
1636307495.1055741,1399,0.79296875
1636307495.8890526,1449,0.80859375
1636307496.693325,1499,0.828125
1636307497.4563735,1549,0.828125
1636307498.237168,1599,0.796875
1636307500.2191792,1649,0.8671875
1636307501.0462341,1699,0.84375
1636307501.8401945,1749,0.875
1636307502.6289139,1799,0.81640625
1636307503.3801398,1849,0.83203125
1636307504.1366422,1899,0.8359375
1636307504.90909,1949,0.84765625
1636307505.6739058,1999,0.84765625
1636307507.2034454,2049,0.875
1636307507.979365,2099,0.84765625
1636307508.7575986,2149,0.85546875
1636307509.4991283,2199,0.796875
1636307510.2671597,2249,0.8203125
1636307511.0478415,2299,0.82421875
1636307511.812173,2349,0.80859375
1636307512.5544982,2399,0.82421875
1636307514.0936997,2449,0.83984375
1636307514.875536,2499,0.84375
1636307515.6323948,2549,0.8515625
1636307516.3847163,2599,0.80859375
1636307517.1371,2649,0.80859375
1636307517.9248028,2699,0.78125
1636307518.7487135,2749,0.78515625
1636307519.5552437,2799,0.75
1636307521.121907,2849,0.8515625
1636307521.9123805,2899,0.8046875
1636307522.659054,2949,0.80859375
1636307523.44204,2999,0.8125
1636307524.202478,3049,0.796875
1636307524.9455957,3099,0.82421875
1636307525.7041118,3149,0.81640625
1636307526.4508715,3199,0.8515625
1636307527.9536328,3249,0.80859375
1636307528.7616692,3299,0.828125
1636307529.5380173,3349,0.8359375
1636307530.2886276,3399,0.8515625
1636307531.0648139,3449,0.8671875
1636307531.8096309,3499,0.80859375
1636307532.5465589,3549,0.796875
1636307533.3438673,3599,0.83203125
1636307534.813987,3649,0.8203125
1636307535.5707428,3699,0.85546875
1636307536.3377397,3749,0.8671875
1636307537.0939102,3799,0.8125
1636307537.8363798,3849,0.8671875
1636307538.6159525,3899,0.8203125
1636307539.4241881,3949,0.85546875
1636307540.1574545,3999,0.81640625
1636307540.964993,4049,0.8303030133247375
1636307542.3692107,4099,0.85546875
1636307543.1133826,4149,0.8671875
1636307543.8792207,4199,0.80078125
1636307544.6203303,4249,0.86328125
1636307545.3862827,4299,0.8203125
1636307546.1345682,4349,0.86328125
1636307546.9492428,4399,0.80078125
1636307547.6980486,4449,0.83203125
1636307549.1783023,4499,0.88671875
1636307549.9445188,4549,0.89453125
1636307550.6922266,4599,0.83203125
1636307551.517635,4649,0.84765625
1636307552.357217,4699,0.83203125
1636307553.1033635,4749,0.8203125
1636307553.8490884,4799,0.8203125
1636307554.6162097,4849,0.8359375
1636307556.2542157,4899,0.85546875
1636307557.065308,4949,0.89453125
1636307557.8080838,4999,0.89453125
1636307558.5831897,5049,0.88671875
1636307559.3742635,5099,0.8515625
1636307560.1293824,5149,0.8828125
1636307560.8662164,5199,0.84765625
1636307561.612421,5249,0.8359375
1636307563.1024983,5299,0.84765625
1636307563.8722303,5349,0.87890625
1636307564.6152442,5399,0.85546875
1636307565.3872402,5449,0.85546875
1636307566.1513054,5499,0.875
1636307566.8971677,5549,0.8359375
1636307567.647486,5599,0.85546875
1636307568.3985457,5649,0.84375
