Wall time,Step,Value
1636307012.138925,49,0.3125
1636307012.8537662,99,0.3203125
1636307013.5650418,149,0.36328125
1636307014.3259752,199,0.3359375
1636307015.0974808,249,0.37890625
1636307015.8872428,299,0.41796875
1636307017.625192,349,0.4296875
1636307018.3698745,399,0.48828125
1636307019.110211,449,0.4765625
1636307019.8513296,499,0.48046875
1636307020.5563273,549,0.56640625
1636307021.257195,599,0.6640625
1636307021.9503381,649,0.6171875
1636307023.760745,699,0.71484375
1636307024.5155437,749,0.671875
1636307025.2661376,799,0.6796875
1636307026.0032887,849,0.6875
1636307026.6959906,899,0.75390625
1636307027.396554,949,0.75
1636307028.1283104,999,0.73046875
1636307029.7753017,1049,0.7890625
1636307030.5305514,1099,0.7890625
1636307031.2494874,1149,0.7734375
1636307031.983462,1199,0.80078125
1636307032.7092967,1249,0.80078125
1636307033.4198794,1299,0.73046875
1636307034.1127114,1349,0.75
1636307035.838781,1399,0.80859375
1636307036.5845191,1449,0.7734375
1636307037.3424358,1499,0.77734375
1636307038.0849764,1549,0.8203125
1636307038.8097696,1599,0.73046875
1636307039.536291,1649,0.78515625
1636307040.2359915,1699,0.77734375
1636307042.098536,1749,0.73828125
1636307042.847457,1799,0.80078125
1636307043.5950701,1849,0.83203125
1636307044.3417683,1899,0.76171875
1636307045.0553322,1949,0.78125
1636307045.7671185,1999,0.7734375
1636307046.4789128,2049,0.72265625
1636307047.8104234,2099,0.78515625
1636307048.5322826,2149,0.74609375
1636307049.2457595,2199,0.7578125
1636307049.9442077,2249,0.7890625
1636307050.6725686,2299,0.82421875
1636307051.3823192,2349,0.765625
1636307052.1014338,2399,0.8046875
1636307053.4489162,2449,0.8046875
1636307054.1844988,2499,0.796875
1636307054.8968854,2549,0.7734375
1636307055.6147838,2599,0.75
1636307056.3178875,2649,0.76953125
1636307057.0471117,2699,0.7578125
1636307058.3435943,2749,0.77734375
1636307059.0637105,2799,0.828125
1636307059.7620625,2849,0.7890625
1636307060.476635,2899,0.75
1636307061.2082074,2949,0.83203125
1636307061.9327912,2999,0.7890625
1636307062.6311276,3049,0.796875
1636307063.9724517,3099,0.78515625
1636307064.6639004,3149,0.84375
1636307065.3889751,3199,0.7890625
1636307066.1103392,3249,0.78125
1636307066.8157313,3299,0.78515625
1636307067.543544,3349,0.78125
1636307068.2605011,3399,0.80078125
1636307069.5854888,3449,0.80859375
1636307070.2890596,3499,0.8046875
1636307071.0026305,3549,0.78125
1636307071.727396,3599,0.76171875
1636307072.441008,3649,0.78125
1636307073.133684,3699,0.76953125
1636307073.8422086,3749,0.80078125
1636307075.1392107,3799,0.8125
1636307075.884374,3849,0.79296875
1636307076.5954654,3899,0.796875
1636307077.3970773,3949,0.8046875
1636307078.208974,3999,0.79296875
1636307078.9247105,4049,0.8671875
1636307079.6433036,4099,0.76953125
1636307081.783627,4149,0.80859375
1636307082.5788975,4199,0.796875
1636307083.3326104,4249,0.83984375
1636307084.1368678,4299,0.8125
1636307084.8575406,4349,0.8515625
1636307085.576159,4399,0.80859375
1636307086.309288,4449,0.83984375
1636307088.0420365,4499,0.84375
1636307088.8026488,4549,0.8125
1636307089.5670424,4599,0.80859375
1636307090.2781508,4649,0.8671875
1636307091.011411,4699,0.84375
1636307091.7419302,4749,0.828125
1636307092.4616127,4799,0.81640625
1636307093.7627637,4849,0.80078125
1636307094.4697177,4899,0.828125
1636307095.1609097,4949,0.80078125
1636307095.8888085,4999,0.83984375
1636307096.6112008,5049,0.83203125
1636307097.3280616,5099,0.77734375
1636307099.0368428,5149,0.85546875
1636307099.7768548,5199,0.8515625
1636307100.531303,5249,0.87890625
1636307101.2804294,5299,0.8515625
1636307101.9832232,5349,0.8671875
1636307102.6915689,5399,0.859375
1636307103.4150043,5449,0.8203125
1636307104.746307,5499,0.8828125
1636307105.4444106,5549,0.87890625
1636307106.1594284,5599,0.8359375
1636307106.8774714,5649,0.88671875
1636307107.601225,5699,0.83984375
1636307108.3152723,5749,0.90234375
1636307109.056152,5799,0.875
1636307110.3745835,5849,0.8828125
1636307111.0674675,5899,0.90234375
1636307111.773602,5949,0.87890625
1636307112.4899104,5999,0.890625
1636307113.2014136,6049,0.8828125
1636307113.945038,6099,0.83984375
1636307114.6885297,6149,0.8828125
1636307116.0120888,6199,0.90234375
1636307116.7399616,6249,0.90625
1636307117.490781,6299,0.88671875
1636307118.1856265,6349,0.8984375
1636307118.8811095,6399,0.8828125
1636307119.606343,6449,0.88671875
1636307120.299253,6499,0.9296875
1636307121.6425164,6549,0.93359375
1636307122.3729606,6599,0.9453125
1636307123.0701363,6649,0.90234375
1636307123.784971,6699,0.87890625
1636307124.4877026,6749,0.90625
1636307125.1978831,6799,0.875
1636307125.9455912,6849,0.921875
1636307127.2590287,6899,0.9296875
1636307127.9662266,6949,0.9296875
1636307128.6732605,6999,0.9296875
1636307129.390623,7049,0.9375
1636307130.120543,7099,0.9453125
1636307130.820215,7149,0.93359375
1636307131.5374944,7199,0.9140625
1636307132.8401833,7249,0.91015625
1636307133.5554247,7299,0.921875
1636307134.2736895,7349,0.95703125
1636307135.0002544,7399,0.95703125
1636307135.7107446,7449,0.953125
1636307136.4215698,7499,0.9453125
1636307137.7532127,7549,0.96484375
1636307138.4922912,7599,0.96484375
1636307139.2050345,7649,0.96484375
1636307139.9111402,7699,0.96484375
1636307140.6258214,7749,0.96875
1636307141.328032,7799,0.96484375
1636307142.1728923,7849,0.953125
1636307143.5008957,7899,0.984375
1636307144.1976578,7949,0.9765625
1636307144.8922322,7999,0.984375
1636307145.6082437,8049,0.9765625
1636307146.3999872,8099,0.95703125
1636307147.1055448,8149,0.96484375
1636307147.8192554,8199,0.97265625
1636307149.116257,8249,0.9765625
1636307149.9701169,8299,1.0
1636307150.6626468,8349,0.9921875
1636307151.3867753,8399,0.98828125
1636307152.1088922,8449,0.9921875
1636307152.8149107,8499,1.0
1636307153.516732,8549,0.9921875
