Wall time,Step,Value
1636307163.8179216,49,0.44140625
1636307164.5924692,99,0.42578125
1636307165.3663332,149,0.5078125
1636307166.1078472,199,0.46875
1636307166.8432126,249,0.51953125
1636307167.6173422,299,0.5625
1636307168.3648353,349,0.63671875
1636307169.1058576,399,0.640625
1636307169.885156,449,0.6328125
1636307171.9155514,499,0.6796875
1636307172.6581895,549,0.69921875
1636307173.4101033,599,0.70703125
1636307174.243874,649,0.73046875
1636307174.9854145,699,0.8046875
1636307175.7475152,749,0.765625
1636307176.4904888,799,0.78515625
1636307177.234106,849,0.78515625
1636307177.9683082,899,0.7734375
1636307178.7217858,949,0.796875
1636307180.6659646,999,0.859375
1636307181.4362283,1049,0.8203125
1636307182.2029202,1099,0.83203125
1636307182.9648516,1149,0.87890625
1636307183.7324412,1199,0.8671875
1636307184.616256,1249,0.87890625
1636307185.387779,1299,0.86328125
1636307186.2620738,1349,0.83203125
1636307187.0744245,1399,0.86328125
1636307189.3897963,1449,0.86328125
1636307190.2372017,1499,0.8984375
1636307190.9985087,1549,0.91796875
1636307191.759139,1599,0.87890625
1636307192.5022752,1649,0.90234375
1636307193.2339141,1699,0.87109375
1636307193.9649658,1749,0.859375
1636307194.7081697,1799,0.88671875
1636307195.4644186,1849,0.87890625
1636307196.2308595,1899,0.859375
1636307197.7727125,1949,0.84765625
1636307198.5647528,1999,0.88671875
1636307199.381854,2049,0.85546875
1636307200.1434164,2099,0.859375
1636307200.903724,2149,0.86328125
1636307201.638081,2199,0.828125
1636307202.3804975,2249,0.87109375
1636307203.1258695,2299,0.84375
1636307203.8696415,2349,0.8671875
1636307205.3726156,2399,0.859375
1636307206.1193388,2449,0.88671875
1636307206.8608267,2499,0.8671875
1636307207.6265109,2549,0.875
1636307208.3687503,2599,0.8828125
1636307209.130896,2649,0.85546875
1636307209.8675888,2699,0.87890625
1636307210.6055398,2749,0.90234375
1636307211.3521101,2799,0.83203125
1636307212.1069796,2849,0.859375
1636307213.6180093,2899,0.859375
1636307214.3603709,2949,0.8515625
1636307215.1144032,2999,0.8671875
1636307215.8409038,3049,0.87109375
1636307216.5673325,3099,0.8203125
1636307217.3014777,3149,0.88671875
1636307218.0515316,3199,0.82421875
1636307218.7904015,3249,0.8515625
1636307219.5376043,3299,0.8671875
1636307221.044198,3349,0.78125
1636307221.7953167,3399,0.90234375
1636307222.5494223,3449,0.8515625
1636307223.294315,3499,0.828125
1636307224.0790627,3549,0.82421875
1636307224.825968,3599,0.8515625
1636307225.5731664,3649,0.87109375
1636307226.321712,3699,0.87890625
1636307227.068611,3749,0.859375
1636307227.8001764,3799,0.8671875
1636307229.3428488,3849,0.875
1636307230.075102,3899,0.875
1636307230.8062449,3949,0.87890625
1636307231.5219269,3999,0.8359375
1636307232.2766407,4049,0.83203125
1636307233.0217829,4099,0.859375
1636307233.7870133,4149,0.85546875
1636307234.5638378,4199,0.8515625
1636307235.3265083,4249,0.87109375
1636307236.8355443,4299,0.84375
1636307237.5871162,4349,0.8671875
1636307238.333127,4399,0.85546875
1636307239.0900328,4449,0.8671875
1636307239.8373811,4499,0.8359375
1636307240.5888374,4549,0.859375
1636307241.3099043,4599,0.87109375
1636307242.0420518,4649,0.85546875
1636307242.7750287,4699,0.8671875
1636307243.5579772,4749,0.84375
1636307245.4485123,4799,0.9140625
1636307246.2333803,4849,0.91796875
1636307247.0370536,4899,0.859375
1636307247.7956812,4949,0.890625
1636307248.5513961,4999,0.90625
1636307249.3092983,5049,0.8671875
1636307250.0755234,5099,0.890625
1636307250.8322256,5149,0.828125
1636307251.581921,5199,0.88671875
1636307253.1160562,5249,0.88671875
1636307253.855497,5299,0.85546875
1636307254.5990431,5349,0.86328125
1636307255.371303,5399,0.87890625
1636307256.1213658,5449,0.890625
1636307256.9014268,5499,0.875
1636307257.7232041,5549,0.890625
1636307258.4747722,5599,0.92578125
1636307259.257619,5649,0.88671875
1636307260.0058975,5699,0.91015625
1636307261.8184114,5749,0.8671875
1636307262.5515203,5799,0.8984375
1636307263.322486,5849,0.8984375
1636307264.0866551,5899,0.8828125
1636307264.835892,5949,0.92578125
1636307265.582699,5999,0.8359375
1636307266.3350482,6049,0.8984375
1636307267.0581608,6099,0.9296875
1636307267.8226898,6149,0.8984375
