Wall time,Step,Value
1636307368.3874552,49,0.734375
1636307369.2703304,99,0.75390625
1636307370.1122324,149,0.78125
1636307370.8813593,199,0.8046875
1636307371.6871321,249,0.8046875
1636307372.4344084,299,0.83203125
1636307373.1997452,349,0.875
1636307373.9608603,399,0.8671875
1636307375.9485466,449,0.89453125
1636307376.708372,499,0.8359375
1636307377.4687405,549,0.890625
1636307378.2620378,599,0.8828125
1636307379.0289993,649,0.8984375
1636307379.7843568,699,0.8828125
1636307380.538359,749,0.9140625
1636307381.3102775,799,0.91015625
1636307383.305166,849,0.9296875
1636307384.1258929,899,0.9140625
1636307384.9192724,949,0.94921875
1636307385.6916087,999,0.9140625
1636307386.4241908,1049,0.921875
1636307387.1725729,1099,0.92578125
1636307387.9099681,1149,0.93359375
1636307388.6536179,1199,0.91015625
1636307389.4269748,1249,0.91796875
1636307391.4658358,1299,0.9296875
1636307392.2394338,1349,0.93359375
1636307393.0207665,1399,0.9375
1636307393.795706,1449,0.953125
1636307394.5644016,1499,0.90625
1636307395.3437436,1549,0.9375
1636307396.1412723,1599,0.91015625
1636307396.8849788,1649,0.9375
1636307398.394126,1699,0.92578125
1636307399.1670673,1749,0.9296875
1636307399.9316995,1799,0.9453125
1636307400.6734304,1849,0.9453125
1636307401.4245763,1899,0.90234375
1636307402.222356,1949,0.93359375
1636307402.9950058,1999,0.94921875
1636307403.777568,2049,0.88671875
1636307404.526842,2099,0.90234375
1636307406.050919,2149,0.90234375
1636307406.8208554,2199,0.9296875
1636307407.5799093,2249,0.9296875
1636307408.3408854,2299,0.88671875
1636307409.0921211,2349,0.91015625
1636307409.822103,2399,0.90625
1636307410.585955,2449,0.87890625
1636307411.3436046,2499,0.8984375
1636307412.829252,2549,0.92578125
1636307413.5720468,2599,0.9140625
1636307414.3507924,2649,0.89453125
1636307415.0960882,2699,0.8828125
1636307415.823465,2749,0.91015625
1636307416.5930727,2799,0.90625
1636307417.3791163,2849,0.88671875
1636307418.1366432,2899,0.91015625
1636307418.8896275,2949,0.890625
1636307420.3685129,2999,0.9296875
1636307421.1189988,3049,0.9140625
1636307421.888788,3099,0.92578125
1636307422.6328998,3149,0.94921875
1636307423.3813205,3199,0.921875
1636307424.1344495,3249,0.8828125
1636307424.8696253,3299,0.9375
1636307425.6325529,3349,0.90625
1636307427.2081697,3399,0.91015625
1636307427.9655902,3449,0.88671875
1636307428.740497,3499,0.91796875
1636307429.5451696,3549,0.89453125
1636307430.3311481,3599,0.921875
1636307431.1005635,3649,0.90234375
1636307431.8447816,3699,0.9296875
1636307432.5977535,3749,0.8984375
1636307434.1360035,3799,0.92578125
1636307434.905622,3849,0.91015625
1636307435.6603372,3899,0.9453125
1636307436.4157228,3949,0.9140625
1636307437.1845808,3999,0.9296875
1636307437.9528873,4049,0.91015625
1636307438.7445908,4099,0.91015625
1636307439.5441298,4149,0.92578125
1636307440.3747497,4199,0.91015625
1636307441.8801548,4249,0.921875
1636307442.6333058,4299,0.94921875
1636307443.4881232,4349,0.92578125
1636307444.2588305,4399,0.93359375
1636307445.0443053,4449,0.9375
1636307445.7920058,4499,0.9140625
1636307446.6068976,4549,0.91015625
1636307447.3553855,4599,0.91796875
1636307448.8621054,4649,0.93359375
1636307449.6257477,4699,0.91015625
1636307450.380108,4749,0.94921875
1636307451.1589,4799,0.9140625
1636307451.9092457,4849,0.921875
1636307452.6436186,4899,0.9375
1636307453.4017954,4949,0.94140625
1636307454.1804528,4999,0.890625
1636307454.9383137,5049,0.91015625
1636307456.4334629,5099,0.92578125
1636307457.1796963,5149,0.90625
1636307457.9105525,5199,0.9296875
1636307458.6391096,5249,0.953125
1636307459.4055214,5299,0.9375
1636307460.1881902,5349,0.8984375
1636307460.936408,5399,0.96875
1636307461.694732,5449,0.9140625
