Wall time,Step,Value
1637691805.675756,49,0.81640625
1637691806.4100149,99,0.84765625
1637691807.1391463,149,0.86328125
1637691807.9220738,199,0.9296875
1637691808.624826,249,0.90625
1637691809.355473,299,0.9453125
1637691810.0536218,349,0.94140625
1637691810.7467632,399,0.96875
1637691812.5414748,449,0.97265625
1637691813.2796338,499,0.97265625
1637691813.9933634,549,0.96875
1637691814.6875532,599,0.96484375
1637691815.3879583,649,0.94921875
1637691816.0959988,699,0.9765625
1637691816.7946243,749,0.984375
1637691817.5028334,799,0.984375
1637691818.2566783,849,0.98828125
1637691820.0901394,899,0.98828125
1637691820.843021,949,0.98828125
1637691821.5608518,999,0.9921875
1637691822.2619255,1049,1.0
1637691822.972149,1099,0.9921875
1637691823.6900504,1149,0.9921875
1637691824.4166842,1199,0.9921875
1637691825.164188,1249,0.984375
1637691825.8819675,1299,0.98828125
1637691827.778259,1349,0.99609375
1637691828.5256464,1399,0.9921875
1637691829.2685628,1449,0.984375
1637691830.083172,1499,0.98046875
1637691830.828624,1549,0.984375
1637691831.5483994,1599,0.9765625
1637691832.305167,1649,0.97265625
1637691833.0219364,1699,0.98046875
1637691833.7595623,1749,0.953125
1637691835.2373915,1799,0.984375
1637691835.9575043,1849,0.94921875
1637691836.6977396,1899,0.98046875
1637691837.4231405,1949,0.984375
1637691838.1187165,1999,0.95703125
1637691838.8293307,2049,0.95703125
1637691839.5378919,2099,0.96484375
1637691840.2529764,2149,0.96484375
1637691841.657785,2199,0.9765625
1637691842.3820786,2249,0.9765625
1637691843.1097927,2299,0.96484375
1637691843.8139076,2349,0.97265625
1637691844.5395045,2399,0.96875
1637691845.252949,2449,0.96875
1637691845.9693663,2499,0.953125
1637691846.6769164,2549,0.9375
1637691847.4031005,2599,0.94140625
1637691848.8232718,2649,0.96484375
1637691849.5727408,2699,0.98828125
1637691850.2842941,2749,0.95703125
1637691850.9997962,2799,0.9453125
1637691851.737396,2849,0.953125
1637691852.4410374,2899,0.9609375
1637691853.1434157,2949,0.94921875
1637691853.848142,2999,0.953125
1637691854.5631042,3049,0.9453125
1637691855.925926,3099,0.984375
1637691856.6487048,3149,0.9453125
1637691857.3458347,3199,0.9375
1637691858.060436,3249,0.953125
1637691858.7940686,3299,0.9375
1637691859.5259094,3349,0.94140625
1637691860.2337673,3399,0.9453125
1637691860.9579391,3449,0.9375
1637691861.6801422,3499,0.95703125
1637691863.0639868,3549,0.9609375
1637691863.7812698,3599,0.94921875
1637691864.4793024,3649,0.96484375
1637691865.2089672,3699,0.95703125
1637691865.9228575,3749,0.9453125
1637691866.6405394,3799,0.91015625
1637691867.3540611,3849,0.96875
1637691868.0600214,3899,0.93359375
1637691868.7549307,3949,0.96484375
1637691870.1670787,3999,0.94921875
1637691870.8862085,4049,0.92578125
1637691871.6069205,4099,0.953125
1637691872.3124769,4149,0.94140625
1637691873.072255,4199,0.97265625
1637691873.8194897,4249,0.91796875
1637691874.540558,4299,0.94921875
1637691875.23349,4349,0.94921875
1637691876.8078935,4399,0.96484375
1637691877.5759277,4449,0.95703125
1637691878.286394,4499,0.97265625
1637691879.0026097,4549,0.9609375
1637691879.7053895,4599,0.96484375
1637691880.41443,4649,0.9453125
1637691881.1721418,4699,0.95703125
1637691881.886765,4749,0.94140625
1637691882.589858,4799,0.9453125
1637691884.0126572,4849,0.97265625
1637691884.7206156,4899,0.9765625
1637691885.4278738,4949,0.96484375
1637691886.1500876,4999,0.96484375
1637691886.8645623,5049,0.96875
1637691887.638282,5099,0.9609375
1637691888.3720832,5149,0.96875
1637691889.11939,5199,0.953125
1637691889.8781178,5249,0.97265625
1637691891.3504312,5299,0.9609375
1637691892.0981762,5349,0.95703125
1637691892.8409078,5399,0.94921875
1637691893.5704377,5449,0.98046875
1637691894.295026,5499,0.95703125
1637691895.0198731,5549,0.96484375
1637691895.741779,5599,0.96484375
1637691896.4672482,5649,0.95703125
1637691897.182475,5699,0.9765625
1637691898.569733,5749,0.97265625
1637691899.2972507,5799,0.9765625
1637691900.015053,5849,0.96484375
1637691900.7510767,5899,0.9765625
1637691901.4781542,5949,0.96484375
1637691902.1891248,5999,0.984375
1637691902.8972032,6049,0.97265625
1637691903.6296937,6099,0.97265625
1637691905.0285802,6149,0.9453125
1637691905.7318063,6199,0.984375
1637691906.440756,6249,0.98046875
1637691907.1553113,6299,0.96484375
1637691907.8694694,6349,0.95703125
1637691908.5880985,6399,0.9609375
1637691909.3057785,6449,0.97265625
1637691910.0672865,6499,0.9765625
1637691910.7774818,6549,0.96875
1637691912.1883771,6599,0.9375
1637691912.8932214,6649,0.984375
1637691913.6007485,6699,0.9609375
1637691914.3110175,6749,0.96484375
1637691915.0141532,6799,0.96875
1637691915.7128637,6849,0.95703125
1637691916.429766,6899,0.984375
1637691917.1399343,6949,0.9765625
1637691917.844731,6999,0.984375
1637691919.2224,7049,0.96875
1637691919.9289262,7099,0.99609375
1637691920.6258097,7149,0.9609375
1637691921.3509684,7199,0.99609375
1637691922.0499234,7249,0.98828125
1637691922.7491937,7299,0.97265625
1637691923.483806,7349,0.9921875
1637691924.18833,7399,0.98828125
1637691924.9365737,7449,0.984375
1637691926.3474376,7499,0.99609375
1637691927.0567617,7549,0.98828125
1637691927.7655203,7599,0.9921875
1637691928.4666736,7649,0.98046875
1637691929.1664789,7699,0.97265625
1637691929.9076214,7749,0.98046875
1637691930.6240752,7799,0.9921875
1637691931.349248,7849,0.9765625
1637691932.0718753,7899,0.98828125
