Wall time,Step,Value
1636314519.6641495,49,0.828125
1636314520.3371713,99,0.86328125
1636314521.0048072,149,0.93359375
1636314521.8075144,199,0.8984375
1636314522.4743764,249,0.9375
1636314523.148412,299,0.91015625
1636314523.8197162,349,0.93359375
1636314524.4969244,399,0.953125
1636314526.176517,449,0.96875
1636314526.904666,499,0.98046875
1636314527.5816472,549,0.984375
1636314528.2599514,599,0.984375
1636314528.922802,649,0.98828125
1636314529.6055448,699,0.98046875
1636314530.3031313,749,0.9921875
1636314530.9829679,799,0.9765625
1636314531.63614,849,0.9765625
1636314533.3534884,899,0.98828125
1636314534.039023,949,0.984375
1636314534.7322462,999,1.0
1636314535.3973913,1049,0.99609375
1636314536.087195,1099,1.0
1636314536.763733,1149,0.98046875
1636314537.4596376,1199,0.98828125
1636314538.1588147,1249,0.97265625
1636314538.8716326,1299,0.9765625
1636314540.634654,1349,0.9921875
1636314541.3182366,1399,0.984375
1636314542.0404882,1449,0.99609375
1636314542.7103057,1499,0.9921875
1636314543.3933744,1549,0.9765625
1636314544.101839,1599,0.9765625
1636314544.7786944,1649,0.96875
1636314545.4659467,1699,0.96484375
1636314546.139398,1749,0.97265625
1636314547.427082,1799,0.9765625
1636314548.1130803,1849,0.9375
1636314548.7933755,1899,0.96484375
1636314549.5028586,1949,0.96484375
1636314550.2068734,1999,0.97265625
1636314550.89487,2049,0.9765625
1636314551.580586,2099,0.9609375
1636314552.2578454,2149,0.9609375
1636314553.5299313,2199,0.953125
1636314554.2080588,2249,0.94921875
1636314554.928502,2299,0.9609375
1636314555.612279,2349,0.9609375
1636314556.291445,2399,0.9765625
1636314556.972483,2449,0.9453125
1636314557.6358109,2499,0.9375
1636314558.2961938,2549,0.94921875
1636314558.9738362,2599,0.96484375
1636314560.2720385,2649,0.92578125
1636314560.962138,2699,0.94921875
1636314561.6516812,2749,0.94921875
1636314562.3512342,2799,0.93359375
1636314563.0203671,2849,0.921875
1636314563.6977818,2899,0.953125
1636314564.3880248,2949,0.9375
1636314565.0756547,2999,0.9296875
1636314565.7762213,3049,0.9453125
1636314567.0760937,3099,0.94921875
1636314567.759728,3149,0.95703125
1636314568.4796891,3199,0.93359375
1636314569.1541457,3249,0.984375
1636314569.8402255,3299,0.953125
1636314570.5353565,3349,0.96484375
1636314571.2336376,3399,0.94140625
1636314571.899197,3449,0.953125
1636314572.59062,3499,0.95703125
