Wall time,Step,Value
1637689911.811298,49,0.5
1637689912.5525599,99,0.640625
1637689913.336116,149,0.59765625
1637689914.1859472,199,0.6875
1637689914.9310462,249,0.6875
1637689915.653079,299,0.7109375
1637689916.421029,349,0.74609375
1637689917.164427,399,0.74609375
1637689918.9797392,449,0.8125
1637689919.7356505,499,0.83984375
1637689920.4479043,549,0.83203125
1637689921.1682487,599,0.87890625
1637689921.9239006,649,0.89453125
1637689922.649716,699,0.8984375
1637689923.3808599,749,0.91796875
1637689924.121133,799,0.92578125
1637689924.8485866,849,0.9296875
1637689926.7060955,899,0.94921875
1637689927.454991,949,0.93359375
1637689928.1925354,999,0.953125
1637689928.95904,1049,0.9453125
1637689929.705861,1099,0.9609375
1637689930.4282758,1149,0.953125
1637689931.1887782,1199,0.953125
1637689931.9444485,1249,0.953125
1637689932.7098126,1299,0.9453125
1637689934.550249,1349,0.9609375
1637689935.3397205,1399,0.9609375
1637689936.0932362,1449,0.99609375
1637689936.8136637,1499,0.9765625
1637689937.5666025,1549,0.96875
1637689938.3267677,1599,0.9609375
1637689939.0569305,1649,0.97265625
1637689939.7952495,1699,0.9921875
1637689940.5265348,1749,0.97265625
1637689941.990964,1799,0.96875
1637689942.7415495,1849,0.95703125
1637689943.5020833,1899,0.94140625
1637689944.2466264,1949,0.984375
1637689945.0037172,1999,0.9609375
1637689945.7161012,2049,0.97265625
1637689946.4479537,2099,0.94140625
1637689947.1883397,2149,0.96875
1637689948.604343,2199,0.95703125
1637689949.3419883,2249,0.953125
1637689950.1213486,2299,0.9375
1637689950.865656,2349,0.97265625
1637689951.6195786,2399,0.96875
1637689952.3409886,2449,0.9609375
1637689953.0848656,2499,0.96484375
1637689953.8174362,2549,0.9296875
1637689954.5429335,2599,0.984375
1637689955.9941084,2649,0.9453125
1637689956.7487915,2699,0.94921875
1637689957.4654186,2749,0.953125
1637689958.169294,2799,0.96875
1637689958.888187,2849,0.9453125
1637689959.6585512,2899,0.9453125
1637689960.4080462,2949,0.9453125
1637689961.1556063,2999,0.93359375
1637689961.8931901,3049,0.953125
1637689963.3840857,3099,0.9453125
1637689964.113174,3149,0.94921875
1637689964.829875,3199,0.96875
1637689965.5883641,3249,0.94140625
1637689966.3267238,3299,0.94921875
1637689967.0962937,3349,0.94140625
1637689967.8564222,3399,0.94921875
1637689968.5640087,3449,0.95703125
1637689969.2953334,3499,0.94140625
1637689970.7836897,3549,0.9453125
1637689971.5228622,3599,0.94921875
1637689972.2496755,3649,0.96875
1637689972.9620285,3699,0.93359375
1637689973.694636,3749,0.9609375
1637689974.414249,3799,0.94140625
1637689975.1322126,3849,0.96875
1637689975.860667,3899,0.96484375
1637689976.5853097,3949,0.94140625
1637689978.0235786,3999,0.96484375
1637689978.742413,4049,0.94921875
1637689979.49163,4099,0.96875
1637689980.274638,4149,0.953125
1637689981.0825617,4199,0.953125
1637689981.8112354,4249,0.94921875
1637689982.5574732,4299,0.953125
1637689983.306105,4349,0.96484375
1637689984.917598,4399,0.953125
1637689985.7326982,4449,0.9609375
1637689986.4486957,4499,0.9609375
1637689987.2352188,4549,0.96875
1637689987.9499285,4599,0.9765625
1637689988.6866531,4649,0.97265625
1637689989.4317696,4699,0.96875
1637689990.1435795,4749,0.9609375
1637689990.8602436,4799,0.97265625
1637689992.3522334,4849,0.9765625
1637689993.089677,4899,0.9765625
1637689993.8284864,4949,0.96875
1637689994.6220458,4999,0.97265625
1637689995.3334923,5049,0.9765625
1637689996.1008313,5099,0.98046875
1637689996.8632026,5149,0.96875
1637689997.6283758,5199,0.9609375
1637689998.3485627,5249,0.9609375
1637689999.807331,5299,0.98828125
1637690000.5353668,5349,0.953125
1637690001.2979376,5399,0.97265625
1637690002.0201943,5449,0.94921875
1637690002.732231,5499,0.94921875
1637690003.4550052,5549,0.9375
1637690004.1584954,5599,0.953125
1637690004.8695543,5649,0.97265625
1637690005.641245,5699,0.9609375
1637690007.0422935,5749,0.96484375
1637690007.795505,5799,0.9609375
1637690008.497475,5849,0.95703125
1637690009.2446632,5899,0.9609375
1637690010.0181057,5949,0.97265625
1637690010.7383296,5999,0.984375
1637690011.4922,6049,0.94140625
1637690012.257719,6099,0.96484375
1637690013.7162673,6149,0.98046875
1637690014.5080237,6199,0.97265625
1637690015.255711,6249,0.95703125
1637690016.0374258,6299,0.96484375
1637690016.8207881,6349,0.9921875
1637690017.5872488,6399,0.9765625
1637690018.3820183,6449,0.97265625
1637690019.151475,6499,0.9609375
1637690019.9105175,6549,0.98046875
1637690021.8155699,6599,0.97265625
1637690022.6478705,6649,0.984375
1637690023.435451,6699,0.98828125
1637690024.145291,6749,0.9765625
1637690024.8611672,6799,0.97265625
1637690025.6016145,6849,0.96875
1637690026.3556638,6899,0.984375
1637690027.1271338,6949,0.9765625
1637690027.9047735,6999,0.97265625
1637690029.7073073,7049,0.99609375
1637690030.4562397,7099,0.98046875
1637690031.203805,7149,0.97265625
1637690031.9593291,7199,0.9921875
1637690032.7215693,7249,0.9765625
1637690033.4705641,7299,0.984375
1637690034.1933537,7349,0.9765625
1637690034.9117658,7399,0.9921875
1637690035.656603,7449,0.984375
1637690037.127182,7499,0.98046875
1637690037.8461752,7549,0.97265625
1637690038.5550337,7599,0.9765625
1637690039.3228931,7649,0.984375
1637690040.061904,7699,0.96484375
1637690040.7707412,7749,0.984375
1637690041.5335047,7799,0.984375
1637690042.3091311,7849,0.99609375
1637690043.0635598,7899,0.98828125
1637690044.5061433,7949,0.9921875
1637690045.2313685,7999,0.98828125
1637690045.9670734,8049,0.98046875
1637690046.757732,8099,0.984375
1637690047.5159626,8149,0.98828125
1637690048.28049,8199,0.98828125
1637690049.0608542,8249,0.9921875
1637690049.8805523,8299,0.9921875
1637690051.7927496,8349,0.984375
1637690052.5837488,8399,0.98828125
1637690053.368347,8449,0.99609375
1637690054.1532333,8499,0.99609375
1637690054.8842258,8549,0.98828125
1637690055.6544626,8599,0.9921875
1637690056.3897698,8649,0.984375
1637690057.2541294,8699,0.984375
1637690058.0172136,8749,1.0
1637690059.4557033,8799,1.0
1637690060.1767244,8849,0.9921875
1637690060.8890738,8899,0.98828125
1637690061.6212015,8949,1.0
1637690062.4250677,8999,0.984375
1637690063.168563,9049,0.99609375
1637690063.9037201,9099,1.0
1637690064.6680477,9149,0.99609375
1637690065.4019773,9199,0.99609375
1637690067.245526,9249,0.9921875
1637690067.9543676,9299,0.9921875
1637690068.693843,9349,1.0
1637690069.4538028,9399,0.9921875
1637690070.189241,9449,1.0
1637690070.909351,9499,0.9921875
1637690071.6508317,9549,0.984375
1637690072.3891554,9599,0.99609375
1637690073.151564,9649,0.99609375
1637690075.174734,9699,0.99609375
1637690075.9280355,9749,0.9921875
1637690076.6989224,9799,0.99609375
1637690077.429181,9849,1.0
1637690078.155606,9899,1.0
1637690078.9201865,9949,1.0
1637690079.681897,9999,1.0
1637690080.4377692,10049,0.99609375
1637690082.3115692,10099,0.9921875
1637690083.0612173,10149,1.0
1637690083.7706318,10199,0.9921875
1637690084.5250902,10249,1.0
1637690085.2564557,10299,0.99609375
1637690085.9945836,10349,0.99609375
1637690086.726099,10399,0.99609375
1637690087.5270908,10449,0.99609375
1637690088.2619295,10499,0.99609375
1637690089.6580746,10549,0.99609375
1637690090.428334,10599,1.0
1637690091.1762316,10649,1.0
1637690091.8918598,10699,1.0
1637690092.61925,10749,1.0
1637690093.34407,10799,0.99609375
1637690094.0673802,10849,1.0
1637690094.7876852,10899,0.99609375
1637690095.555355,10949,0.9921875
1637690097.4752412,10999,0.99609375
1637690098.2535415,11049,0.99609375
1637690099.0264294,11099,1.0
1637690099.772508,11149,1.0
1637690100.4946933,11199,0.99609375
1637690101.2422671,11249,1.0
1637690102.0169616,11299,1.0
1637690102.7501082,11349,1.0
1637690103.5129783,11399,1.0
1637690105.5113075,11449,1.0
1637690106.292872,11499,1.0
1637690107.1259515,11549,0.99609375
1637690107.9444122,11599,1.0
1637690108.7146122,11649,1.0
1637690109.458904,11699,0.99609375
1637690110.1996355,11749,1.0
1637690110.9650462,11799,1.0
1637690111.7426057,11849,1.0
1637690113.2537162,11899,1.0
1637690114.0193145,11949,0.9921875
1637690114.7835016,11999,1.0
1637690115.5422297,12049,1.0
1637690116.2681391,12099,1.0
1637690117.0500438,12149,1.0
1637690117.7702441,12199,0.99609375
1637690118.5411162,12249,0.9921875
1637690119.9756181,12299,1.0
1637690120.692652,12349,1.0
1637690121.473765,12399,0.99609375
1637690122.249812,12449,1.0
1637690122.9924116,12499,1.0
1637690123.7547426,12549,0.99609375
1637690124.5439951,12599,1.0
1637690125.3430216,12649,1.0
1637690126.1733313,12699,1.0
1637690127.636646,12749,1.0
1637690128.463134,12799,1.0
1637690129.244479,12849,1.0
1637690130.0684998,12899,0.99609375
1637690130.7921028,12949,1.0
1637690131.5176046,12999,1.0
1637690132.2831287,13049,1.0
1637690133.001601,13099,0.99609375
1637690133.7053182,13149,0.9921875
