Wall time,Step,Value
1637691080.5348332,49,0.796875
1637691081.2706068,99,0.8359375
1637691081.9894347,149,0.86328125
1637691082.8196542,199,0.89453125
1637691083.5309596,249,0.90625
1637691084.2313135,299,0.94140625
1637691084.9416919,349,0.92578125
1637691085.6617115,399,0.94921875
1637691087.4315348,449,0.9609375
1637691088.1507182,499,0.98046875
1637691088.8670044,549,0.9921875
1637691089.575789,599,0.9765625
1637691090.305312,649,0.9765625
1637691091.0309122,699,0.9921875
1637691091.7458632,749,0.984375
1637691092.450043,799,0.98828125
1637691093.1783435,849,0.99609375
1637691094.9697902,899,0.984375
1637691095.708736,949,1.0
1637691096.4104002,999,1.0
1637691097.1373382,1049,0.98828125
1637691097.836835,1099,0.98828125
1637691098.601538,1149,0.9921875
1637691099.3160856,1199,0.96875
1637691100.0677671,1249,0.984375
1637691100.8228633,1299,0.97265625
1637691102.2227674,1349,0.98828125
1637691102.9403687,1399,0.9921875
1637691103.6377077,1449,0.99609375
1637691104.3433077,1499,0.984375
1637691105.060573,1549,0.9765625
1637691105.790449,1599,0.97265625
1637691106.493173,1649,0.97265625
1637691107.2031603,1699,0.9765625
1637691107.9231813,1749,0.96484375
1637691109.3272107,1799,0.96875
1637691110.0342517,1849,0.98046875
1637691110.737408,1899,0.953125
1637691111.4533355,1949,0.97265625
1637691112.1642754,1999,0.95703125
1637691112.8629885,2049,0.9609375
1637691113.5972733,2099,0.95703125
1637691114.313074,2149,0.94921875
1637691115.7073839,2199,0.9375
1637691116.4215376,2249,0.9609375
1637691117.1400847,2299,0.9609375
1637691117.8660157,2349,0.96484375
1637691118.578809,2399,0.97265625
1637691119.3006883,2449,0.9453125
1637691120.0187986,2499,0.97265625
1637691120.7648492,2549,0.9296875
1637691121.4702928,2599,0.96875
1637691122.8574603,2649,0.9140625
1637691123.6152954,2699,0.96875
1637691124.312842,2749,0.95703125
1637691125.0150576,2799,0.953125
1637691125.7307603,2849,0.9609375
1637691126.4343193,2899,0.94140625
1637691127.16344,2949,0.9140625
1637691127.878466,2999,0.94140625
1637691128.5858388,3049,0.9375
1637691129.9895158,3099,0.94140625
1637691130.703566,3149,0.94921875
1637691131.4106135,3199,0.96875
1637691132.1690574,3249,0.95703125
1637691132.8915079,3299,0.9296875
1637691133.60701,3349,0.953125
1637691134.3467393,3399,0.9453125
1637691135.0561466,3449,0.9765625
1637691135.774877,3499,0.9453125
1637691137.1966887,3549,0.92578125
1637691137.9089713,3599,0.9765625
1637691138.641382,3649,0.96484375
1637691139.362316,3699,0.9453125
1637691140.0685835,3749,0.96875
1637691140.8115733,3799,0.94140625
1637691141.5383885,3849,0.9609375
1637691142.250726,3899,0.9765625
1637691143.01776,3949,0.9453125
1637691144.441288,3999,0.9375
1637691145.15827,4049,0.96875
1637691145.8852236,4099,0.953125
1637691146.633972,4149,0.9453125
1637691147.4305573,4199,0.9453125
1637691148.136562,4249,0.94921875
1637691148.8399987,4299,0.9296875
1637691149.5511272,4349,0.93359375
1637691151.2123628,4399,0.9609375
1637691151.9874609,4449,0.9609375
1637691152.697311,4499,0.95703125
1637691153.40804,4549,0.953125
1637691154.116663,4599,0.9609375
1637691154.826689,4649,0.9453125
1637691155.556889,4699,0.96484375
1637691156.2953227,4749,0.97265625
1637691156.9973178,4799,0.98046875
1637691158.370375,4849,0.953125
1637691159.0850782,4899,0.96484375
1637691159.7991915,4949,0.9609375
1637691160.4881954,4999,0.9609375
1637691161.223369,5049,0.97265625
1637691161.9427838,5099,0.94921875
1637691162.6550574,5149,0.98046875
1637691163.3725617,5199,0.9765625
1637691164.0906835,5249,0.953125
1637691165.5154936,5299,0.94921875
1637691166.2609468,5349,0.9765625
1637691166.9734933,5399,0.96484375
1637691167.6872995,5449,0.95703125
1637691168.4047387,5499,0.9609375
1637691169.1137168,5549,0.953125
1637691169.8365326,5599,0.9765625
1637691170.5565841,5649,0.9375
1637691171.2837722,5699,0.94921875
1637691172.6846364,5749,0.953125
1637691173.4009047,5799,0.9765625
1637691174.1233706,5849,0.9609375
1637691174.864517,5899,0.97265625
1637691175.6052306,5949,0.97265625
1637691176.3170586,5999,0.97265625
1637691177.0580225,6049,0.9765625
1637691177.770397,6099,0.96484375
1637691179.2241313,6149,0.98046875
1637691179.9477184,6199,0.9765625
1637691180.6793885,6249,0.95703125
1637691181.4066713,6299,0.96875
1637691182.1225648,6349,0.9609375
1637691182.8261452,6399,0.97265625
1637691183.5865018,6449,0.98046875
1637691184.2833169,6499,0.9765625
1637691184.9940736,6549,0.96875
1637691186.4498975,6599,0.97265625
1637691187.159899,6649,0.96484375
1637691187.865032,6699,0.984375
1637691188.594837,6749,0.984375
1637691189.3048766,6799,0.984375
1637691190.0086443,6849,0.97265625
1637691190.7434146,6899,0.98828125
1637691191.4615269,6949,0.98828125
1637691192.177624,6999,0.9765625
1637691193.593831,7049,0.99609375
1637691194.3085103,7099,0.9921875
1637691195.0495188,7149,0.97265625
1637691195.765346,7199,0.984375
1637691196.4809303,7249,0.97265625
1637691197.202301,7299,0.9765625
1637691197.9548872,7349,0.984375
1637691198.669316,7399,0.96875
1637691199.3947709,7449,0.96875
