Wall time,Step,Value
1637691973.9284987,49,0.98046875
1637691974.6690931,99,0.97265625
1637691975.4054132,149,0.984375
1637691976.2336712,199,0.98046875
1637691976.9584024,249,0.9765625
1637691977.6771781,299,0.984375
1637691978.3971443,349,0.97265625
1637691979.1406307,399,0.98046875
1637691980.9634824,449,0.9921875
1637691981.765349,499,0.99609375
1637691982.4991624,549,0.9921875
1637691983.2639892,599,0.98828125
1637691984.0034635,649,0.9921875
1637691984.7438123,699,0.98828125
1637691985.494741,749,0.99609375
1637691986.2241087,799,0.98828125
1637691986.9620464,849,0.99609375
1637691988.821178,899,1.0
1637691989.5641882,949,1.0
1637691990.2970576,999,0.984375
1637691991.036634,1049,0.9921875
1637691991.780984,1099,0.98046875
1637691992.5019348,1149,0.98046875
1637691993.2295496,1199,0.99609375
1637691993.9426975,1249,0.9921875
1637691994.6529913,1299,0.9765625
1637691996.0447204,1349,0.96875
1637691996.746433,1399,0.984375
1637691997.4636045,1449,0.9609375
1637691998.1591163,1499,0.96484375
1637691998.8708532,1549,0.98046875
1637691999.5889866,1599,0.98046875
1637692000.3123024,1649,0.97265625
1637692001.0397341,1699,0.9609375
1637692001.752449,1749,0.96484375
1637692003.1403878,1799,0.9765625
1637692003.8798647,1849,0.96484375
1637692004.596209,1899,0.96484375
1637692005.352764,1949,0.9609375
1637692006.092091,1999,0.96875
1637692006.8101778,2049,0.9609375
1637692007.5430894,2099,0.96875
1637692008.2773094,2149,0.95703125
1637692009.7466195,2199,0.9375
1637692010.484487,2249,0.9609375
1637692011.2050276,2299,0.96484375
1637692011.9465067,2349,0.9453125
1637692012.6661878,2399,0.9609375
1637692013.4038668,2449,0.94921875
1637692014.139613,2499,0.97265625
1637692014.878414,2549,0.95703125
1637692015.639641,2599,0.94921875
1637692017.0632198,2649,0.96484375
1637692017.7937474,2699,0.96875
1637692018.5240965,2749,0.96484375
1637692019.272123,2799,0.95703125
1637692020.0039852,2849,0.96875
1637692020.7264612,2899,0.9609375
1637692021.450743,2949,0.9375
1637692022.1787229,2999,0.96875
1637692022.9169059,3049,0.94140625
1637692024.3388703,3099,0.94140625
1637692025.05383,3149,0.9375
1637692025.7640553,3199,0.9609375
1637692026.4758573,3249,0.9609375
1637692027.1838608,3299,0.9296875
1637692027.89669,3349,0.94140625
1637692028.6095006,3399,0.95703125
1637692029.35257,3449,0.90625
1637692030.0863714,3499,0.92578125
1637692031.5408955,3549,0.953125
1637692032.2968612,3599,0.953125
1637692033.0361767,3649,0.953125
1637692033.812758,3699,0.94140625
1637692034.6073008,3749,0.96484375
1637692035.3692756,3799,0.9765625
1637692036.1296425,3849,0.92578125
1637692036.8813388,3899,0.96484375
1637692037.6103659,3949,0.953125
1637692039.0510356,3999,0.96875
1637692039.7788136,4049,0.9609375
1637692040.5001228,4099,0.94921875
1637692041.2456665,4149,0.96484375
1637692042.0532572,4199,0.94140625
1637692042.7805357,4249,0.96484375
1637692043.5514688,4299,0.96484375
1637692044.2864401,4349,0.97265625
1637692045.7965071,4399,0.95703125
1637692046.5090268,4449,0.95703125
1637692047.2396252,4499,0.97265625
1637692047.9754229,4549,0.95703125
1637692048.70837,4599,0.953125
1637692049.4530425,4649,0.96484375
1637692050.1824844,4699,0.96484375
1637692050.9031718,4749,0.95703125
1637692051.633765,4799,0.95703125
1637692053.084001,4849,0.96484375
1637692053.820844,4899,0.97265625
1637692054.5674624,4949,0.98046875
1637692055.2910178,4999,0.9765625
1637692056.0233123,5049,0.9609375
1637692056.7993495,5099,0.96875
1637692057.527575,5149,0.95703125
1637692058.256277,5199,0.96875
1637692059.002842,5249,0.94921875
1637692060.397679,5299,0.9765625
1637692061.114025,5349,0.97265625
1637692061.8235192,5399,0.95703125
1637692062.5432103,5449,0.97265625
1637692063.2783923,5499,0.9765625
1637692064.0014558,5549,0.96484375
1637692064.7099035,5599,0.953125
1637692065.4455974,5649,0.96875
1637692066.1736667,5699,0.953125
1637692067.5924554,5749,0.9453125
1637692068.3379424,5799,0.96484375
1637692069.0565982,5849,0.98046875
1637692069.7881474,5899,0.98046875
1637692070.495504,5949,0.953125
1637692071.2066655,5999,0.96875
1637692071.926284,6049,0.9765625
1637692072.6446702,6099,0.953125
1637692074.1593173,6149,0.98046875
1637692074.9170477,6199,0.98828125
1637692075.6531928,6249,0.96484375
1637692076.423508,6299,0.9609375
1637692077.184343,6349,0.98046875
1637692077.9421089,6399,0.9609375
1637692078.6873746,6449,0.97265625
1637692079.4447224,6499,0.98046875
1637692080.1922605,6549,0.9609375
1637692081.6388776,6599,0.97265625
1637692082.3701427,6649,0.96875
1637692083.1260178,6699,0.96875
1637692083.8390663,6749,0.98828125
1637692084.5775237,6799,0.984375
1637692085.346095,6849,0.98828125
1637692086.1326506,6899,0.96875
1637692086.8685079,6949,0.984375
1637692087.595541,6999,0.97265625
1637692088.9970825,7049,0.9921875
1637692089.730982,7099,0.9765625
1637692090.4390175,7149,0.9609375
1637692091.14078,7199,0.984375
1637692091.8703167,7249,0.98046875
1637692092.605986,7299,0.9765625
1637692093.315779,7349,0.96484375
1637692094.0307992,7399,0.98046875
1637692094.752266,7449,0.96484375
