Wall time,Step,Value
1635822409.9139764,49,0.6171875
1635822410.9228327,99,0.53125
1635822411.9517822,149,0.578125
1635822412.9613879,199,0.5078125
1635822413.9836743,249,0.6171875
1635822415.0093071,299,0.5625
1635822416.0331273,349,0.671875
1635822417.051903,399,0.78125
1635822419.9048002,449,0.828125
1635822420.934641,499,0.765625
1635822421.9635358,549,0.8046875
1635822422.9736779,599,0.8203125
1635822423.9907947,649,0.828125
1635822425.0377357,699,0.875
1635822426.064192,749,0.8984375
1635822427.1032112,799,0.875
1635822429.9170604,849,0.875
1635822430.958479,899,0.90625
1635822431.9764977,949,0.890625
1635822433.0146348,999,0.9140625
1635822434.0310104,1049,0.9140625
1635822435.0390518,1099,0.90625
1635822436.0623991,1149,0.9375
1635822437.1236954,1199,0.9453125
1635822438.164676,1249,0.890625
1635822441.0190308,1299,0.953125
1635822442.0443006,1349,0.921875
1635822443.0588462,1399,0.9375
1635822444.1130226,1449,0.90625
1635822445.1768517,1499,0.9140625
1635822446.1932735,1549,0.8984375
1635822447.21062,1599,0.9296875
1635822448.2512074,1649,0.9140625
1635822451.1433995,1699,0.9296875
1635822452.1688275,1749,0.9140625
1635822453.1764526,1799,0.9296875
1635822454.1942565,1849,0.953125
1635822455.2181277,1899,0.90625
1635822456.2325678,1949,0.9140625
1635822457.2625663,1999,0.9140625
1635822458.2962852,2049,0.875
1635822459.3239644,2099,0.890625
1635822461.8234303,2149,0.921875
1635822462.8538342,2199,0.9296875
1635822463.8861656,2249,0.9296875
1635822464.9106507,2299,0.9140625
1635822465.9304206,2349,0.9375
1635822466.9401617,2399,0.9609375
1635822467.9704504,2449,0.921875
1635822469.0282211,2499,0.921875
1635822471.5018866,2549,0.8828125
1635822472.5340817,2599,0.9375
1635822473.5691042,2649,0.921875
1635822474.6227367,2699,0.9453125
1635822475.6501634,2749,0.921875
1635822476.6765313,2799,0.890625
1635822477.716644,2849,0.9296875
1635822478.7394154,2899,0.921875
1635822479.7640586,2949,0.90625
1635822482.2155216,2999,0.953125
1635822483.2355907,3049,0.921875
1635822484.2476056,3099,0.9453125
1635822485.2782183,3149,0.9453125
1635822486.3237393,3199,0.875
1635822487.3607543,3249,0.90625
1635822488.3573906,3299,0.9140625
1635822489.3980784,3349,0.9140625
1635822492.0148494,3399,0.890625
1635822493.0331903,3449,0.8984375
1635822494.0593965,3499,0.8671875
1635822495.0892863,3549,0.8828125
1635822496.1163273,3599,0.9375
1635822497.1458812,3649,0.8828125
1635822498.172581,3699,0.921875
1635822499.1951182,3749,0.9453125
1635822501.6622715,3799,0.8828125
1635822502.6788387,3849,0.9296875
1635822503.7057388,3899,0.9140625
1635822504.7282372,3949,0.90625
1635822505.7578938,3999,0.8984375
1635822506.8044958,4049,0.9296875
1635822507.8156288,4099,0.9375
1635822508.8474944,4149,0.8828125
1635822509.8792498,4199,0.9140625
1635822512.4459717,4249,0.953125
1635822513.4903183,4299,0.9375
1635822514.537927,4349,0.9453125
1635822515.6464741,4399,0.921875
1635822516.6725142,4449,0.9609375
1635822517.711008,4499,0.9375
1635822518.7149434,4549,0.953125
1635822519.7562869,4599,0.90625
1635822522.2431207,4649,0.9375
1635822523.2597322,4699,0.9609375
1635822524.2975476,4749,0.9140625
1635822525.3116786,4799,0.9375
1635822526.3346806,4849,0.953125
1635822527.3639863,4899,0.953125
1635822528.3886175,4949,0.9296875
1635822529.4312885,4999,0.9296875
1635822530.4457495,5049,0.9296875
1635822532.940987,5099,0.890625
1635822533.9539976,5149,0.953125
1635822535.0126214,5199,0.9375
1635822536.0535123,5249,0.9765625
1635822537.0725117,5299,0.9296875
1635822538.1123993,5349,0.9140625
1635822539.133897,5399,0.9375
1635822540.1596196,5449,0.9609375
1635822542.6632545,5499,0.9375
1635822543.6982965,5549,0.9375
1635822544.710891,5599,0.8984375
1635822545.7320309,5649,0.96875
1635822546.7661412,5699,0.9375
1635822547.7876267,5749,0.9453125
1635822548.8057199,5799,0.9375
1635822549.840929,5849,0.9296875
1635822550.8574443,5899,0.921875
