Wall time,Step,Value
1635794156.8052514,49,0.29296875
1635794158.5329478,149,0.45703125
1635794159.345531,199,0.55078125
1635794160.1411445,249,0.4765625
1635794162.5587087,399,0.62109375
1635794164.1406705,499,0.6484375
1635794164.97783,549,0.7421875
1635794165.7747464,599,0.765625
1635794167.360655,699,0.765625
1635794168.1770313,749,0.7578125
1635794168.9856462,799,0.765625
1635794169.7800074,849,0.75
1635794170.5703712,899,0.7421875
1635794171.3697693,949,0.77734375
1635794172.1674874,999,0.76953125
1635794172.9561982,1049,0.8125
1635794173.754236,1099,0.8046875
1635794174.557442,1149,0.81640625
1635794175.3648915,1199,0.796875
1635794176.954282,1299,0.8515625
1635794177.740798,1349,0.83984375
1635794178.5645056,1399,0.82421875
1635794179.3681622,1449,0.84375
1635794180.161169,1499,0.83203125
1635794180.9866874,1549,0.82421875
1635794181.7903862,1599,0.80859375
1635794182.6105464,1649,0.8515625
1635794183.4101903,1699,0.85546875
1635794184.2212741,1749,0.82421875
1635794185.850453,1849,0.82421875
1635794186.6449401,1899,0.86328125
1635794187.4339519,1949,0.83203125
1635794188.2334867,1999,0.90234375
1635794189.0185785,2049,0.88671875
1635794190.6230137,2149,0.87890625
1635794194.027726,2199,0.859375
1635794196.5431228,2349,0.9140625
1635794197.3808427,2399,0.87109375
1635794198.2054152,2449,0.86328125
1635794199.0100157,2499,0.85546875
1635794199.8108625,2549,0.8359375
1635794200.6312177,2599,0.8515625
1635794201.4357123,2649,0.890625
1635794202.2387004,2699,0.8671875
1635794203.0614266,2749,0.87890625
1635794203.8597229,2799,0.8515625
1635794205.4718912,2899,0.89453125
1635794206.2798617,2949,0.89453125
1635794207.8719373,3049,0.83984375
1635794208.660581,3099,0.875
1635794209.480834,3149,0.8828125
1635794210.2761903,3199,0.8671875
1635794211.8779442,3299,0.86328125
1635794212.674456,3349,0.875
1635794213.5557692,3399,0.890625
1635794214.3626869,3449,0.9140625
1635794215.9637215,3549,0.84375
1635794216.7584016,3599,0.88671875
1635794217.5976615,3649,0.89453125
1635794218.4127154,3699,0.82421875
1635794219.2265365,3749,0.890625
1635794220.0333722,3799,0.91015625
1635794220.8736231,3849,0.875
1635794221.68426,3899,0.88671875
1635794222.5183866,3949,0.9140625
1635794223.315652,3999,0.8515625
