Wall time,Step,Value
1635821803.606994,49,0.40625
1635821804.625413,99,0.53125
1635821805.7507293,149,0.6015625
1635821806.7683587,199,0.578125
1635821807.7872553,249,0.6328125
1635821808.81317,299,0.6171875
1635821809.8317647,349,0.765625
1635821810.8699386,399,0.65625
1635821811.9106953,449,0.75
1635821812.9624891,499,0.7890625
1635821814.0794039,549,0.7890625
1635821815.1203837,599,0.84375
1635821816.125878,649,0.8203125
1635821817.144116,699,0.9453125
1635821818.169534,749,0.8828125
1635821819.2265866,799,0.859375
1635821820.2475195,849,0.8984375
1635821821.258918,899,0.90625
1635821822.2783892,949,0.890625
1635821823.307422,999,0.8984375
1635821824.3458338,1049,0.8671875
1635821825.3589349,1099,0.9140625
1635821826.3731205,1149,0.8984375
1635821827.3955364,1199,0.9453125
1635821828.411903,1249,0.8984375
1635821829.4344926,1299,0.9296875
1635821830.4679077,1349,0.9296875
1635821831.4992416,1399,0.9375
1635821832.5216165,1449,0.9140625
1635821836.139258,1499,0.9609375
1635821837.165661,1549,0.9296875
1635821838.1844559,1599,0.953125
1635821839.185649,1649,0.9609375
1635821840.2226975,1699,0.953125
1635821841.2766178,1749,0.984375
1635821842.2933645,1799,0.9609375
1635821843.331944,1849,0.9921875
1635821844.362929,1899,0.9921875
1635821845.382605,1949,0.9609375
1635821846.3917394,1999,0.96875
1635821847.4131112,2049,0.984375
1635821848.4417224,2099,0.9609375
1635821849.4685214,2149,0.953125
1635821850.49355,2199,0.953125
1635821851.5318873,2249,0.9921875
1635821852.5482192,2299,0.9765625
1635821853.5958266,2349,0.9921875
1635821854.63614,2399,0.953125
1635821855.6604867,2449,0.984375
1635821856.7093828,2499,0.9765625
1635821857.7485948,2549,0.96875
1635821858.784937,2599,0.96875
1635821859.8336384,2649,0.9765625
1635821860.871606,2699,1.0
1635821861.9088328,2749,0.9765625
1635821862.9486775,2799,0.96875
1635821863.9786756,2849,0.9921875
1635821865.0255606,2899,0.984375
1635821868.6829424,2949,0.96875
1635821869.7138767,2999,0.9921875
1635821870.7282948,3049,0.96875
1635821871.7744145,3099,0.9921875
1635821872.792856,3149,0.953125
1635821873.812424,3199,1.0
1635821874.8434808,3249,0.984375
1635821875.8830721,3299,0.9765625
1635821876.9035137,3349,0.9921875
1635821877.9325392,3399,0.9765625
1635821878.9655442,3449,0.9921875
1635821879.9990182,3499,0.9609375
1635821881.0112712,3549,0.9765625
1635821882.0256534,3599,0.984375
1635821883.0474849,3649,0.9921875
1635821884.0648553,3699,0.9765625
1635821885.0850513,3749,0.953125
1635821886.1045332,3799,0.9921875
1635821887.114738,3849,0.953125
1635821888.129382,3899,0.9921875
1635821889.1605875,3949,1.0
1635821890.1802757,3999,0.984375
1635821891.2069762,4049,0.9609375
1635821892.2264497,4099,0.9765625
1635821893.2397566,4149,0.984375
1635821894.2545216,4199,0.9765625
1635821895.273938,4249,0.96875
1635821896.299226,4299,0.9765625
1635821897.3450909,4349,0.9609375
1635821901.0088832,4399,1.0
1635821902.0834038,4449,0.9765625
1635821903.107522,4499,0.984375
1635821904.1327174,4549,0.984375
1635821905.1548393,4599,0.96875
1635821906.2155476,4649,0.9921875
1635821907.2530487,4699,0.9921875
1635821908.2998662,4749,0.984375
1635821909.3161492,4799,1.0
1635821910.3380864,4849,0.9765625
1635821911.354714,4899,0.953125
1635821912.392432,4949,0.984375
1635821913.4964073,4999,0.9921875
1635821914.5119255,5049,0.9765625
1635821915.532253,5099,0.96875
1635821916.5714881,5149,0.9765625
1635821917.6064594,5199,1.0
1635821918.6304386,5249,0.9765625
1635821919.672961,5299,0.9609375
1635821920.706214,5349,1.0
1635821921.833128,5399,0.9765625
1635821922.8504105,5449,1.0
1635821923.8735976,5499,0.96875
1635821924.8923638,5549,0.9765625
1635821925.912081,5599,0.96875
1635821926.9340787,5649,0.984375
1635821927.9722612,5699,0.984375
1635821928.9864292,5749,0.9765625
1635821930.007928,5799,0.9921875
1635821933.2088878,5849,0.984375
1635821934.2526498,5899,0.9765625
1635821935.2712972,5949,1.0
1635821936.30068,5999,0.9921875
1635821937.3197622,6049,0.984375
1635821938.3491244,6099,0.9609375
1635821939.389777,6149,0.9765625
1635821940.4038296,6199,0.984375
1635821941.4328163,6249,1.0
1635821942.4503958,6299,0.984375
1635821943.500858,6349,0.984375
1635821944.5357184,6399,0.9765625
1635821945.6047173,6449,0.9765625
1635821946.6363955,6499,0.984375
1635821947.674031,6549,0.984375
1635821948.7223217,6599,0.96875
1635821949.7709332,6649,0.96875
1635821950.8139102,6699,0.953125
1635821951.8611155,6749,0.9921875
1635821952.9135997,6799,0.9921875
1635821953.9441469,6849,0.9609375
1635821955.0002813,6899,0.9375
1635821956.0314717,6949,0.9765625
1635821957.082921,6999,0.9921875
1635821958.1399984,7049,0.9140625
1635821959.1623995,7099,0.96875
1635821960.1874757,7149,0.9765625
1635821961.2139244,7199,0.96875
1635821962.243759,7249,0.9609375
1635821965.3724682,7299,0.984375
1635821966.3957849,7349,0.9921875
1635821967.4180968,7399,0.9765625
1635821968.4395664,7449,0.96875
1635821969.4745555,7499,0.9765625
1635821970.5048676,7549,0.96875
1635821971.5246513,7599,0.9453125
1635821972.5665047,7649,0.984375
1635821973.6490521,7699,0.984375
1635821974.6849084,7749,0.953125
1635821975.7145486,7799,0.984375
1635821976.7564504,7849,0.9921875
1635821977.8380086,7899,0.984375
1635821978.8732429,7949,0.953125
1635821979.9076288,7999,0.96875
1635821980.9410021,8049,0.953125
1635821981.9964466,8099,0.9375
1635821983.0294807,8149,0.9296875
1635821984.0631106,8199,0.9921875
1635821985.1006868,8249,0.984375
1635821986.126159,8299,0.9609375
1635821987.1440098,8349,0.984375
1635821988.174217,8399,0.9609375
1635821989.1988773,8449,0.9765625
1635821990.2256768,8499,0.96875
1635821991.263174,8549,0.9609375
1635821992.3049831,8599,0.9453125
1635821993.3483272,8649,0.984375
1635821994.3789277,8699,0.9765625
1635821997.6025488,8749,0.9609375
1635821998.6558075,8799,0.9609375
1635821999.6919572,8849,0.96875
1635822000.7563574,8899,0.9609375
1635822001.8016539,8949,0.9609375
1635822002.854626,8999,0.953125
1635822003.874762,9049,0.9375
1635822004.9176002,9099,0.9921875
1635822005.9569962,9149,0.984375
1635822006.9848402,9199,0.9921875
1635822008.0177941,9249,0.953125
1635822009.0621536,9299,0.9921875
1635822010.071034,9349,0.9453125
1635822011.1077745,9399,0.96875
1635822012.1255646,9449,0.9765625
1635822013.1500523,9499,0.9609375
