Wall time,Step,Value
1635827048.342122,49,0.80078125
1635827049.3974123,99,0.8671875
1635827050.3669896,149,0.87109375
1635827051.358727,199,0.90234375
1635827052.321658,249,0.92578125
1635827053.3200097,299,0.953125
1635827054.3000572,349,0.92578125
1635827055.2676396,399,0.94921875
1635827056.2483704,449,0.93359375
1635827057.2179086,499,0.953125
1635827058.194895,549,0.984375
1635827059.178165,599,0.9609375
1635827060.1553907,649,0.96875
1635827061.1332772,699,0.96484375
1635827062.1307564,749,0.97265625
1635827063.1130824,799,0.953125
1635827064.0833578,849,0.95703125
1635827065.0670748,899,0.9765625
1635827066.0556953,949,0.96484375
1635827067.0467865,999,0.98046875
1635827068.0408285,1049,0.98046875
1635827069.0414782,1099,0.93359375
1635827070.0223875,1149,0.9765625
1635827071.0011835,1199,0.9765625
1635827071.9781733,1249,0.984375
1635827072.9547744,1299,0.96875
1635827073.9229054,1349,0.96875
1635827074.9058673,1399,0.96875
1635827075.8946416,1449,0.98828125
1635827076.8712232,1499,0.96484375
1635827077.8866806,1549,0.96484375
1635827078.8601754,1599,0.9765625
1635827079.8412116,1649,0.96484375
1635827080.8126426,1699,0.97265625
1635827081.7880366,1749,0.96484375
1635827082.7766423,1799,0.984375
1635827083.7425072,1849,0.98046875
1635827084.7185388,1899,0.9921875
1635827085.6940076,1949,0.97265625
1635827086.6778755,1999,0.984375
1635827087.685857,2049,0.98046875
1635827088.7282672,2099,0.96875
1635827089.7006128,2149,0.97265625
1635827093.6226943,2199,0.984375
1635827094.6011312,2249,0.98046875
1635827095.5722222,2299,0.98828125
1635827096.5359879,2349,0.98828125
1635827097.5104055,2399,0.97265625
1635827098.4748983,2449,0.9921875
1635827099.4442654,2499,0.97265625
1635827100.4526994,2549,0.96484375
1635827101.4167018,2599,0.9921875
1635827102.375821,2649,0.984375
1635827103.3620355,2699,0.9921875
1635827104.32926,2749,0.98046875
1635827105.30386,2799,0.9921875
1635827106.2952526,2849,0.984375
1635827107.2823212,2899,0.98828125
1635827108.2444203,2949,0.984375
1635827109.223917,2999,0.9921875
1635827110.1983907,3049,0.98046875
1635827111.1910505,3099,0.98828125
1635827112.158644,3149,0.984375
1635827113.1392593,3199,1.0
1635827114.109551,3249,0.984375
1635827115.083114,3299,0.97265625
1635827116.057195,3349,0.9765625
1635827117.0482805,3399,0.9765625
1635827118.0163596,3449,0.98046875
1635827119.0887651,3499,0.9765625
1635827120.0586917,3549,0.98046875
1635827121.0354931,3599,0.97265625
1635827121.998519,3649,0.98046875
1635827122.9797595,3699,0.98046875
1635827123.9703507,3749,0.984375
1635827124.9464526,3799,0.98828125
1635827125.9186585,3849,0.98046875
1635827126.9048848,3899,0.9765625
1635827127.8822472,3949,0.9921875
1635827128.8626287,3999,0.984375
1635827129.8385463,4049,0.96875
1635827130.8123035,4099,0.984375
1635827131.7892003,4149,0.9765625
1635827132.7729292,4199,0.96875
1635827133.7469087,4249,0.984375
1635827134.718711,4299,0.98046875
1635827135.7006836,4349,0.9765625
1635827139.4079568,4399,0.97265625
1635827140.3858685,4449,0.9765625
1635827141.4234574,4499,0.9921875
1635827142.40527,4549,0.984375
1635827143.4321005,4599,0.984375
1635827144.398424,4649,0.98046875
1635827145.455279,4699,0.96484375
1635827146.4230223,4749,0.98828125
1635827147.3887658,4799,0.9765625
1635827148.369693,4849,0.984375
1635827149.342097,4899,0.984375
1635827150.308476,4949,0.96875
1635827151.3051825,4999,0.98046875
1635827152.2777207,5049,0.9765625
1635827153.2738628,5099,0.98828125
1635827154.2444644,5149,0.98046875
1635827155.227559,5199,0.9453125
1635827156.2266977,5249,0.95703125
1635827157.1993172,5299,0.96875
1635827158.199429,5349,0.9765625
1635827159.179918,5399,0.98046875
1635827160.169705,5449,0.9609375
1635827161.1582541,5499,0.9765625
1635827162.1378188,5549,0.9765625
