Wall time,Step,Value
1635814655.6070814,49,0.4609375
1635814656.5604732,99,0.5625
1635814657.5202587,149,0.6796875
1635814658.4776325,199,0.6171875
1635814659.4451725,249,0.65625
1635814660.4128509,299,0.671875
1635814661.3854198,349,0.65625
1635814662.375411,399,0.671875
1635814663.414079,449,0.7265625
1635814664.418873,499,0.6953125
1635814665.4313684,549,0.6640625
1635814666.4518816,599,0.6875
1635814667.4220772,649,0.703125
1635814668.4070022,699,0.7734375
1635814669.3874414,749,0.734375
1635814670.3644412,799,0.8125
1635814671.3413723,849,0.7734375
1635814672.3263516,899,0.75
1635814673.294,949,0.8203125
1635814674.2770622,999,0.7421875
1635814675.2719314,1049,0.859375
1635814676.2439191,1099,0.84375
1635814677.2156403,1149,0.7734375
1635814678.1895106,1199,0.8671875
1635814679.1670656,1249,0.78125
1635814680.1525629,1299,0.8125
1635814681.1311905,1349,0.84375
1635814682.1055205,1399,0.875
1635814683.061145,1449,0.859375
1635814684.0500195,1499,0.8203125
1635814685.0547884,1549,0.8359375
1635814686.043933,1599,0.8046875
1635814687.0046031,1649,0.84375
1635814687.956051,1699,0.9140625
1635814688.9189675,1749,0.9296875
1635814689.8831072,1799,0.8671875
1635814690.8629217,1849,0.8984375
1635814691.870771,1899,0.8359375
1635814692.881899,1949,0.8671875
1635814693.890701,1999,0.890625
1635814694.8820705,2049,0.875
1635814695.8711295,2099,0.8359375
1635814696.8725543,2149,0.890625
1635814700.7830033,2199,0.921875
1635814701.7969933,2249,0.9140625
1635814702.7834108,2299,0.890625
1635814703.7620072,2349,0.8828125
1635814704.745502,2399,0.921875
1635814705.7381136,2449,0.96875
1635814706.7453196,2499,0.9296875
1635814707.7439115,2549,0.90625
1635814708.7346947,2599,0.875
1635814709.775705,2649,0.8984375
1635814710.7862222,2699,0.9296875
1635814711.8221166,2749,0.8828125
1635814712.8466978,2799,0.8984375
1635814713.8583035,2849,0.9296875
1635814714.8449004,2899,0.875
1635814715.8334239,2949,0.890625
1635814716.846811,2999,0.8828125
1635814717.8549168,3049,0.8984375
1635814718.8523688,3099,0.921875
1635814719.8954182,3149,0.890625
1635814720.897806,3199,0.921875
1635814721.9031508,3249,0.875
1635814722.908595,3299,0.9296875
1635814723.9116776,3349,0.8984375
1635814724.9185843,3399,0.8984375
1635814725.9195223,3449,0.9375
1635814726.927698,3499,0.953125
1635814727.9689727,3549,0.953125
1635814728.9915245,3599,0.890625
1635814729.9826796,3649,0.921875
1635814730.9804435,3699,0.9296875
1635814731.9379303,3749,0.9296875
1635814732.9086516,3799,0.8671875
1635814733.883067,3849,0.890625
1635814734.8805542,3899,0.890625
1635814735.9258423,3949,0.8515625
1635814736.9478981,3999,0.875
1635814737.9374528,4049,0.8828125
1635814738.907652,4099,0.90625
1635814739.9296026,4149,0.8515625
1635814740.943567,4199,0.9140625
1635814741.9337318,4249,0.9140625
1635814742.9278169,4299,0.9296875
1635814743.9222085,4349,0.9453125
1635814747.912871,4399,0.9453125
1635814748.9351218,4449,0.9375
1635814750.0338295,4499,0.921875
1635814751.0378263,4549,0.90625
1635814752.0361037,4599,0.8515625
1635814753.0387545,4649,0.8671875
1635814754.0368245,4699,0.875
1635814755.0483315,4749,0.953125
1635814756.0509672,4799,0.8671875
1635814757.0777042,4849,0.84375
1635814758.0815954,4899,0.8984375
1635814759.1847,4949,0.8828125
1635814760.2598495,4999,0.90625
1635814761.2561147,5049,0.9296875
1635814762.2521503,5099,0.875
1635814763.2700162,5149,0.9296875
1635814764.2899098,5199,0.890625
1635814765.304914,5249,0.8828125
1635814766.3035285,5299,0.90625
1635814767.2934859,5349,0.921875
1635814768.2783933,5399,0.8984375
1635814769.2968185,5449,0.921875
1635814770.3066165,5499,0.9375
1635814771.3248665,5549,0.875
1635814772.3343012,5599,0.875
1635814773.3609748,5649,0.9296875
1635814774.3699355,5699,0.890625
1635814775.341783,5749,0.9375
1635814776.3341763,5799,0.8984375
1635814777.3059907,5849,0.9140625
1635814778.3197894,5899,0.8984375
1635814779.3554807,5949,0.890625
1635814780.3906968,5999,0.8828125
1635814781.395079,6049,0.890625
1635814782.4093204,6099,0.9296875
1635814783.417231,6149,0.8671875
1635814784.423997,6199,0.9296875
1635814785.443923,6249,0.9375
1635814786.4589849,6299,0.8828125
1635814787.4690611,6349,0.921875
1635814788.4762447,6399,0.875
1635814789.4860651,6449,0.890625
1635814790.4725828,6499,0.90625
1635814791.4816697,6549,0.8828125
1635814795.1048732,6599,0.9296875
1635814796.107266,6649,0.90625
1635814797.0985947,6699,0.8671875
1635814798.0805206,6749,0.8671875
1635814799.0865266,6799,0.8984375
1635814800.0827956,6849,0.859375
1635814801.0675733,6899,0.84375
1635814802.0914497,6949,0.890625
1635814803.0884764,6999,0.9140625
1635814804.1191344,7049,0.9140625
1635814805.1492748,7099,0.875
1635814806.1752868,7149,0.90625
1635814807.1848724,7199,0.859375
1635814808.1988397,7249,0.859375
1635814809.2272103,7299,0.9609375
1635814810.2806675,7349,0.8671875
1635814811.2994223,7399,0.84375
1635814812.3288944,7449,0.8671875
1635814813.3514209,7499,0.859375
