Wall time,Step,Value
1636304696.7840605,49,0.3203125
1636304697.477222,99,0.38671875
1636304698.183858,149,0.48046875
1636304698.879258,199,0.4375
1636304699.5693495,249,0.5234375
1636304700.2830334,299,0.53125
1636304700.9749465,349,0.6640625
1636304701.6989925,399,0.61328125
1636304702.3961604,449,0.62890625
1636304704.1256485,499,0.66796875
1636304704.8373063,549,0.71484375
1636304705.5552835,599,0.671875
1636304706.2766626,649,0.703125
1636304706.983971,699,0.76171875
1636304707.7012959,749,0.765625
1636304708.3688345,799,0.76171875
1636304709.0542974,849,0.7890625
1636304709.7571049,899,0.73046875
1636304710.4502218,949,0.7578125
1636304712.2168274,999,0.7734375
1636304712.9274716,1049,0.77734375
1636304713.6377242,1099,0.76171875
1636304714.4003794,1149,0.76171875
1636304715.1015778,1199,0.82421875
1636304715.8438947,1249,0.78515625
1636304716.6380918,1299,0.765625
1636304717.342121,1349,0.80078125
1636304718.0813012,1399,0.77734375
1636304719.9007592,1449,0.83203125
1636304720.6254406,1499,0.8125
1636304721.3648233,1549,0.78125
1636304722.081747,1599,0.8359375
1636304722.74653,1649,0.8046875
1636304723.4275026,1699,0.82421875
1636304724.1183524,1749,0.78515625
1636304724.7838101,1799,0.78515625
1636304725.4505396,1849,0.828125
1636304726.1280186,1899,0.8125
1636304727.4397612,1949,0.83203125
1636304728.1508834,1999,0.80859375
1636304728.8410928,2049,0.828125
1636304729.5218444,2099,0.8046875
1636304730.2076354,2149,0.76953125
1636304730.8854928,2199,0.76171875
1636304731.5803254,2249,0.8359375
1636304732.2586288,2299,0.78125
1636304732.9580665,2349,0.78515625
1636304734.314804,2399,0.71875
1636304735.014557,2449,0.7578125
1636304735.6978347,2499,0.79296875
1636304736.391746,2549,0.8125
1636304737.074986,2599,0.81640625
1636304737.7867491,2649,0.78515625
1636304738.4784133,2699,0.828125
1636304739.2201273,2749,0.8125
1636304739.9295006,2799,0.79296875
1636304740.639266,2849,0.765625
1636304741.9783847,2899,0.76953125
1636304742.654977,2949,0.7890625
1636304743.3115335,2999,0.8125
1636304743.9709015,3049,0.8125
1636304744.6445158,3099,0.78515625
1636304745.3316708,3149,0.828125
1636304746.0319824,3199,0.79296875
1636304746.7306848,3249,0.76953125
1636304747.4194858,3299,0.8203125
1636304748.8025415,3349,0.80078125
1636304749.5006304,3399,0.75
1636304750.1795342,3449,0.83203125
1636304750.8898666,3499,0.828125
1636304751.614772,3549,0.80078125
1636304752.305371,3599,0.83984375
1636304752.998585,3649,0.82421875
1636304753.7225962,3699,0.85546875
1636304754.5125365,3749,0.77734375
1636304755.1934,3799,0.82421875
1636304756.5213532,3849,0.78125
1636304757.2334318,3899,0.82421875
1636304757.9657855,3949,0.796875
1636304758.633056,3999,0.859375
1636304759.3315167,4049,0.8203125
1636304760.0182261,4099,0.828125
1636304760.7133954,4149,0.8125
1636304761.4658542,4199,0.83203125
1636304762.1478677,4249,0.83984375
1636304763.4860592,4299,0.8203125
1636304764.2036061,4349,0.8203125
1636304764.8857722,4399,0.84765625
1636304765.578638,4449,0.84765625
1636304766.2697217,4499,0.8515625
1636304766.948446,4549,0.83203125
1636304767.6311917,4599,0.81640625
1636304768.3151462,4649,0.85546875
1636304768.9880085,4699,0.82421875
1636304769.6666455,4749,0.87109375
1636304771.4706492,4799,0.8828125
1636304772.2104802,4849,0.86328125
1636304772.9430857,4899,0.80078125
1636304773.709997,4949,0.83203125
1636304774.4754615,4999,0.84765625
1636304775.1467223,5049,0.8359375
1636304775.8378434,5099,0.8671875
1636304776.524267,5149,0.85546875
1636304777.21774,5199,0.82421875
1636304778.9930658,5249,0.859375
1636304779.7131917,5299,0.83203125
1636304780.4336152,5349,0.875
1636304781.151462,5399,0.88671875
1636304781.8458006,5449,0.88671875
1636304782.5356925,5499,0.8515625
1636304783.2188861,5549,0.9375
1636304783.8991497,5599,0.88671875
1636304784.573463,5649,0.875
1636304785.306429,5699,0.8515625
1636304787.06966,5749,0.828125
1636304787.835032,5799,0.8359375
1636304788.5607157,5849,0.8125
1636304789.2592216,5899,0.8359375
1636304789.95344,5949,0.859375
1636304790.6669762,5999,0.85546875
