Wall time,Step,Value
1636316337.7522812,49,0.7265625
1636316338.4689605,99,0.8046875
1636316339.1721227,149,0.85546875
1636316339.8871,199,0.8515625
1636316340.6216686,249,0.88671875
1636316341.3525684,299,0.87890625
1636316342.0705967,349,0.87109375
1636316342.8298905,399,0.9140625
1636316343.5372117,449,0.921875
1636316345.386115,499,0.9453125
1636316346.1335955,549,0.97265625
1636316346.8830469,599,0.96484375
1636316347.6346455,649,0.9609375
1636316348.3880835,699,0.94921875
1636316349.1374774,749,0.953125
1636316349.852507,799,0.95703125
1636316350.593962,849,0.94921875
1636316351.3176918,899,0.95703125
1636316352.03069,949,0.94140625
1636316353.9526591,999,0.97265625
1636316354.6799722,1049,0.96875
1636316355.4229038,1099,0.98828125
1636316356.1262934,1149,0.96484375
1636316356.8441284,1199,0.9375
1636316357.56436,1249,0.96484375
1636316358.295791,1299,0.97265625
1636316359.0091124,1349,0.94921875
1636316359.7169805,1399,0.921875
1636316361.110497,1449,0.9765625
1636316361.8237724,1499,0.94921875
1636316362.5382323,1549,0.97265625
1636316363.2557285,1599,0.9453125
1636316363.975602,1649,0.94140625
1636316364.7260778,1699,0.91796875
1636316365.4543746,1749,0.92578125
1636316366.1684852,1799,0.94140625
1636316366.8721774,1849,0.94140625
1636316367.6091456,1899,0.921875
1636316369.0667567,1949,0.94140625
1636316369.7925813,1999,0.9375
1636316370.533261,2049,0.953125
1636316371.2640555,2099,0.93359375
1636316371.9699957,2149,0.87890625
1636316372.7031155,2199,0.890625
1636316373.4310234,2249,0.93359375
1636316374.1388094,2299,0.91015625
1636316374.843962,2349,0.91015625
1636316376.2714047,2399,0.89453125
1636316376.9869235,2449,0.9296875
1636316377.7093194,2499,0.92578125
1636316378.4537408,2549,0.91796875
1636316379.1701345,2599,0.93359375
1636316379.8795116,2649,0.8828125
1636316380.5921605,2699,0.89453125
1636316381.3072305,2749,0.93359375
1636316382.0211747,2799,0.90234375
1636316382.7485673,2849,0.890625
1636316384.1291258,2899,0.921875
1636316384.8308272,2949,0.921875
1636316385.544987,2999,0.890625
1636316386.2595675,3049,0.8984375
1636316386.9774115,3099,0.89453125
1636316387.6923606,3149,0.88671875
1636316388.40469,3199,0.84765625
1636316389.134313,3249,0.875
1636316389.836034,3299,0.90625
