Wall time,Step,Value
1636315597.4128041,49,0.77734375
1636315598.122172,99,0.82421875
1636315598.827104,149,0.8984375
1636315599.545394,199,0.90625
1636315600.244821,249,0.875
1636315600.9294324,299,0.91015625
1636315601.6365867,349,0.9296875
1636315602.338243,399,0.91796875
1636315603.0481532,449,0.9453125
1636315604.7689064,499,0.96875
1636315605.482112,549,0.9765625
1636315606.1930296,599,0.9765625
1636315606.855223,649,0.96484375
1636315607.549209,699,0.9765625
1636315608.2440119,749,0.98046875
1636315608.9544678,799,0.96875
1636315609.6356337,849,0.9765625
1636315610.326469,899,0.96875
1636315611.0163503,949,0.96484375
1636315612.7500765,999,0.9921875
1636315613.4524758,1049,0.98828125
1636315614.1900244,1099,0.98828125
1636315614.8866773,1149,0.98828125
1636315615.5764654,1199,0.96484375
1636315616.295906,1249,0.9609375
1636315617.0043406,1299,0.984375
1636315617.73239,1349,0.9609375
1636315618.42685,1399,0.97265625
1636315619.7914457,1449,0.96484375
1636315620.462515,1499,0.96875
1636315621.1524422,1549,0.96875
1636315621.8385105,1599,0.9453125
1636315622.5557582,1649,0.93359375
1636315623.2510526,1699,0.9375
1636315623.9461808,1749,0.9140625
1636315624.6301847,1799,0.9140625
1636315625.3177679,1849,0.94140625
1636315626.0197082,1899,0.9296875
1636315627.328806,1949,0.93359375
1636315628.0568085,1999,0.9375
1636315628.7443292,2049,0.89453125
1636315629.4454656,2099,0.9296875
1636315630.142324,2149,0.9375
1636315630.8567526,2199,0.94140625
1636315631.5526962,2249,0.92578125
1636315632.2672262,2299,0.91796875
1636315632.9509618,2349,0.90234375
1636315634.3068354,2399,0.953125
1636315635.0069826,2449,0.94140625
1636315635.7028186,2499,0.90625
1636315636.3960445,2549,0.921875
1636315637.101745,2599,0.90625
1636315637.799722,2649,0.91015625
1636315638.5012152,2699,0.890625
1636315639.2245,2749,0.91015625
1636315639.944567,2799,0.88671875
1636315640.635836,2849,0.91796875
1636315642.021921,2899,0.92578125
1636315642.7688732,2949,0.8984375
1636315643.4705215,2999,0.9375
1636315644.1769645,3049,0.90625
1636315644.88493,3099,0.8984375
1636315645.556304,3149,0.8984375
1636315646.2561033,3199,0.92578125
1636315646.9331436,3249,0.86328125
1636315647.6270251,3299,0.8984375
