Wall time,Step,Value
1636313927.3767142,49,0.74609375
1636313928.0777366,99,0.82421875
1636313928.7638555,149,0.8828125
1636313929.5561337,199,0.91796875
1636313930.21893,249,0.94140625
1636313930.8939474,299,0.921875
1636313931.5832195,349,0.92578125
1636313932.2796025,399,0.9375
1636313934.0086403,449,0.96484375
1636313934.7095265,499,0.9765625
1636313935.4191236,549,0.984375
1636313936.0876062,599,0.9921875
1636313936.754236,649,0.98046875
1636313937.424587,699,0.98046875
1636313938.1147974,749,0.984375
1636313938.7892897,799,0.98828125
1636313939.4550216,849,0.984375
1636313941.1407084,899,0.99609375
1636313941.8171983,949,0.98828125
1636313942.4928966,999,0.99609375
1636313943.1829667,1049,0.98046875
1636313943.8650088,1099,0.99609375
1636313944.543776,1149,0.9921875
1636313945.228157,1199,0.9921875
1636313945.9184828,1249,0.984375
1636313946.6245246,1299,0.98828125
1636313947.9668124,1349,0.984375
1636313948.6350853,1399,0.9921875
1636313949.3029828,1449,0.9765625
1636313949.9836018,1499,0.984375
1636313950.6759162,1549,0.9921875
1636313951.346175,1599,0.96875
1636313952.0750754,1649,0.984375
1636313952.7818303,1699,0.96875
1636313953.4638119,1749,0.97265625
1636313954.7595377,1799,0.96484375
1636313955.4407554,1849,0.984375
1636313956.1230998,1899,0.96484375
1636313956.80713,1949,0.97265625
1636313957.5029824,1999,0.94921875
1636313958.1897933,2049,0.95703125
1636313958.8493223,2099,0.98046875
1636313959.527813,2149,0.9453125
1636313960.8298986,2199,0.9375
1636313961.5067601,2249,0.96875
1636313962.2001557,2299,0.98046875
1636313962.916557,2349,0.9609375
1636313963.5946977,2399,0.9765625
1636313964.2724655,2449,0.953125
1636313964.9425254,2499,0.9375
1636313965.633914,2549,0.96875
1636313966.321603,2599,0.96484375
1636313967.6006453,2649,0.984375
1636313968.3109255,2699,0.94921875
1636313968.9865596,2749,0.9453125
1636313969.6673815,2799,0.96484375
1636313970.3498006,2849,0.9453125
1636313971.0399022,2899,0.9296875
1636313971.7103446,2949,0.94140625
1636313972.4052346,2999,0.9609375
1636313973.0853653,3049,0.94921875
