Wall time,Step,Value
1636314294.1667266,49,0.9296875
1636314294.847092,99,0.953125
1636314295.525861,149,0.99609375
1636314296.3378775,199,0.97265625
1636314297.0062587,249,0.98828125
1636314297.6748297,299,0.98828125
1636314298.355651,349,0.984375
1636314299.0585878,399,0.99609375
1636314300.7349234,449,0.99609375
1636314301.4348524,499,1.0
1636314302.1076858,549,0.9921875
1636314302.7969348,599,0.98828125
1636314303.4815645,649,0.99609375
1636314304.1524553,699,0.99609375
1636314304.8438656,749,1.0
1636314305.5017605,799,0.98828125
1636314306.1836047,849,0.9921875
1636314307.8722663,899,1.0
1636314308.5737789,949,1.0
1636314309.2555244,999,0.99609375
1636314309.9547796,1049,0.9921875
1636314310.6304023,1099,0.9921875
1636314311.305509,1149,0.98828125
1636314311.9995987,1199,0.984375
1636314312.6734676,1249,0.9765625
1636314313.346755,1299,0.9921875
1636314314.642123,1349,0.98828125
1636314315.3437765,1399,0.96484375
1636314316.0185897,1449,0.953125
1636314316.6924055,1499,0.9765625
1636314317.4063745,1549,0.953125
1636314318.079843,1599,0.9765625
1636314318.732792,1649,0.9609375
1636314319.418798,1699,0.96875
1636314320.0943773,1749,0.94921875
1636314321.415103,1799,0.953125
1636314322.1022537,1849,0.98046875
1636314322.785959,1899,0.984375
1636314323.4486473,1949,0.96875
1636314324.1171532,1999,0.94921875
1636314324.7808576,2049,0.97265625
1636314325.4684496,2099,0.96875
1636314326.16538,2149,0.953125
1636314327.488777,2199,0.9296875
1636314328.1885085,2249,0.9765625
1636314328.9241364,2299,0.95703125
1636314329.6347442,2349,0.95703125
1636314330.3180614,2399,0.93359375
1636314331.0074987,2449,0.97265625
1636314331.6960042,2499,0.953125
1636314332.4033587,2549,0.953125
1636314333.102107,2599,0.95703125
1636314334.3976517,2649,0.9453125
1636314335.0771859,2699,0.96875
1636314335.7668412,2749,0.94921875
1636314336.4567955,2799,0.9296875
1636314337.1970253,2849,0.96875
1636314337.8787477,2899,0.95703125
1636314338.5459926,2949,0.953125
1636314339.2309504,2999,0.94140625
1636314339.8868935,3049,0.95703125
