word,ipa,ARPAbet
abadžija,â b a d͡ʒ i j a,B AE JH IH Y AE
abaiti,a b a i t i,AE B AE IH T IH
abaja,a b ǎ j a,AE B Y AE
abaja,a b ǎː j a,AE B Y AE
abak,ǎ b a k,B AE K
abakus,ǎ b a k u s,B AE K UW S
abažur,a b ǎ ʒ uː r,AE B ZH UW R
abdes,ǎ b d e s,B D EH S
abdest,ǎ b d e s t,B D EH S T
abdicirati,a b d i t͡s ǐː r a t i,AE B D IH R AE T IH
abdikacija,a b d i k ǎː t͡s i j a,AE B D IH K IH Y AE
abdikant,a b d ǐ k a n t,AE B D K AE N T
abdomen,a b d ǒː m e n,AE B D M EH N
abdomenski,a b d ǒː m e n s k iː,AE B D M EH N S K IH
abdominalan,â b d o m i n aː l a n,B D OH M IH N AE L AE N
abeceda,a b e t͡s ěː d a,AE B EH D AE
abecedar,a b e t͡s ě d aː r,AE B EH D AE R
abecedarij,a b e t͡s ě d aː r i j,AE B EH D AE R IH Y
abecedni,â b e t͡s eː d n iː,B EH EH D N IH
abel,ǎː b e l,B EH L
aber,ǎ b e r,B EH R
abesinac,a b e s ǐː n a t͡s,AE B EH S N AE
abesinija,a b e s ǐː n i j a,AE B EH S N IH Y AE
abesinski,a b ě s i n s k iː,AE B S IH N S K IH
abhaski,ǎ b x aː s k iː,B AE S K IH
abhaz,ǎ b x aː z,B AE Z
abhazija,ǎ b x aː z i j a,B AE Z IH Y AE
abhažanka,a b x ǎ ʒ aː n k a,AE B ZH AE N K AE
abidjan,ǎ b i d͡ʒ a n,B IH JH AE N
abidjanski,a b ǐ d͡ʒ a n s k iː,AE B JH AE N S K IH
abidžan,ǎ b i d͡ʒ a n,B IH JH AE N
ablacija,a b l ǎː t͡s i j a,AE B L IH Y AE
ablativ,â b l a t i ʋ,B L AE T IH
ablaut,ǎ b l a u t,B L AE UW T
abnormalan,â b n o r m aː l a n,B N OH R M AE L AE N
abnormalno,â b n o r m aː l n o,B N OH R M AE L N OH
abnormalnost,a b n o r m ǎː l n oː s t,AE B N OH R M L N OH S T
abolicija,a b o l ǐː t͡s i j a,AE B OH L IH Y AE
abolicijski,a b o l ǐː t͡s iː j s k iː,AE B OH L IH Y S K IH
abonent,a b ǒ n e n t,AE B N EH N T
abonirac,a b o n ǐː r a t͡s,AE B OH N R AE
abonirati,a b o n ǐː r a t i,AE B OH N R AE T IH
abonman,a b ǒ n m aː n,AE B N M AE N
aboridžinica,a b o r ǐ d͡ʒ i n i t͡s a,AE B OH R JH IH N IH AE
abortirati,a b o r t ǐː r a t i,AE B OH R T R AE T IH
abrazija,a b r ǎː z i j a,AE B R Z IH Y AE
abrazivan,â b r a z iː ʋ a n,B R AE Z IH AE N
abrevijacija,a b r e ʋ i j ǎː t͡s i j a,AE B R EH IH Y IH Y AE
acetat,a t͡s ě t aː t,AE T AE T
acetilen,a t͡s e t ǐ l eː n,AE EH T L EH N
aceton,a t͡s ě t oː n,AE T OH N
ada,ǎ d a,D AE
ada,ǎː d a,D AE
adam,ǎ d a m,D AE M
adaptacija,a d a p t ǎː t͡s i j a,AE D AE P T IH Y AE
adaptirati,a d a p t ǐː r a t i,AE D AE P T R AE T IH
adekvatan,â d e k ʋ aː t a n,D EH K AE T AE N
adekvatno,â d e k ʋ aː t n o,D EH K AE T N OH
adekvatnost,a d e k ʋ ǎː t n oː s t,AE D EH K T N OH S T
aden,âː d e n,D EH N
adenski,ǎː d e n s k iː,D EH N S K IH
adet,ǎː d e t,D EH T
adherent,a d x ě r e n t,AE D R EH N T
adicija,a d ǐː t͡s i j a,AE D IH Y AE
adijabatski,a d i j ǎ b a t s k iː,AE D IH Y B AE T S K IH
adio,a d î o,AE D OH
adio,ǎ d i o,D IH OH
adisabebski,a d i s ǎ b e b s k iː,AE D IH S B EH B S K IH
adjektiv,â d j e k t iː ʋ,D Y EH K T IH
adjunkt,ǎ d j u n k t,D Y UW N K T
adjustaža,a d j u s t ǎː ʒ a,AE D Y UW S T ZH AE
adjustirati,a d j u s t ǐː r a t i,AE D Y UW S T R AE T IH
administracija,a d m i n i s t r ǎː t͡s i j a,AE D M IH N IH S T R IH Y AE
administrativan,â d m i n i s t r a t iː ʋ a n,D M IH N IH S T R AE T IH AE N
administrativka,a d m i n i s t r ǎ t iː ʋ k a,AE D M IH N IH S T R T IH K AE
administrator,a d m i n ǐ s t r aː t o r,AE D M IH N S T R AE T OH R
admiral,a d m ǐ r aː l,AE D M R AE L
admiralitet,a d m i r a l ǐ t eː t,AE D M IH R AE L T EH T
admitancija,a d m i t ǎ n t͡s i j a,AE D M IH T N IH Y AE
adneks,ǎ d n e k s,D N EH K S
adolescencija,a d o l e s t͡s ě n t͡s i j a,AE D OH L EH S N IH Y AE
adolescentica,a d o l ě s t͡s e n t i t͡s a,AE D OH L S EH N T IH AE
adonis,â d o n i s,D OH N IH S
adopcija,a d ǒ p t͡s i j a,AE D P IH Y AE
adoptacija,a d o p t ǎː t͡s i j a,AE D OH P T IH Y AE
adoptirati,a d o p t ǐː r a t i,AE D OH P T R AE T IH
adoracija,a d o r ǎː t͡s i j a,AE D OH R IH Y AE
adorati,a d ǒ r a t i,AE D R AE T IH
adorator,a d ǒ r aː t o r,AE D R AE T OH R
adoratorica,a d ǒ r aː t o r i t͡s a,AE D R AE T OH R IH AE
adorirati,a d o r ǐː r a t i,AE D OH R R AE T IH
adrenalin,a d r e n ǎ l iː n,AE D R EH N L IH N
adrenalinski,a d r e n ǎ l iː n s k iː,AE D R EH N L IH N S K IH
adresa,a d r ě s a,AE D R S AE
adresant,a d r ě s a n t,AE D R S AE N T
adresar,a d r ě s aː r,AE D R S AE R
adresat,a d r ě s aː t,AE D R S AE T
adresirati,a d r e s ǐː r a t i,AE D R EH S R AE T IH
adsorpcija,a d s ǒ r p t͡s i j a,AE D S R P IH Y AE
adsorpcijski,a d s ǒ r p t͡s iː j s k iː,AE D S R P IH Y S K IH
adut,ǎ d uː t,D UW T
advent,ǎ d ʋ e n t,D EH N T
adventist,a d ʋ ě n t i s t,AE D N T IH S T
adventistica,a d ʋ ě n t i s t i t͡s a,AE D N T IH S T IH AE
adventistički,a d ʋ e n t ǐ s t i t͡ʃ k i,AE D EH N T S T IH CH K IH
adventistički,a d ʋ e n t ǐ s t i t͡ʃ k iː,AE D EH N T S T IH CH K IH
