word,ipa,ARPAbet
a,a,AE
abakus,a b a k u s,AE B AE K UW S
abalda,a b a l d a,AE B AE L D AE
abchazský,a p x a s k iː,AE P AE S K IH
abcházie,a p x aː z ɪ ɛ,AE P AE Z IH EH
abcházský,a p x aː s k iː,AE P AE S K IH
abcházština,a p x aː s ʃ c ɪ n a,AE P AE S SH IH N AE
abdikace,a b d ɪ k a t͡s ɛ,AE B D IH K AE EH
abdikovat,a b d ɪ k o v a t,AE B D IH K OH V AE T
abdiáš,a b ɟ ɪ aː ʃ,AE B IH AE SH
abdominální,a b d o m ɪ n aː l ɲ iː,AE B D OH M IH N AE L IH
abdon,a b d o n,AE B D OH N
abeceda,a b ɛ t͡s ɛ d a,AE B EH EH D AE
abecední,a b ɛ t͡s ɛ d ɲ iː,AE B EH EH D IH
abelovský,a b ɛ l o f s k iː,AE B EH L OH F S K IH
abidžan,a b ɪ d ʒ a n,AE B IH D ZH AE N
abiotický,a b ɪ o c ɪ t͡s k iː,AE B IH OH IH K IH
ablace,a b l a t͡s ɛ,AE B L AE EH
abnormální,a b n o r m aː l ɲ iː,AE B N OH R M AE L IH
abolicionismus,a b o l ɪ t͡s ɪ o ɲ ɪ z m u s,AE B OH L IH IH OH IH Z M UW S
abraham,a b r a ɦ a m,AE B R AE AE M
abrahamův,a b r a ɦ a m uː f,AE B R AE AE M UW F
abrahám,a b r a ɦ aː m,AE B R AE AE M
abrakadabra,a b r a k a d a b r a,AE B R AE K AE D AE B R AE
abreakce,a b r ɛ a k t͡s ɛ,AE B R EH AE K EH
absces,a p s t͡s ɛ s,AE P S EH S
absence,a p s ɛ n t͡s ɛ,AE P S EH N EH
absint,a p s ɪ n t,AE P S IH N T
absinth,a p s ɪ n t,AE P S IH N T
absolutismus,a p s o l u t ɪ z m u s,AE P S OH L UW T IH Z M UW S
absolutní,a p s o l u t ɲ iː,AE P S OH L UW T IH
absolvent,a p s o l v ɛ n t,AE P S OH L V EH N T
absolventský,a p s o l v ɛ n t s k iː,AE P S OH L V EH N T S K IH
absolvovat,a p s o l v o v a t,AE P S OH L V OH V AE T
absorbovat,a p s o r b o v a t,AE P S OH R B OH V AE T
absorpce,a p s o r p t͡s ɛ,AE P S OH R P EH
abstinent,a p s t ɪ n ɛ n t,AE P S T IH N EH N T
abstrahovat,a p s t r a ɦ o v a t,AE P S T R AE OH V AE T
abstrakce,a p s t r a k t͡s ɛ,AE P S T R AE K EH
abstrakt,a p s t r a k t,AE P S T R AE K T
abstraktní,a p s t r a k t ɲ iː,AE P S T R AE K T IH
abstraktum,a p s t r a k t u m,AE P S T R AE K T UW M
absurdita,a p s u r d ɪ t a,AE P S UW R D IH T AE
absurdnost,a p s u r d n o s t,AE P S UW R D N OH S T
absurdní,a p s u r d ɲ iː,AE P S UW R D IH
absurdně,a p s u r d ɲ ɛ,AE P S UW R D EH
absťák,a p s c aː k,AE P S AE K
aby,a b ɪ,AE B IH
acetaldehyd,a t͡s ɛ t a l d ɛ ɦ ɪ t,AE EH T AE L D EH IH T
acetaminofen,a t͡s ɛ t a m ɪ n o f ɛ n,AE EH T AE M IH N OH F EH N
acetazolamid,a t͡s ɛ t a z o l a m ɪ t,AE EH T AE Z OH L AE M IH T
acetylcholin,a t͡s ɛ t ɪ l x o l ɪ n,AE EH T IH L OH L IH N
acetylén,a t͡s ɛ t ɪ l ɛː n,AE EH T IH L EH N
acetát,a t͡s ɛ t aː t,AE EH T AE T
achilles,a x ɪ l ɛ s,AE IH L EH S
achillův,a x ɪ l uː f,AE IH L UW F
achirální,a x ɪ r aː l ɲ iː,AE IH R AE L IH
acht,a x t,AE T
achát,a x aː t,AE AE T
acidita,a t͡s ɪ d ɪ t a,AE IH D IH T AE
acidóza,a t͡s ɪ d oː z a,AE IH D OH Z AE
acinární,a t͡s ɪ n aː r ɲ iː,AE IH N AE R IH
acyklický,a t͡s ɪ k l ɪ t͡s k iː,AE IH K L IH K IH
adam,a d a m,AE D AE M
adamec,a d a m ɛ t͡s,AE D AE M EH
adaptovat,a d a p t o v a t,AE D AE P T OH V AE T
adaptér,a d a p t ɛː r,AE D AE P T EH R
adekvátní,a d ɛ k v aː t ɲ iː,AE D EH K V AE T IH
adenin,a d ɛ n ɪ n,AE D EH N IH N
adenohypofýza,a d ɛ n o ɦ ɪ p o f iː z a,AE D EH N OH IH P OH F IH Z AE
adenokarcinom,a d ɛ n o k a r t͡s ɪ n o m,AE D EH N OH K AE R IH N OH M
adenom,a d ɛ n o m,AE D EH N OH M
adenozin,a d ɛ n o z ɪ n,AE D EH N OH Z IH N
adiabatický,a d ɪ j a b a t ɪ t͡s k iː,AE D IH Y AE B AE T IH K IH
adikce,a d ɪ k t͡s ɛ,AE D IH K EH
adina,a ɟ ɪ n a,AE IH N AE
aditivum,a d ɪ t ɪ v u m,AE D IH T IH V UW M
adjektivní,a d j ɛ k t ɪ v ɲ iː,AE D Y EH K T IH V IH
adjektivum,a d j ɛ k t ɪ v u m,AE D Y EH K T IH V UW M
adjuvantní,a d j u v a n t ɲ iː,AE D Y UW V AE N T IH
administrativa,a d m ɪ n ɪ s t r a t ɪ v a,AE D M IH N IH S T R AE T IH V AE
administrativní,a d m ɪ n ɪ s t r a t ɪ v ɲ iː,AE D M IH N IH S T R AE T IH V IH
administrátor,a d m ɪ n ɪ s t r aː t o r,AE D M IH N IH S T R AE T OH R
admirál,a d m ɪ r aː l,AE D M IH R AE L
adolescence,a d o l ɛ s t͡s ɛ n t͡s ɛ,AE D OH L EH S EH N EH
adolescent,a d o l ɛ s t͡s ɛ n t,AE D OH L EH S EH N T
adolescentní,a d o l ɛ s t͡s ɛ n t ɲ iː,AE D OH L EH S EH N T IH
adolf,a d o l f,AE D OH L F
adolfek,a d o l f ɛ k,AE D OH L F EH K
adopce,a d o p t͡s ɛ,AE D OH P EH
adorant,a d o r a n t,AE D OH R AE N T
adrenalin,a d r ɛ n a l ɪ n,AE D R EH N AE L IH N
adrenergní,a d r ɛ n ɛ r ɡ ɲ iː,AE D R EH N EH R G IH
adresa,a d r ɛ s a,AE D R EH S AE
adresovat,a d r ɛ s o v a t,AE D R EH S OH V AE T
adresát,a d r ɛ s aː t,AE D R EH S AE T
adresář,a d r ɛ s aː r̝̊,AE D R EH S AE R
adstringentní,a t s t r ɪ ŋ ɡ ɛ n t ɲ iː,AE T S T R IH NG G EH N T IH
advent,a d v ɛ n t,AE D V EH N T
adventní,a d v ɛ n t ɲ iː,AE D V EH N T IH
adverbiální,a d v ɛ r b ɪ aː l ɲ iː,AE D V EH R B IH AE L IH
advokát,a d v o k aː t,AE D V OH K AE T
adámek,a d aː m ɛ k,AE D AE M EH K
adéla,a d ɛː l a,AE D EH L AE
adélin,a d ɛː l ɪ n,AE D EH L IH N
adélka,a d ɛː l k a,AE D EH L K AE
aerobik,a ɛ r o b ɪ k,AE EH R OH B IH K
aerobní,a ɛ r o b ɲ iː,AE EH R OH B IH
aerodynamicky,a ɛ r o d ɪ n a m ɪ t͡s k ɪ,AE EH R OH D IH N AE M IH K IH
aerodynamický,a ɛ r o d ɪ n a m ɪ t͡s k iː,AE EH R OH D IH N AE M IH K IH
aerodynamika,a ɛ r o d ɪ n a m ɪ k a,AE EH R OH D IH N AE M IH K AE
aerolinie,a ɛ r o l ɪ n ɪ j ɛ,AE EH R OH L IH N IH Y EH
aerolinka,a ɛ r o l ɪ ŋ k a,AE EH R OH L IH NG K AE
aerolinky,a ɛ r o l ɪ ŋ k ɪ,AE EH R OH L IH NG K IH
aerologický,a ɛ r o l o ɡ ɪ t͡s k iː,AE EH R OH L OH G IH K IH
aerologie,a ɛ r o l o ɡ ɪ j ɛ,AE EH R OH L OH G IH Y EH
aerosol,a ɛ r o s o l,AE EH R OH S OH L
aerosolový,a ɛ r o s o l o v iː,AE EH R OH S OH L OH V IH
afekce,a f ɛ k t͡s ɛ,AE F EH K EH
afektivní,a f ɛ k t ɪ v ɲ iː,AE F EH K T IH V IH
aferentní,a f ɛ r ɛ n t ɲ iː,AE F EH R EH N T IH
afghánec,a v ɡ aː n ɛ t͡s,AE V G AE N EH
afghánistán,a v ɡ aː ɲ ɪ s t aː n,AE V G AE IH S T AE N
afghánka,a v ɡ aː ŋ k a,AE V G AE NG K AE
afghánský,a v ɡ aː n s k iː,AE V G AE N S K IH
afgánec,a v ɡ aː n ɛ t͡s,AE V G AE N EH
afgánistán,a v ɡ aː ɲ ɪ s t aː n,AE V G AE IH S T AE N
afgánský,a v ɡ aː n s k iː,AE V G AE N S K IH
afix,a f ɪ k s,AE F IH K S
aforismus,a f o r ɪ z m u s,AE F OH R IH Z M UW S
aforista,a f o r ɪ s t a,AE F OH R IH S T AE
aforistický,a f o r ɪ s t ɪ t͡s k iː,AE F OH R IH S T IH K IH
aforizmus,a f o r ɪ z m u s,AE F OH R IH Z M UW S
africký,a f r ɪ t͡s k iː,AE F R IH K IH
afrika,a f r ɪ k a,AE F R IH K AE
afrikánec,a f r ɪ k aː n ɛ t͡s,AE F R IH K AE N EH
afrikánsky,a f r ɪ k aː n s k ɪ,AE F R IH K AE N S K IH
afrikánský,a f r ɪ k aː n s k iː,AE F R IH K AE N S K IH
afrikáta,a f r ɪ k aː t a,AE F R IH K AE T AE
afričan,a f r ɪ t͡ʃ a n,AE F R IH CH AE N
afroamerický,a f r o a m ɛ r ɪ t͡s k iː,AE F R OH AE M EH R IH K IH
afroameričan,a f r o a m ɛ r ɪ t͡ʃ a n,AE F R OH AE M EH R IH CH AE N
afrodita,a f r o d ɪ t a,AE F R OH D IH T AE
afázie,a f aː z ɪ j ɛ,AE F AE Z IH Y EH
afélium,a f ɛː l ɪ u m,AE F EH L IH UW M
aférka,a f ɛː r k a,AE F EH R K AE
agapornis,a ɡ a p o r n ɪ s,AE G AE P OH R N IH S
ageneze,a ɡ ɛ n ɛ z ɛ,AE G EH N EH Z EH
agent,a ɡ ɛ n t,AE G EH N T
agentura,a ɡ ɛ n t u r a,AE G EH N T UW R AE
agitátor,a ɡ ɪ t aː t o r,AE G IH T AE T OH R
aglomerace,a ɡ l o m ɛ r a t͡s ɛ,AE G L OH M EH R AE EH
agnosticismus,a ɡ n o s t ɪ t͡s ɪ z m u s,AE G N OH S T IH IH Z M UW S
agnostik,a ɡ n o s t ɪ k,AE G N OH S T IH K
agorafobie,a ɡ o r a f o b ɪ j ɛ,AE G OH R AE F OH B IH Y EH
agranulocytóza,a ɡ r a n u l o t͡s ɪ t oː z a,AE G R AE N UW L OH IH T OH Z AE
agregátor,a ɡ r ɛ ɡ aː t o r,AE G R EH G AE T OH R
agrese,a ɡ r ɛ s ɛ,AE G R EH S EH
agresivita,a ɡ r ɛ s ɪ v ɪ t a,AE G R EH S IH V IH T AE
agresivnost,a ɡ r ɛ s ɪ v n o s t,AE G R EH S IH V N OH S T
agresivní,a ɡ r ɛ s ɪ v ɲ iː,AE G R EH S IH V IH
agresivně,a ɡ r ɛ s ɪ v ɲ ɛ,AE G R EH S IH V EH
agronom,a ɡ r o n o m,AE G R OH N OH M
agrární,a ɡ r aː r ɲ iː,AE G R AE R IH
agáta,a ɡ aː t a,AE G AE T AE
agátka,a ɡ aː t k a,AE G AE T K AE
agáve,a ɡ aː v ɛ,AE G AE V EH
aha,a ɦ a,AE AE
ahojky,a ɦ o j k ɪ,AE OH Y K IH
aids,a ɪ t s,AE IH T S
aj,a j,AE Y
ajka,a j k a,AE Y K AE
ajmarština,a j m a r ʃ c ɪ n a,AE Y M AE R SH IH N AE
ajnclík,a j n̩ t͡s l iː k,AE Y EN L IH K
ajurvéda,a j u r v ɛː d a,AE Y UW R V EH D AE
ajťák,a j c aː k,AE Y AE K
akademický,a k a d ɛ m ɪ t͡s k iː,AE K AE D EH M IH K IH
akademie,a k a d ɛ m ɪ j ɛ,AE K AE D EH M IH Y EH
akademik,a k a d ɛ m ɪ k,AE K AE D EH M IH K
akanský,a k a n s k iː,AE K AE N S K IH
akce,a k t͡s ɛ,AE K EH
akcelerace,a k t͡s ɛ l ɛ r a t͡s ɛ,AE K EH L EH R AE EH
akcelerovat,a k t͡s ɛ l ɛ r o v a t,AE K EH L EH R OH V AE T
akceptovat,a k t͡s ɛ p t o v a t,AE K EH P T OH V AE T
