word,ipa,ARPAbet
'k,k,K
'k,ə k,AX K
'm,ə m,AX M
'n,ə n,AX N
'r,ə r,AX R
's,s,S
't,t,T
't,ə t,AX T
a,aː,AE
aa,aː,AE
aad,aː t,AE T
aadje,aː t j ə,AE T Y AX
aafje,aː f j ə,AE F Y AX
aagje,aː x j ə,AE Y AX
aagt,aː x t,AE T
aagtappel,aː x t ɑ p ə l,AE T AA P AX L
aagtje,aː x t j ə,AE T Y AX
aai,aː i̯,AE IH
aaibaar,aː i̯ b aː r,AE IH B AE R
aaibaarheid,aː i̯ b aː r ɦ ɛ i̯ t,AE IH B AE R EH IH T
aaibaarheidsfactor,aː i̯ b aː r ɦ ɛ i̯ t s f ɑ k t ɔ r,AE IH B AE R EH IH T S F AA K T AO R
aaien,aː i̯ ə n,AE IH AX N
aaiing,aː i̯ ɪ ŋ,AE IH IH NG
aak,aː k,AE K
aaks,aː k s,AE K S
aal,aː l,AE L
aalbert,aː l b ɛ r t,AE L B EH R T
aalbes,aː l b ɛ s,AE L B EH S
aalbessengelei,aː l b ɛ s ə n ʒ ə l ɛ i̯,AE L B EH S AX N ZH AX L EH IH
aalbessenjam,aː l b ɛ s ə n ʒ ɛ m,AE L B EH S AX N ZH EH M
aalbessenjenever,aː l b ɛ s ə n j ə n eː v ə r,AE L B EH S AX N Y AX N EH V AX R
aalbessensap,aː l b ɛ s ə n s ɑ p,AE L B EH S AX N S AA P
aalbessenstruik,aː l b ɛ s ə n s t r œ y̯ k,AE L B EH S AX N S T R AE K
aalbessesap,aː l b ɛ s ə s ɑ p,AE L B EH S AX S AA P
aalbessestruik,aː l b ɛ s ə s t r œ y̯ k,AE L B EH S AX S T R AE K
aalbrecht,aː l b r ɛ x t,AE L B R EH T
aalderik,aː l d ə r ɪ k,AE L D AX R IH K
aaldert,aː l d ə r t,AE L D AX R T
aaldrik,aː l d r ɪ k,AE L D R IH K
aalfuik,aː l f œ y̯ k,AE L F AE K
aalgeer,aː l ɣ eː r,AE L EH R
aalglad,aː l ɣ l ɑ t,AE L L AA T
aalkorf,aː l k ɔ r f,AE L K AO R F
aalkuip,aː l k œ y̯ p,AE L K AE P
aalmoes,aː l m u s,AE L M UW S
aalmoezenier,aː l m u z ə n iː r,AE L M UW Z AX N IH R
aalmoezenierskamer,aː l m u z ə n iː r s k aː m ə r,AE L M UW Z AX N IH R S K AE M AX R
aaloud,aː l ɑ u̯ t,AE L AA W T
aalpomp,aː l p ɔ m p,AE L P AO M P
aalput,aː l p ʏ t,AE L P T
aalrik,aː l r ɪ k,AE L R IH K
aalschaar,aː l s x aː r,AE L S AE R
aalscholver,aː l s x ɔ l v ə r,AE L S AO L V AX R
aalspeer,aː l s p eː r,AE L S P EH R
aalst,aː l s t,AE L S T
aalstal,aː l s t ɑ l,AE L S T AA L
aalsteker,aː l s t eː k ə r,AE L S T EH K AX R
aalstreep,aː l s t r eː p,AE L S T R EH P
aalsvel,aː l s f ɛ l,AE L S F EH L
aalt,aː l t,AE L T
aalten,aː l t ə n,AE L T AX N
aalvlug,aː l v l ʏ x,AE L V L
aalvork,aː l v ɔ r k,AE L V AO R K
aalvormig,aː l v ɔ r m ə x,AE L V AO R M AX
aam,aː m,AE M
aambeeld,aː m b eː l t,AE M B EH L T
aambeeldsblok,aː m b eː l t s b l ɔ k,AE M B EH L T S B L AO K
aambei,aː m b ɛ i̯,AE M B EH IH
aamborstig,aː m b ɔ r s t ə x,AE M B AO R S T AX
aamborstigheid,aː m b ɔ r s t ə x ɦ ɛ i̯ t,AE M B AO R S T AX EH IH T
aamt,aː m t,AE M T
aan,aː n,AE N
aanaarden,aː n aː r d ə n,AE N AE R D AX N
aanaarding,aː n aː r d ɪ ŋ,AE N AE R D IH NG
aanaardploeg,aː n aː r t p l u x,AE N AE R T P L UW
aanademen,aː n aː d ə m ə n,AE N AE D AX M AX N
aanbaffen,aː n b ɑ f ə n,AE N B AA F AX N
aanbakken,aː n b ɑ k ə n,AE N B AA K AX N
aanbaksel,aː n b ɑ k s ə l,AE N B AA K S AX L
aanbedene,aː n b eː d ə n ə,AE N B EH D AX N AX
aanbeeld,aː m b eː l t,AE M B EH L T
aanbeeldsblok,aː m b eː l t s b l ɔ k,AE M B EH L T S B L AO K
aanbegin,aː m b ə ɣ ɪ n,AE M B AX IH N
aanbegin,aː n b ə ɣ ɪ n,AE N B AX IH N
aanbehoren,aː n b ə ɦ oː r ə n,AE N B AX OH R AX N
aanbelanden,aː m b ə l ɑ n d ə n,AE M B AX L AA N D AX N
aanbelang,aː n b ə l ɑ ŋ,AE N B AX L AA NG
aanbellen,aː n b ɛ l ə n,AE N B EH L AX N
aanberming,aː n b ɛ r m ɪ ŋ,AE N B EH R M IH NG
aanbesteden,aː n b ə s t eː d ə n,AE N B AX S T EH D AX N
aanbesteder,aː n b ə s t eː d ə r,AE N B AX S T EH D AX R
aanbesteding,aː n b ə s t eː d ɪ ŋ,AE N B AX S T EH D IH NG
aanbestedingsbeleid,aː n b ə s t eː d ɪ ŋ s b ə l ɛ i̯ t,AE N B AX S T EH D IH NG S B AX L EH IH T
aanbestedingsprocedure,aː n b ə s t eː d ɪ ŋ s p r oː s ə d yː r ə,AE N B AX S T EH D IH NG S P R OH S AX D R AX
aanbestedingsregel,aː n b ə s t eː d ɪ ŋ s r eː ɣ ə l,AE N B AX S T EH D IH NG S R EH AX L
aanbestedingsregeling,aː n b ə s t eː d ɪ ŋ s r eː ɣ ə l ɪ ŋ,AE N B AX S T EH D IH NG S R EH AX L IH NG
aanbestedingsvoorwaarde,aː n b ə s t eː d ɪ ŋ s f oː r ʋ aː r d ə,AE N B AX S T EH D IH NG S F OH R AE R D AX
aanbesterven,aː n b ə s t ɛ r v ə n,AE N B AX S T EH R V AX N
aanbetalen,aː n b ə t aː l ə n,AE N B AX T AE L AX N
aanbetaling,aː n b ə t aː l ɪ ŋ,AE N B AX T AE L IH NG
aanbetreffen,aː n b ə t r ɛ f ə n,AE N B AX T R EH F AX N
aanbetrouwen,aː n b ə t r ɑ u̯ ə n,AE N B AX T R AA W AX N
aanbevelen,aː m b ə v eː l ə n,AE M B AX V EH L AX N
aanbevelenswaard,aː n b ə v eː l ə n s ʋ aː r t,AE N B AX V EH L AX N S AE R T
aanbevelenswaardig,aː n b ə v eː l ə n s ʋ aː r d ə x,AE N B AX V EH L AX N S AE R D AX
aanbeveler,aː n b ə v eː l ə r,AE N B AX V EH L AX R
aanbeveling,aː m b ə v eː l ɪ ŋ,AE M B AX V EH L IH NG
aanbevelingsbrief,aː n b ə v eː l ɪ ŋ s b r i f,AE N B AX V EH L IH NG S B R IH F
