word,ipa,ARPAbet
aa,ɑː,AA
aada,ɑː d ɑ,AA D AA
aadolf,ɑː d o l f,AA D OH L F
aah,ɑː h,AA HH
aake,ɑː k e,AA K EH
aakkonen,ɑː kː o n e n,AA K OH N EH N
aakkosellinen,ɑː kː o s e lː i n e n,AA K OH S EH L IH N EH N
aakkosellisuuden,ɑː kː o s e lː i s uː d e n,AA K OH S EH L IH S UW D EH N
aakkosen,ɑː kː o s e n,AA K OH S EH N
aakkoset,ɑː kː o s e t,AA K OH S EH T
aakkosjärjestys,ɑː kː o s j æ r j e s t y s,AA K OH S Y R Y EH S T S
aakkoslukko,ɑː kː o s l u kː o,AA K OH S L UW K OH
aakkosnimi,ɑː kː o s n i m i,AA K OH S N IH M IH
aakkosnumeerinen,ɑː kː o s n u m eː r i n e n,AA K OH S N UW M EH R IH N EH N
aakkosta,ɑː kː o s t ɑ,AA K OH S T AA
aakkosta,ɑː kː o s t ɑˣ,AA K OH S T AA
aakkostaa,ɑː kː o s t ɑːˣ,AA K OH S T AA
aakkostaminen,ɑː kː o s t ɑ m i n e n,AA K OH S T AA M IH N EH N
aakkoston,ɑː kː o s t o n,AA K OH S T OH N
aakkostuksen,ɑː kː o s t u k s e n,AA K OH S T UW K S EH N
aalloittaisuuden,ɑː lː o i̯ tː ɑ i̯ s uː d e n,AA L OH IH T AA IH S UW D EH N
aallokas,ɑː lː o k ɑ s,AA L OH K AA S
aallokkoinen,ɑː lː o kː o i̯ n e n,AA L OH K OH IH N EH N
aallonmurtaja,ɑː lː o n m u r t ɑ j ɑ,AA L OH N M UW R T AA Y AA
aallot,ɑː lː o t,AA L OH T
aallota,ɑː lː o t ɑˣ,AA L OH T AA
aallotar,ɑː lː o t ɑ r,AA L OH T AA R
aallottaa,ɑː lː o tː ɑːˣ,AA L OH T AA
aallotuskartonki,ɑː lː o t u s k ɑ r t o ŋ k i,AA L OH T UW S K AA R T OH NG K IH
aaloe,ɑː l o e,AA L OH EH
aalto,ɑː l t o,AA L T OH
aaltoa,ɑː l t o ɑ,AA L T OH AA
aaltoa,ɑː l t o ɑˣ,AA L T OH AA
aaltoaminen,ɑː l t o ɑ m i n e n,AA L T OH AA M IH N EH N
aaltoileminen,ɑː l t o i̯ l e m i n e n,AA L T OH IH L EH M IH N EH N
aaltoileva,ɑː l t o i̯ l e ʋ ɑ,AA L T OH IH L EH AA
aaltoilla,ɑː l t o i̯ lː ɑˣ,AA L T OH IH L AA
aaltoillen,ɑː l t o i̯ lː e n,AA L T OH IH L EH N
aaltoimpedanssi,ɑː l t o i m p e d ɑ n sː i,AA L T OH IH M P EH D AA N S IH
aaltonauha,ɑː l t o n ɑ u̯ h ɑ,AA L T OH N AA W HH AA
aaltopaketti,ɑː l t o p ɑ k e tː i,AA L T OH P AA K EH T IH
aaltoputki,ɑː l t o p u t k i,AA L T OH P UW T K IH
aaltoryhmä,ɑː l t o r y h m æ,AA L T OH R HH M
aaltosulku,ɑː l t o s u l k u,AA L T OH S UW L K UW
aaltoviiva,ɑː l t o ʋ iː ʋ ɑ,AA L T OH IH AA
aaltovoima,ɑː l t o ʋ o i̯ m ɑ,AA L T OH OH IH M AA
aamen,ɑː m e n,AA M EH N
aami,ɑː m i,AA M IH
aamiainen,ɑː m i ɑ i̯ n e n,AA M IH AA IH N EH N
aamiaismajoitus,ɑː m i ɑ i̯ s m ɑ j o i̯ t u s,AA M IH AA IH S M AA Y OH IH T UW S
aamiaistaa,ɑː m i ɑ i̯ s t ɑːˣ,AA M IH AA IH S T AA
aamu,ɑː m u,AA M UW
aamuhämärä,ɑː m u h æ m æ r æ,AA M UW HH M R
aamuinen,ɑː m u i̯ n e n,AA M UW IH N EH N
aamuisin,ɑː m u i̯ s i n,AA M UW IH S IH N
aamukahvi,ɑː m u k ɑ h ʋ i,AA M UW K AA HH IH
aamukaksi,ɑː m u k ɑ k s i,AA M UW K AA K S IH
aamukaksitoista,ɑː m u k ɑ k s i t o i̯ s t ɑ,AA M UW K AA K S IH T OH IH S T AA
aamukolme,ɑː m u k o l m e,AA M UW K OH L M EH
aamukuusi,ɑː m u k uː s i,AA M UW K UW S IH
aamukymmenen,ɑː m u k y mː e n e n,AA M UW K M EH N EH N
aamulepakko,ɑː m u l e p ɑ kː o,AA M UW L EH P AA K OH
aamuneljä,ɑː m u n e l j æ,AA M UW N EH L Y
aamupala,ɑː m u p ɑ l ɑ,AA M UW P AA L AA
aamupesu,ɑː m u p e s u,AA M UW P EH S UW
aamupuuro,ɑː m u p uː r o,AA M UW P UW R OH
aamupäivä,ɑː m u p æ i̯ ʋ æ,AA M UW P IH
aamuseitsemän,ɑː m u s e i̯ t s e m æ n,AA M UW S EH IH T S EH M N
aamutee,ɑː m u t eː,AA M UW T EH
aamutuimaan,ɑː m u t u i̯ m ɑː n,AA M UW T UW IH M AA N
aamutyö,ɑː m u t y ø̯,AA M UW T
aamutähti,ɑː m u t æ h t i,AA M UW T HH T IH
aamuviisi,ɑː m u ʋ iː s i,AA M UW IH S IH
aamuvuoro,ɑː m u ʋ u o̯ r o,AA M UW UW OH R OH
aamuyhdeksän,ɑː m u y h d e k s æ n,AA M UW HH D EH K S N
aamuyksi,ɑː m u y k s i,AA M UW K S IH
aamuyksitoista,ɑː m u y k s i t o i̯ s t ɑ,AA M UW K S IH T OH IH S T AA
aamuyö,ɑː m u y ø̯,AA M UW
aapa,ɑː p ɑ,AA P AA
aapasara,ɑː p ɑ s ɑ r ɑ,AA P AA S AA R AA
aapasuo,ɑː p ɑ s u o̯,AA P AA S UW OH
aapeli,ɑː p e l i,AA P EH L IH
aapinen,ɑː p i n e n,AA P IH N EH N
aapiskirja,ɑː p i s k i r j ɑ,AA P IH S K IH R Y AA
aapo,ɑː p o,AA P OH
aappo,ɑː pː o,AA P OH
aaretti,ɑː r e tː i,AA R EH T IH
aari,ɑː r i,AA R IH
aaria,ɑː r i ɑ,AA R IH AA
aarne,ɑː r n e,AA R N EH
aarni,ɑː r n i,AA R N IH
aarnialue,ɑː r n i ɑ l u eˣ,AA R N IH AA L UW EH
aarnikotka,ɑː r n i k o t k ɑ,AA R N IH K OH T K AA
aarnio,ɑː r n i o,AA R N IH OH
aarniometsä,ɑː r n i o m e t s æ,AA R N IH OH M EH T S
aarno,ɑː r n o,AA R N OH
aaro,ɑː r o,AA R OH
aaron,ɑː r o n,AA R OH N
