word,ipa,ARPAbet
'tain,t ɛ̃,T EH
a,a,AE
a,ɑ,AA
a,ɔ,AO
aa,a a,AE AE
aalandaise,a a l ɑ̃ d ɛ z,AE AE L AA D EH Z
aalénien,a l e n j ɛ̃,AE L EH N Y EH
aaron,a a ʁ ɔ̃,AE AE AO
aaronaise,a a ʁ ɔ n ɛ z,AE AE AO N EH Z
aastaise,a a s t ɛ z,AE AE S T EH Z
ababouiné,a b a b w i n e,AE B AE B W IH N EH
abaca,a b a k a,AE B AE K AE
abaca,a b ɑ k ɑ,AE B AA K AA
abacost,a b a k ɔ s t,AE B AE K AO S T
abactérienne,a b a k t e ʁ j ɛ n,AE B AE K T EH Y EH N
abacule,a b a k y l,AE B AE K L
abader,a b a d e,AE B AE D EH
abainvilloise,a b ɛ̃ v i j w a z,AE B EH V IH Y W AE Z
abaissable,a b ɛ s a b l,AE B EH S AE B L
abaissable,a b ɛː s a b,AE B EH S AE B
abaissable,a b ɛː s a b l,AE B EH S AE B L
abaissables,a b ɛ s a b l,AE B EH S AE B L
abaissables,a b ɛː s a b,AE B EH S AE B
abaissables,a b ɛː s a b l,AE B EH S AE B L
abaissant,a b ɛ s ɑ̃,AE B EH S AA
abaissant,a b ɛː s ã,AE B EH S
abaissant,a b ɛː s ɑ̃,AE B EH S AA
abaissants,a b ɛ s ɑ̃,AE B EH S AA
abaissants,a b ɛː s ã,AE B EH S
abaissants,a b ɛː s ɑ̃,AE B EH S AA
abaisse,a b ɛ s,AE B EH S
abaisse,a b ɛː s,AE B EH S
abaissement,a b ɛ s m ɑ̃,AE B EH S M AA
abaissement,a b ɛː s m ã,AE B EH S M
abaissements,a b ɛ s m ɑ̃,AE B EH S M AA
abaissements,a b ɛː s m ã,AE B EH S M
abaisser,a b e s e,AE B EH S EH
abaisser,a b ɛ s e,AE B EH S EH
abaisser,a b ɛː s e,AE B EH S EH
abaisseur,a b ɛ s œ ʁ,AE B EH S AE
abaisseurs,a b ɛ s œ ʁ,AE B EH S AE
abaisseurs,a b ɛː s œ ʁ,AE B EH S AE
abaissé,a b e s e,AE B EH S EH
abajoue,a b a ʒ u,AE B AE ZH UW
abalone,a b a l ɔ n,AE B AE L AO N
abalourdir,a b a l u ʁ d i ʁ,AE B AE L UW D IH
abancourtoise,a b ɑ̃ k u ʁ t w a z,AE B AA K UW T W AE Z
abandon,a b ɑ̃ d ɔ̃,AE B AA D AO
abandonner,a b ɑ̃ d ɔ n e,AE B AA D AO N EH
abandonneur,a b ɑ̃ d ɔ n œ ʁ,AE B AA D AO N AE
abandouner,a b ɑ̃ d u n e,AE B AA D UW N EH
abaque,a b a k,AE B AE K
abasie,a b a z i,AE B AE Z IH
abasourdir,a b a s u ʁ d i ʁ,AE B AE S UW D IH
abasourdir,a b a z u ʁ d i ʁ,AE B AE Z UW D IH
abasourdira,a b a z u ʁ d i ʁ a,AE B AE Z UW D IH AE
abasourdirai,a b a z u ʁ d i ʁ e,AE B AE Z UW D IH EH
abasourdiraient,a b a z u ʁ d i ʁ ɛ,AE B AE Z UW D IH EH
abasourdirais,a b a z u ʁ d i ʁ ɛ,AE B AE Z UW D IH EH
abasourdirait,a b a z u ʁ d i ʁ ɛ,AE B AE Z UW D IH EH
abasourdiras,a b a z u ʁ d i ʁ ɑ,AE B AE Z UW D IH AA
abasourdirent,a b a z u ʁ d i ʁ,AE B AE Z UW D IH
abasourdirez,a b a z u ʁ d i ʁ e,AE B AE Z UW D IH EH
abasourdiriez,a b a z u ʁ d i ʁ j e,AE B AE Z UW D IH Y EH
abasourdirions,a b a z u ʁ d i ʁ j ɔ̃,AE B AE Z UW D IH Y AO
abasourdirons,a b a z u ʁ d i ʁ ɔ̃,AE B AE Z UW D IH AO
abasourdiront,a b a z u ʁ d i ʁ ɔ̃,AE B AE Z UW D IH AO
abasourdissaient,a b a z u ʁ d i s ɛ,AE B AE Z UW D IH S EH
abasourdissais,a b a z u ʁ d i s ɛ,AE B AE Z UW D IH S EH
abasourdissait,a b a z u ʁ d i s ɛ,AE B AE Z UW D IH S EH
abasourdissant,a b a z u ʁ d i s ɑ̃,AE B AE Z UW D IH S AA
abasourdisse,a b a z u ʁ d i s,AE B AE Z UW D IH S
abasourdissement,a b a z u ʁ d i s m ɑ̃,AE B AE Z UW D IH S M AA
abasourdissent,a b a z u ʁ d i s,AE B AE Z UW D IH S
abasourdisses,a b a z u ʁ d i s,AE B AE Z UW D IH S
abasourdissez,a b a z u ʁ d i s e,AE B AE Z UW D IH S EH
abasourdissiez,a b a z u ʁ d i s j e,AE B AE Z UW D IH S Y EH
abasourdissions,a b a z u ʁ d i s j ɔ̃,AE B AE Z UW D IH S Y AO
abasourdissons,a b a z u ʁ d i s ɔ̃,AE B AE Z UW D IH S AO
abasourdit,a b a z u ʁ d i,AE B AE Z UW D IH
abasourdîmes,a b a z u ʁ d i m,AE B AE Z UW D IH M
abasourdît,a b a z u ʁ d i,AE B AE Z UW D IH
abasourdîtes,a b a z u ʁ d i t,AE B AE Z UW D IH T
abat,a b a,AE B AE
abattage,a b a t a ʒ,AE B AE T AE ZH
abattement,a b a t m ɑ̃,AE B AE T M AA
abatteur,a b a t œ ʁ,AE B AE T AE
abatteurs,a b a t œ ʁ,AE B AE T AE
abatteuse,a b a t ø z,AE B AE T Z
abattis,a b a t i,AE B AE T IH
abattoir,a b a t w a ʁ,AE B AE T W AE
abattre,a b a t ʁ,AE B AE T
abaxial,a b a k s j a l,AE B AE K S Y AE L
abaya,a b a j a,AE B AE Y AE
abbaroise,a b a ʁ w a z,AE B AE W AE Z
abbasside,a b a s i d,AE B AE S IH D
abbatial,a b a s j a l,AE B AE S Y AE L
abbaye,a b e i,AE B EH IH
abbaye,a b ɛ i,AE B EH IH
abbecourtoise,a b k u ʁ t w a z,AE B K UW T W AE Z
abbenanaise,a b e n a n ɛ z,AE B EH N AE N EH Z
abbesse,a b ɛ s,AE B EH S
abbeville,a b v i l,AE B V IH L
abbeville,b e v i l,B EH V IH L
abbevillois,a b v i l w a,AE B V IH L W AE
abbevilloise,a b v i l w a z,AE B V IH L W AE Z
abby,a b i,AE B IH
abbé,a b e,AE B EH
abbécourtoise,a b e k u ʁ t w a z,AE B EH K UW T W AE Z
abc,a b e s e,AE B EH S EH
abcès,a p s ɛ,AE P S EH
abcéder,a p s e d e,AE P S EH D EH
abdias,a b d j ɑ,AE B D Y AA
abdication,a b d i k a s j ɔ̃,AE B D IH K AE S Y AO
abdicatives,a b d i k a t i v,AE B D IH K AE T IH V
abdique,a b d i k,AE B D IH K
abdiquer,a b d i k e,AE B D IH K EH
abdiques,a b d i k,AE B D IH K
abdo,a b d o,AE B D OH
abdomen,a b d ɔ m ɛ n,AE B D AO M EH N
abdominal,a b d ɔ m i n a l,AE B D AO M IH N AE L
abdominale,a b d ɔ m i n a l,AE B D AO M IH N AE L
abdominales,a b d ɔ m i n a l,AE B D AO M IH N AE L
abdominaux,a b d ɔ m i n o,AE B D AO M IH N OH
abdos,a b d o,AE B D OH
