word,ipa,ARPAbet
a,aː,AE
abbadís,a pː a t iː s,AE P AE T IH S
ada,aː t a,AE T AE
adamsepli,aː d a m s ɛ h p l ɪ,AE D AE M S EH HH P L IH
adda,a tː a,AE T AE
af,aː v,AE V
afar,aː v a r,AE V AE R
afbaka,a v p aː k a,AE V P AE K AE
afbrigði,a v p r ɪ ɣ ð ɪ,AE V P R IH DH IH
afbrigðilegur,a v p r ɪ ɣ ð ɪ l ɛː ɣ ʏ r,AE V P R IH DH IH L EH R
afbrot,a v p r ɔː t,AE V P R AO T
afbrýði,a v p r iː ð ɪ,AE V P R IH DH IH
afburður,a v p ʏ r ð ʏ r,AE V P R DH R
afbökun,a v p œː k ʏ n,AE V P AE K N
afdrep,a v t r ɛː p,AE V T R EH P
afgangur,a v k a u ŋ k ʏ r,AE V K AE UW NG K R
afganistan,a v k aː n ɪ s t aː n,AE V K AE N IH S T AE N
afgreiða,a v k r e iː ð a,AE V K R EH IH DH AE
afgreiðsla,a v k r e i ð s t l a,AE V K R EH IH DH S T L AE
afhenda,a f h ɛ n t a,AE F HH EH N T AE
afhending,a f h ɛ n t i ŋ k,AE F HH EH N T IH NG K
afi,aː v ɪ,AE V IH
afklæða,a v kʰ l a iː ð a,AE V K L AE IH DH AE
afkomandi,a v kʰ ɔː m a n t ɪ,AE V K AO M AE N T IH
afkvæmi,a v kʰ v a iː m ɪ,AE V K V AE IH M IH
afkáralegur,a v kʰ a uː r a l ɛː ɣ ʏ r,AE V K AE UW R AE L EH R
afl,a p l,AE P L
afla,a p l a,AE P L AE
afleiðing,a v l e iː ð i ŋ k,AE V L EH IH DH IH NG K
afli,a p l ɪ,AE P L IH
afmæli,a m m a iː l ɪ,AE M M AE IH L IH
afmæli,a v m a iː l ɪ,AE V M AE IH L IH
afmælisdagur,a mː a iː l ɪ s t aː ɣ ʏ r,AE M AE IH L IH S T AE R
afmælisdagur,a v m a iː l ɪ s t aː ɣ ʏ r,AE V M AE IH L IH S T AE R
afmælisgjöf,a v m a iː l ɪ s c œː v,AE V M AE IH L IH S AE V
afrit,a v r ɪː t,AE V R IH T
afráða,a v r a uː ð a,AE V R AE UW DH AE
afríka,aː f r iː k a,AE F R IH K AE
afríkanska,aː f r iː kʰ a n s k a,AE F R IH K AE N S K AE
afríkanskur,aː f r iː kʰ a n s k ʏ r,AE F R IH K AE N S K R
afríkufíll,aː f r iː k ʏ f i t l,AE F R IH K F IH T L
afrískur,aː f r i s k ʏ r,AE F R IH S K R
afsaka,a f s aː k a,AE F S AE K AE
afskrá,a f s k r a uː,AE F S K R AE UW
afskráning,a f s k r a uː n i ŋ k,AE F S K R AE UW N IH NG K
afsláttur,a f s t l a u h t ʏ r,AE F S T L AE UW HH T R
afstæði,a f s t a iː ð ɪ,AE F S T AE IH DH IH
afsökun,a f s œː k ʏ n,AE F S AE K N
aftaka,a v tʰ aː k a,AE V T AE K AE
aftur,a f t ʏ r,AE F T R
afturbatapíka,a f tʰ ʏ r p aː tʰ a pʰ iː kʰ a,AE F T R P AE T AE P IH K AE
afturbati,a f t ʏ r p aː t ɪ,AE F T R P AE T IH
afturbeyging,a f t ʏ r p e iː j i ŋ k,AE F T R P EH IH Y IH NG K
afturbeygður,a f t ʏ r p e i ɣ ð ʏ r,AE F T R P EH IH DH R
afturelding,a f t ʏ r ɛ l t i ŋ k,AE F T R EH L T IH NG K
afturfótur,a f t ʏ r f o uː t ʏ r,AE F T R F OH UW T R
afturhald,a f t ʏ r h a l t,AE F T R HH AE L T
afturhaldsstefna,a f t ʏ r h a l t s s t ɛ p n a,AE F T R HH AE L T S S T EH P N AE
afturkræfur,a f t ʏ r kʰ r a iː v ʏ r,AE F T R K R AE IH V R
aftursæti,a f t ʏ r s a iː t ɪ,AE F T R S AE IH T IH
afvopna,a v v ɔ h p n a,AE V V AO HH P N AE
afæta,aː v a iː t a,AE V AE IH T AE
aga,aː ɣ a,AE AE
agalega,aː ɣ a l ɛː ɣ a,AE AE L EH AE
agalegur,aː ɣ a l ɛ ɣ ʏ r,AE AE L EH R
aggi,a cː ɪ,AE IH
agi,aː j ɪ,AE Y IH
agn,a k n,AE K N
agða,a ɣ ð a,AE DH AE
agúrka,aː k u r̥ k a,AE K UW K AE
aka,aː k a,AE K AE
akarn,aː kʰ a r t n,AE K AE R T N
akbraut,aː k p r ø yː t,AE K P R T
akkeri,a h k ɛː r ɪ,AE HH K EH R IH
akkur,a h k ʏ r,AE HH K R
akrein,aː k r e iː n,AE K R EH IH N
akur,aː kʰ ʏ r,AE K R
akurarfi,aː k ʏ r a r v ɪ,AE K R AE R V IH
akurstjarna,aː k ʏ r s t j a r t n a,AE K R S T Y AE R T N AE
ala,aː l a,AE L AE
alaska,aː l a s k a,AE L AE S K AE
alaskavíðir,aː l a s k a v iː ð ɪ r,AE L AE S K AE V IH DH IH R
alaskaösp,aː l a s k a œ s p,AE L AE S K AE AE S P
alba,a l p a,AE L P AE
albanska,a l p a n s k a,AE L P AE N S K AE
albanskur,a l p a n s k ʏ r,AE L P AE N S K R
albanía,a l p aː n iː j a,AE L P AE N IH Y AE
albínói,a l p iː n o uː ɪ,AE L P IH N OH UW IH
alda,a l t a,AE L T AE
aldeilis,a l t e iː l ɪ s,AE L T EH IH L IH S
aldin,a l t ɪ n,AE L T IH N
aldinborg,a l t ɪ n p ɔ r k,AE L T IH N P AO R K
aldinbori,a l t ɪ n p ɔː r ɪ,AE L T IH N P AO R IH
aldingarður,a l t ɪ n k a r ð ʏ r,AE L T IH N K AE R DH R
aldrei,a l t r e iː,AE L T R EH IH
aldur,a l t ʏ r,AE L T R
aldursmunur,a l t ʏ r s m ʏː n ʏ r,AE L T R S M N R
aldís,a l t iː s,AE L T IH S
alexander,aː l ɛ k s a n t ɛː r,AE L EH K S AE N T EH R
algerlega,a l c ɛ r l ɛː ɣ a,AE L EH R L EH AE
algjörlega,a l c œ r l ɛː ɣ a,AE L AE R L EH AE
algyðistrú,a l c ɪ ð ɪ s tʰ r u,AE L IH DH IH S T R UW
alheimur,aː l h e iː m ʏ r,AE L HH EH IH M R
alin,aː l ɪ n,AE L IH N
alklæddur,aː l kʰ l a i tː ʏ r,AE L K L AE IH T R
