word,ipa,ARPAbet
'ndrangheta,n d r a n ɡ e t a,N D R AE N G EH T AE
'ndranghetista,n d r a n ɡ e t i s t a,N D R AE N G EH T IH S T AE
'ndrina,n d r i n a,N D R IH N AE
'nduja,n d u j a,N D UW Y AE
'sto,s t o,S T OH
a,a,AE
a',a,AE
aa,a a,AE AE
aaleniano,a l e n j a n o,AE L EH N Y AE N OH
abaca,a b a k a,AE B AE K AE
abachista,a b a k i s t a,AE B AE K IH S T AE
abaco,a b a k o,AE B AE K OH
abacà,a b a k a,AE B AE K AE
abada,a b a d a,AE B AE D AE
abadessa,a b a d e s s a,AE B AE D EH S S AE
abadia,a b a d i a,AE B AE D IH AE
abadita,a b a d i t a,AE B AE D IH T AE
abalienare,a b a l j e n a r e,AE B AE L Y EH N AE R EH
abalienazione,a b a l j e n a t͡s j o n e,AE B AE L Y EH N AE Y OH N EH
abalietà,a b a l j e t a,AE B AE L Y EH T AE
abandonare,a b a n d o n a r e,AE B AE N D OH N AE R EH
abandono,a b a n d o n o,AE B AE N D OH N OH
abantico,a b a n t i k o,AE B AE N T IH K OH
abapicale,a b a p i k a l e,AE B AE P IH K AE L EH
abaptista,a b a p t i s t a,AE B AE P T IH S T AE
abarico,a b a r i k o,AE B AE R IH K OH
abarognosia,a b a r o ɲ ɲ o z i a,AE B AE R OH OH Z IH AE
abarrare,a b a r r a r e,AE B AE R R AE R EH
abarrarsi,a b a r r a r s i,AE B AE R R AE R S IH
abarticolare,a b a r t i k o l a r e,AE B AE R T IH K OH L AE R EH
abasia,a b a z i a̯,AE B AE Z IH AE
abasico,a b a z i k o,AE B AE Z IH K OH
abassiale,a b a s s j a l e,AE B AE S S Y AE L EH
abate,a b a t e,AE B AE T EH
abatemarchese,a b a t e m a r k e z e,AE B AE T EH M AE R K EH Z EH
abatese,a b a t e z e,AE B AE T EH Z EH
abatino,a b a t i n o,AE B AE T IH N OH
abato,a b a t o,AE B AE T OH
abaton,a b a t o n,AE B AE T OH N
abatonzolo,a b a t o n t͡s o l o,AE B AE T OH N OH L OH
abatterico,a b a t t ɛ r i k o,AE B AE T T EH R IH K OH
abavo,a b a v o,AE B AE V OH
abaya,a b a j a,AE B AE Y AE
abazia,a b a t t͡s i a,AE B AE T IH AE
abaziale,a b a t t͡s j a l e,AE B AE T Y AE L EH
abba,a b b a,AE B B AE
abbacare,a b b a k a r e,AE B B AE K AE R EH
abbacchiamento,a b b a k k j a r e,AE B B AE K K Y AE R EH
abbacchiare,a b b a k k j a r e,AE B B AE K K Y AE R EH
abbacchiaro,a b b a k k j a r o,AE B B AE K K Y AE R OH
abbacchiato,a b b a k k j a t o,AE B B AE K K Y AE T OH
abbacchiatore,a b b a k k j a t o r e,AE B B AE K K Y AE T OH R EH
abbacchiatura,a b b a k k j a t u r a,AE B B AE K K Y AE T UW R AE
abbacchio,a b b a k k j o,AE B B AE K K Y OH
abbachista,a b b a k i s t a,AE B B AE K IH S T AE
abbacinamento,a b b a t͡ʃ i n a m e n t o,AE B B AE CH IH N AE M EH N T OH
abbacinante,a b b a t͡ʃ i n a n t e,AE B B AE CH IH N AE N T EH
abbacinare,a b b a t͡ʃ i n a r e,AE B B AE CH IH N AE R EH
abbacinarsi,a b b a t͡ʃ i n a r s i,AE B B AE CH IH N AE R S IH
abbacinato,a b b a t͡ʃ i n a t o,AE B B AE CH IH N AE T OH
abbacinatore,a b b a t͡ʃ i n a t o r e,AE B B AE CH IH N AE T OH R EH
abbaco,a b b a k o,AE B B AE K OH
abbacone,a b b a k o n e,AE B B AE K OH N EH
abbadare,a b b a d a r e,AE B B AE D AE R EH
abbadatore,a b b a d a t o r e,AE B B AE D AE T OH R EH
abbadengo,a b b a d e n ɡ o,AE B B AE D EH N G OH
abbadessa,a b b a d e s s a,AE B B AE D EH S S AE
abbadia,a b b a d i a,AE B B AE D IH AE
abbadiana,a b b a d j a n a,AE B B AE D Y AE N AE
abbadiano,a b b a d j a n o,AE B B AE D Y AE N OH
abbadiense,a b b a d i ɛ n s e,AE B B AE D IH EH N S EH
abbadingo,a b b a d i n ɡ o,AE B B AE D IH N G OH
abbadino,a b b a d i n o,AE B B AE D IH N OH
abbagliaggine,a b b a ʎ ʎ a d d͡ʒ i n e,AE B B AE AE D JH IH N EH
abbagliamento,a b b a ʎ ʎ a m e n t o,AE B B AE AE M EH N T OH
abbagliante,a b b a ʎ ʎ a n t e,AE B B AE AE N T EH
abbagliare,a b b a ʎ ʎ a r e,AE B B AE AE R EH
abbagliarsi,a b b a ʎ ʎ a r s i,AE B B AE AE R S IH
abbagliatore,a b b a ʎ ʎ a t o r e,AE B B AE AE T OH R EH
abbaglio,a b b a ʎ ʎ o,AE B B AE OH
abbaiamento,a b b a j a m e n t o,AE B B AE Y AE M EH N T OH
abbaiante,a b b a j a n t e,AE B B AE Y AE N T EH
abbaiare,a b b a j a r e,AE B B AE Y AE R EH
abbaiata,a b b a j a t a,AE B B AE Y AE T AE
abbaiatore,a b b a j a t o r e,AE B B AE Y AE T OH R EH
abbaiatura,a b b a j a t u r a,AE B B AE Y AE T UW R AE
abbaino,a b b a i n o,AE B B AE IH N OH
abbaione,a b b a j o n e,AE B B AE Y OH N EH
abbalconato,a b b a l k o n a t o,AE B B AE L K OH N AE T OH
abballare,a b b a l l a r e,AE B B AE L L AE R EH
abballinare,a b b a l l i n a r e,AE B B AE L L IH N AE R EH
abballottamento,a b b a l l o t t a m e n t o,AE B B AE L L OH T T AE M EH N T OH
abballottare,a b b a l l o t t a r e,AE B B AE L L OH T T AE R EH
abballottio,a b b a l l o t t i o,AE B B AE L L OH T T IH OH
abbaluginare,a b b a l u d͡ʒ i n a r e,AE B B AE L UW JH IH N AE R EH
abbaluginarsi,a b b a l u d͡ʒ i n a r s i,AE B B AE L UW JH IH N AE R S IH
abbaluginato,a b b a l u d͡ʒ i n a t o,AE B B AE L UW JH IH N AE T OH
abbambinare,a b b a m b i n a r e,AE B B AE M B IH N AE R EH
abbancare,a b b a n k a r e,AE B B AE N K AE R EH
abbandonamento,a b b a n d o n a m e n t o,AE B B AE N D OH N AE M EH N T OH
abbandonare,a b b a n d o n a r e,AE B B AE N D OH N AE R EH
abbandonarsi,a b b a n d o n a r s i,AE B B AE N D OH N AE R S IH
abbandonatamente,a b b a n d o n a t a m e n t e,AE B B AE N D OH N AE T AE M EH N T EH
abbandonato,a b b a n d o n a t o,AE B B AE N D OH N AE T OH
abbandonico,a b b a n d ɔ n i k o,AE B B AE N D AO N IH K OH
abbandonismo,a b b a n d o n i s m o,AE B B AE N D OH N IH S M OH
abbandono,a b b a n d o n o,AE B B AE N D OH N OH
abbandonò,a b b a n d o n o,AE B B AE N D OH N OH
abbarbagliamento,a b b a r b a ʎ a m e n t o,AE B B AE R B AE AE M EH N T OH
abbarbagliare,a b b a r b a ʎ ʎ a r e,AE B B AE R B AE AE R EH
abbarbaglio,a b b a r b a ʎ o,AE B B AE R B AE OH
abbarbicamento,a b b a r b i k a m e n t o,AE B B AE R B IH K AE M EH N T OH
abbarbicare,a b b a r b i k a r e,AE B B AE R B IH K AE R EH
abbarcare,a b b a r k a r e,AE B B AE R K AE R EH
abbarcatore,a b b a r k a t o r e,AE B B AE R K AE T OH R EH
abbarrare,a b b a r r a r e,AE B B AE R R AE R EH
abbarrarsi,a b b a r r a r s i,AE B B AE R R AE R S IH
abbaruffare,a b b a r u f f a r e,AE B B AE R UW F F AE R EH
abbaruffarsi,a b b a r u f f a r s i,AE B B AE R UW F F AE R S IH
abbaruffato,a b b a r u f f a t o,AE B B AE R UW F F AE T OH
abbaruffio,a b b a r u f f i o,AE B B AE R UW F F IH OH
abbaside,a b b a s i d e,AE B B AE S IH D EH
abbassabile,a b b a s s a b i l e,AE B B AE S S AE B IH L EH
abbassalingua,a b b a s s a l i n ɡ w a,AE B B AE S S AE L IH N G W AE
abbassamento,a b b a s s a m e n t o,AE B B AE S S AE M EH N T OH
abbassare,a b b a s s a r e,AE B B AE S S AE R EH
abbassata,a b b a s s a t a,AE B B AE S S AE T AE
abbassatoio,a b b a s s a t o j o,AE B B AE S S AE T OH Y OH
abbassatore,a b b a s s a t o r e,AE B B AE S S AE T OH R EH
abbassatura,a b b a s s a t u r a,AE B B AE S S AE T UW R AE
abbasside,a b b a s s i d e,AE B B AE S S IH D EH
abbasso,a b b a s s o,AE B B AE S S OH
abbastanza,a b b a s t a n t͡s a,AE B B AE S T AE N AE
abbate,a b b a t e,AE B B AE T EH
abbatessa,a b b a t e s s a,AE B B AE T EH S S AE
abbattere,a b b a t t e r e,AE B B AE T T EH R EH
abbattibile,a b b a t t i b i l e,AE B B AE T T IH B IH L EH
abbattifieno,a b b a t t i f j ɛ n o,AE B B AE T T IH F Y EH N OH
abbattimento,a b b a t t i m e n t o,AE B B AE T T IH M EH N T OH
abbattitore,a b b a t t i t o r e,AE B B AE T T IH T OH R EH
abbattuta,a b b a t t u t a,AE B B AE T T UW T AE
abbattuto,a b b a t t u t o,AE B B AE T T UW T OH
abbatuffolare,a b b a t u f f o l a r e,AE B B AE T UW F F OH L AE R EH
abbatuffolarsi,a b b a t u f f o l a r s i,AE B B AE T UW F F OH L AE R S IH
abbatuffolato,a b b a t u f f o l a t o,AE B B AE T UW F F OH L AE T OH
abbazia,a b b a t t͡s i a,AE B B AE T IH AE
abbaziale,a b b a t t͡s j a l e,AE B B AE T Y AE L EH
abbecedario,a b b e t͡ʃ e d a r j o,AE B B EH CH EH D AE R Y OH
abbellare,a b b e l l a r e,AE B B EH L L AE R EH
abbellimento,a b b e l l i m e n t o,AE B B EH L L IH M EH N T OH
abbellire,a b b e l l i r e,AE B B EH L L IH R EH
abbellirsi,a b b e l l i r s i,AE B B EH L L IH R S IH
abbellitura,a b b e l l i t u r a,AE B B EH L L IH T UW R AE
abbeveraggio,a b b e v e r a d d͡ʒ o,AE B B EH V EH R AE D JH OH
abbeveramento,a b b e v e r a m e n t o,AE B B EH V EH R AE M EH N T OH
abbeverare,a b b e v e r a r e,AE B B EH V EH R AE R EH
abbeverarsi,a b b e v e r a r s i,AE B B EH V EH R AE R S IH
abbeverata,a b b e v e r a t a,AE B B EH V EH R AE T AE
abbeveratoio,a b b e v e r a t o j o,AE B B EH V EH R AE T OH Y OH
abbevilliano,a b b e v i l l j a n o,AE B B EH V IH L L Y AE N OH
abbia,a b b j a,AE B B Y AE
abbiadare,a b b j a d a r e,AE B B Y AE D AE R EH
abbiamo,a b b j a m o,AE B B Y AE M OH
abbiatense,a b b j a t ɛ n s e,AE B B Y AE T EH N S EH
abbicare,a b b i k a r e,AE B B IH K AE R EH
abbicatura,a b b i k a t u r a,AE B B IH K AE T UW R AE
abbiccì,a b b i t t͡ʃ i,AE B B IH T CH IH
abbigliamento,a b b i ʎ ʎ a m e n t o,AE B B IH AE M EH N T OH
abbigliare,a b b i ʎ ʎ a r e,AE B B IH AE R EH
abbigliatoio,a b b i ʎ ʎ a t o j o,AE B B IH AE T OH Y OH
abbigliatura,a b b i ʎ ʎ a t u r a,AE B B IH AE T UW R AE
abbinamento,a b b i n a m e n t o,AE B B IH N AE M EH N T OH
abbinare,a b b i n a r e,AE B B IH N AE R EH
abbinato,a b b i n a t o,AE B B IH N AE T OH
abbisognare,a b b i z o ɲ a r e,AE B B IH Z OH AE R EH
abbominevole,a b b o m i n e v o l e,AE B B OH M IH N EH V OH L EH
abbonacciare,a b b o n a t t͡ʃ a r e,AE B B OH N AE T CH AE R EH
abbonamento,a b b o n a m e n t o,AE B B OH N AE M EH N T OH
abbonare,a b b o n a r e,AE B B OH N AE R EH
abbonarsi,a b b o n a r s i,AE B B OH N AE R S IH
abbondevole,a b b o n d e v o l e,AE B B OH N D EH V OH L EH
abbordaggio,a b b o r d a d d ʒ o,AE B B OH R D AE D D ZH OH
abbozzo,a b b ɔ t t͡s o,AE B B AO T OH
abbracciare,a bː r a tː ʃ aː r e,AE B R AE T SH AE R EH
abbreviato,a b b r e v j a t o,AE B B R EH V Y AE T OH
abbreviazione,a b b r e v j a t t͡s j o n e,AE B B R EH V Y AE T Y OH N EH
abbronzare,a b b r o n d͡z a r e,AE B B R OH N AE R EH
abbronzarsi,a b b r o n d͡z a r s i,AE B B R OH N AE R S IH
abbrunare,a b b r u n a r e,AE B B R UW N AE R EH
abbrunarsi,a b b r u n a r s i,AE B B R UW N AE R S IH
abbuffarsi,a b b u f f a r s i,AE B B UW F F AE R S IH
abdera,a b d e r a,AE B D EH R AE
abderita,a b d e r i t a,AE B D EH R IH T AE
abecedario,a b e t͡ʃ e d a r j o,AE B EH CH EH D AE R Y OH
abelmosco,a b e l m ɔ s k o,AE B EH L M AO S K OH
abentare,a b e n t a r e,AE B EH N T AE R EH
abento,a b ɛ n t o,AE B EH N T OH
abete,a b e t e,AE B EH T EH
abetina,a b e t i n a,AE B EH T IH N AE
abietto,a b j ɛ t t o,AE B Y EH T T OH
abiezione,a b j e t t͡s j o n e,AE B Y EH T Y OH N EH
abigeatario,a b i d͡ʒ e a t a r j o,AE B IH JH EH AE T AE R Y OH
abigeato,a b i d͡ʒ e a t o,AE B IH JH EH AE T OH
abile,a b i l e,AE B IH L EH
abili,a b i l i,AE B IH L IH
abilitare,a b i l i t a r e,AE B IH L IH T AE R EH
abilità,a b i l i t a,AE B IH L IH T AE
abilmente,a b i l m e n t e,AE B IH L M EH N T EH
abisso,a b i s s o,AE B IH S S OH
abitacolo,a b i t a k o l o,AE B IH T AE K OH L OH
abitante,a b i t a n t e,AE B IH T AE N T EH
abitator,a b i t a t o r,AE B IH T AE T OH R
abitatore,a b i t a t o r e,AE B IH T AE T OH R EH
abito,a b i t o,AE B IH T OH
abituale,a b i t w a l e,AE B IH T W AE L EH
abituare,a b i t w a r e,AE B IH T W AE R EH
abituarsi,a b i t w a r s i,AE B IH T W AE R S IH
abituato,a b i t u a t o,AE B IH T UW AE T OH
abitudinario,a b i t u d i n a r j o,AE B IH T UW D IH N AE R Y OH
abiura,a b j u r a,AE B Y UW R AE
ablativo,a b l a t i v o,AE B L AE T IH V OH
abnorme,a b n ɔ r m e,AE B N AO R M EH
abolire,a b o l i r e,AE B OH L IH R EH
abolitore,a b o l i t o r e,AE B OH L IH T OH R EH
abominabile,a b o m i n a b i l e,AE B OH M IH N AE B IH L EH
abominando,a b o m i n a n d o,AE B OH M IH N AE N D OH
