word,ipa,ARPAbet
a,a,AE
aalborg,ɔ l b ɔ r,AO L B AO R
aalborg,ɔ l b ɔ r k,AO L B AO R K
aalborski,ɔ l b ɔ r s kʲ i,AO L B AO R S K IH
aarhus,ɔ r x u s,AO R UW S
abace,a b a t͡s ɛ,AE B AE EH
abak,a b a k,AE B AE K
abaka,a b a k a,AE B AE K AE
abakach,a b a k a x,AE B AE K AE
abakami,a b a k a mʲ i,AE B AE K AE M IH
abakan,a b a k a n,AE B AE K AE N
abaki,a b a kʲ i,AE B AE K IH
abakiem,a b a kʲ ɛ m,AE B AE K EH M
abakom,a b a k ɔ m,AE B AE K AO M
abakowi,a b a k ɔ vʲ i,AE B AE K AO V IH
abaku,a b a k u,AE B AE K UW
abakus,a b a k u s,AE B AE K UW S
abakusach,a b a k u s a x,AE B AE K UW S AE
abakusami,a b a k u s a mʲ i,AE B AE K UW S AE M IH
abakusem,a b a k u s ɛ m,AE B AE K UW S EH M
abakusie,a b a k u ɕ ɛ,AE B AE K UW EH
abakusom,a b a k u s ɔ m,AE B AE K UW S AO M
abakusowi,a b a k u s ɔ vʲ i,AE B AE K UW S AO V IH
abakusu,a b a k u s u,AE B AE K UW S UW
abakusy,a b a k u s ɨ,AE B AE K UW S IX
abakusów,a b a k u s u f,AE B AE K UW S UW F
abaków,a b a k u f,AE B AE K UW F
abaką,a b a k ɔ̃,AE B AE K AO
abakę,a b a k ɛ,AE B AE K EH
abazja,a b a z j a,AE B AE Z Y AE
abazjami,a b a z j a mʲ i,AE B AE Z Y AE M IH
abazje,a b a z j ɛ,AE B AE Z Y EH
abazji,a b a z j i,AE B AE Z Y IH
abazjo,a b a z j ɔ,AE B AE Z Y AO
abazjom,a b a z j ɔ m,AE B AE Z Y AO M
abazją,a b a z j ɔ̃,AE B AE Z Y AO
abazję,a b a z j ɛ,AE B AE Z Y EH
abazyj,a b a z ɨ j,AE B AE Z IX Y
abazyński,a b a z ɨ ɲ s kʲ i,AE B AE Z IX S K IH
abażur,a b a ʐ u r,AE B AE UW R
abażura,a b a ʐ u r a,AE B AE UW R AE
abażurach,a b a ʐ u r a x,AE B AE UW R AE
abażurami,a b a ʐ u r a mʲ i,AE B AE UW R AE M IH
abażurek,a b a ʐ u r ɛ k,AE B AE UW R EH K
abażurem,a b a ʐ u r ɛ m,AE B AE UW R EH M
abażurom,a b a ʐ u r ɔ m,AE B AE UW R AO M
abażurowi,a b a ʐ u r ɔ vʲ i,AE B AE UW R AO V IH
abażuru,a b a ʐ u r u,AE B AE UW R UW
abażury,a b a ʐ u r ɨ,AE B AE UW R IX
abażurze,a b a ʐ u ʐ ɛ,AE B AE UW EH
abażurów,a b a ʐ u r u f,AE B AE UW R UW F
abc,a b ɛ t͡s ɛ,AE B EH EH
abchascy,a p x a s t͡s ɨ,AE P AE S IX
abchaska,a p x a s k a,AE P AE S K AE
abchaski,a p x a s kʲ i,AE P AE S K IH
abchaskich,a p x a s kʲ i x,AE P AE S K IH
abchaskie,a p x a s kʲ ɛ,AE P AE S K EH
abchaskiego,a p x a s kʲ ɛ ɡ ɔ,AE P AE S K EH G AO
abchaskiej,a p x a s kʲ ɛ j,AE P AE S K EH Y
abchaskiemu,a p x a s kʲ ɛ m u,AE P AE S K EH M UW
abchaskim,a p x a s kʲ i m,AE P AE S K IH M
abchaskimi,a p x a s kʲ i mʲ i,AE P AE S K IH M IH
abchaskości,a p x a s k ɔ ɕ t͡ɕ i,AE P AE S K AO IH
abchaskościach,a p x a s k ɔ ɕ t͡ɕ a x,AE P AE S K AO AE
abchaskościami,a p x a s k ɔ ɕ t͡ɕ a mʲ i,AE P AE S K AO AE M IH
abchaskościom,a p x a s k ɔ ɕ t͡ɕ ɔ m,AE P AE S K AO AO M
abchaskością,a p x a s k ɔ ɕ t͡ɕ ɔ̃,AE P AE S K AO AO
abchaskość,a p x a s k ɔ ɕ t͡ɕ,AE P AE S K AO
abchasku,a p x a s k u,AE P AE S K UW
abchaską,a p x a s k ɔ̃,AE P AE S K AO
abchaz,a p x a s,AE P AE S
abchaza,a p x a z a,AE P AE Z AE
abchazach,a p x a z a x,AE P AE Z AE
abchazami,a p x a z a mʲ i,AE P AE Z AE M IH
abchazce,a p x a s t͡s ɛ,AE P AE S EH
abchazek,a p x a z ɛ k,AE P AE Z EH K
abchazem,a p x a z ɛ m,AE P AE Z EH M
abchazi,a p x a ʑ i,AE P AE IH
abchazie,a p x a ʑ ɛ,AE P AE EH
abchazja,a p x a z j a,AE P AE Z Y AE
abchazji,a p x a z j i,AE P AE Z Y IH
abchazjo,a p x a z j ɔ,AE P AE Z Y AO
abchazją,a p x a z j ɔ̃,AE P AE Z Y AO
abchazję,a p x a z j ɛ,AE P AE Z Y EH
abchazka,a p x a s k a,AE P AE S K AE
abchazkach,a p x a s k a x,AE P AE S K AE
abchazkami,a p x a s k a mʲ i,AE P AE S K AE M IH
abchazki,a p x a s kʲ i,AE P AE S K IH
abchazko,a p x a s k ɔ,AE P AE S K AO
abchazkom,a p x a s k ɔ m,AE P AE S K AO M
abchazką,a p x a s k ɔ̃,AE P AE S K AO
abchazkę,a p x a s k ɛ,AE P AE S K EH
abchazom,a p x a z ɔ m,AE P AE Z AO M
abchazowi,a p x a z ɔ vʲ i,AE P AE Z AO V IH
abchazowie,a p x a z ɔ vʲ ɛ,AE P AE Z AO V EH
abchazów,a p x a z u f,AE P AE Z UW F
abdykacja,a b d ɨ k a t͡s j a,AE B D IX K AE Y AE
abdykacjach,a b d ɨ k a t͡s j a x,AE B D IX K AE Y AE
abdykacjami,a b d ɨ k a t͡s j a mʲ i,AE B D IX K AE Y AE M IH
abdykacje,a b d ɨ k a t͡s j ɛ,AE B D IX K AE Y EH
abdykacji,a b d ɨ k a t͡s j i,AE B D IX K AE Y IH
abdykacjo,a b d ɨ k a t͡s j ɔ,AE B D IX K AE Y AO
abdykacjom,a b d ɨ k a t͡s j ɔ m,AE B D IX K AE Y AO M
abdykacją,a b d ɨ k a t͡s j ɔ̃,AE B D IX K AE Y AO
abdykację,a b d ɨ k a t͡s j ɛ,AE B D IX K AE Y EH
abdykacyj,a b d ɨ k a t͡s ɨ j,AE B D IX K AE IX Y
abecadeł,a b ɛ t͡s a d ɛ w,AE B EH AE D EH W
abecadle,a b ɛ t͡s a d l ɛ,AE B EH AE D L EH
abecadła,a b ɛ t͡s a d w a,AE B EH AE D W AE
abecadłach,a b ɛ t͡s a d w a x,AE B EH AE D W AE
abecadłami,a b ɛ t͡s a d w a mʲ i,AE B EH AE D W AE M IH
abecadłem,a b ɛ t͡s a d w ɛ m,AE B EH AE D W EH M
abecadło,a b ɛ t͡s a d w ɔ,AE B EH AE D W AO
abecadłom,a b ɛ t͡s a d w ɔ m,AE B EH AE D W AO M
abecadłu,a b ɛ t͡s a d w u,AE B EH AE D W UW
aberracja,a b ɛ r a t͡s j a,AE B EH R AE Y AE
aberracjach,a b ɛ r a t͡s j a x,AE B EH R AE Y AE
aberracjami,a b ɛ r a t͡s j a mʲ i,AE B EH R AE Y AE M IH
