word,ipa,ARPAbet
aalenian,aː l e n i a n,AE L EH N IH AE N
abacule,a b a k u l e,AE B AE K UW L EH
abandonai,a b a n d o n a j,AE B AE N D OH N AE Y
abandonam,a b a n d o n a m,AE B AE N D OH N AE M
abandonară,a b a n d o n a r ə,AE B AE N D OH N AE R AX
abandonarăm,a b a n d o n a r ə m,AE B AE N D OH N AE R AX M
abandonarăți,a b a n d o n a r ə t sʲ,AE B AE N D OH N AE R AX T S
abandonase,a b a n d o n a s e,AE B AE N D OH N AE S EH
abandonasem,a b a n d o n a s e m,AE B AE N D OH N AE S EH M
abandonaseră,a b a n d o n a s e r ə,AE B AE N D OH N AE S EH R AX
abandonaserăm,a b a n d o n a s e r ə m,AE B AE N D OH N AE S EH R AX M
abandonaserăți,a b a n d o n a s e r ə t sʲ,AE B AE N D OH N AE S EH R AX T S
abandonaseși,a b a n d o n a s e ʃʲ,AE B AE N D OH N AE S EH SH
abandonat,a b a n d o n a t,AE B AE N D OH N AE T
abandonau,a b a n d o n a w,AE B AE N D OH N AE W
abandonași,a b a n d o n a ʃʲ,AE B AE N D OH N AE SH
abandonați,a b a n d o n a t sʲ,AE B AE N D OH N AE T S
abandonează,a b a n d o n e̯ a z ə,AE B AE N D OH N EH AE Z AX
abandonez,a b a n d o n e z,AE B AE N D OH N EH Z
abandoneze,a b a n d o n e z e,AE B AE N D OH N EH Z EH
abandonezi,a b a n d o n e zʲ,AE B AE N D OH N EH Z
abandonând,a b a n d o n ɨ n d,AE B AE N D OH N IX N D
abandonă,a b a n d o n ə,AE B AE N D OH N AX
abandonăm,a b a n d o n ə m,AE B AE N D OH N AX M
abat,a b a t,AE B AE T
abatem,a b a t e m,AE B AE T EH M
abdicai,a b d i k a j,AE B D IH K AE Y
abdicam,a b d i k a m,AE B D IH K AE M
abdicase,a b d i k a s e,AE B D IH K AE S EH
abdice,a b d i t͡ʃ e,AE B D IH CH EH
abdici,a b d i t͡ʃʲ,AE B D IH CH
abil,a b i l,AE B IH L
abile,a b i l e,AE B IH L EH
abili,a b i lʲ,AE B IH L
abilitai,a b i l i t a j,AE B IH L IH T AE Y
abilă,a b i l ə,AE B IH L AX
absolutizai,a b s o l u t i z a j,AE B S OH L UW T IH Z AE Y
absolutizam,a b s o l u t i z a m,AE B S OH L UW T IH Z AE M
absolutizase,a b s o l u t i z a s e,AE B S OH L UW T IH Z AE S EH
absorb,a b s o r b,AE B S OH R B
absorbeam,a b s o r b e̯ a m,AE B S OH R B EH AE M
absorbi,a b s o r b i,AE B S OH R B IH
absorbim,a b s o r b i m,AE B S OH R B IH M
abund,a b u n d,AE B UW N D
abundai,a b u n d a j,AE B UW N D AE Y
abundam,a b u n d a m,AE B UW N D AE M
abundase,a b u n d a s e,AE B UW N D AE S EH
abunde,a b u n d e,AE B UW N D EH
aburi,a b u r i,AE B UW R IH
aburit,a b u r i t,AE B UW R IH T
acasă,a k a s ə,AE K AE S AX
acatsu,a k a t͡sʷ,AE K AE
accelerai,a k t͡ʃ e l e r a j,AE K CH EH L EH R AE Y
acceleram,a k t͡ʃ e l e r a m,AE K CH EH L EH R AE M
accelerară,a k t͡ʃ e l e r a r ə,AE K CH EH L EH R AE R AX
accelerarăm,a k t͡ʃ e l e r a r ə m,AE K CH EH L EH R AE R AX M
accelerarăți,a k t͡ʃ e l e r a r ə t sʲ,AE K CH EH L EH R AE R AX T S
accelerase,a k t͡ʃ e l e r a s e,AE K CH EH L EH R AE S EH
acceleraseră,a k t͡ʃ e l e r a s e r ə,AE K CH EH L EH R AE S EH R AX
acceleraserăm,a k t͡ʃ e l e r a s e r ə m,AE K CH EH L EH R AE S EH R AX M
acceleraserăți,a k t͡ʃ e l e r a s e r ə t sʲ,AE K CH EH L EH R AE S EH R AX T S
acceleraseși,a k t͡ʃ e l e r a s e ʃʲ,AE K CH EH L EH R AE S EH SH
accelerat,a k t͡ʃ e l e r a t,AE K CH EH L EH R AE T
accelerau,a k t͡ʃ e l e r a w,AE K CH EH L EH R AE W
accelerași,a k t͡ʃ e l e r a ʃʲ,AE K CH EH L EH R AE SH
accelerați,a k t͡ʃ e l e r a t͡sʲ,AE K CH EH L EH R AE
accelerație,a k t͡ʃ e l e r a t͡s i e,AE K CH EH L EH R AE IH EH
accelerează,a k t͡ʃ e l e r e̯ a z ə,AE K CH EH L EH R EH AE Z AX
accelerez,a k t͡ʃ e l e r e z,AE K CH EH L EH R EH Z
accelereze,a k t͡ʃ e l e r e z e,AE K CH EH L EH R EH Z EH
accelerezi,a k t͡ʃ e l e r e zʲ,AE K CH EH L EH R EH Z
accelerând,a k t͡ʃ e l e r ɨ n d,AE K CH EH L EH R IX N D
acceleră,a k t͡ʃ e l e r ə,AE K CH EH L EH R AX
accelerăm,a k t͡ʃ e l e r ə m,AE K CH EH L EH R AX M
accept,a k t͡ʃ e p t,AE K CH EH P T
acceptai,a k t͡ʃ e p t a j,AE K CH EH P T AE Y
acceptam,a k t͡ʃ e p t a m,AE K CH EH P T AE M
acceptat,a k t͡ʃ e p t a t,AE K CH EH P T AE T
accepte,a k t͡ʃ e p t e,AE K CH EH P T EH
aceiași,a t͡ʃ e j a ʃʲ,AE CH EH Y AE SH
același,a t͡ʃ e l a ʃʲ,AE CH EH L AE SH
aceleiași,a t͡ʃ e l e j a ʃʲ,AE CH EH L EH Y AE SH
acelorași,a t͡ʃ e l o r a ʃʲ,AE CH EH L OH R AE SH
aceluiași,a t͡ʃ e l u j a ʃʲ,AE CH EH L UW Y AE SH
aceste,a t͡ʃ e s t e,AE CH EH S T EH
acestei,a t͡ʃ e s t e j,AE CH EH S T EH Y
acestor,a t͡ʃ e s t o r,AE CH EH S T OH R
acestui,a t͡ʃ e s t u j,AE CH EH S T UW Y
acești,a t͡ʃ e ʃ tʲ,AE CH EH SH T
achiu,a k i w,AE K IH W
acid,a t͡ʃ i d,AE CH IH D
acide,a t͡ʃ i d e,AE CH IH D EH
