word,ipa,ARPAbet
aaleniana,a l e n j a n a,AE L EH N Y AE N AE
aalenianas,a l e n j a n a s,AE L EH N Y AE N AE S
aaleniano,a l e n j a n o,AE L EH N Y AE N OH
aalenianos,a l e n j a n a s,AE L EH N Y AE N AE S
ababa,a b a b a,AE B AE B AE
ababol,a b a b o l,AE B AE B OH L
ababábite,a b a b a b i t e,AE B AE B AE B IH T EH
abacalera,a b a k a l e ɾ a,AE B AE K AE L EH DX AE
abacalero,a b a k a l e ɾ o,AE B AE K AE L EH DX OH
abacora,a b a k o ɾ a,AE B AE K OH DX AE
abacorada,a b a k o ɾ a d a,AE B AE K OH DX AE D AE
abacoradas,a b a k o ɾ a d a s,AE B AE K OH DX AE D AE S
abacorado,a b a k o ɾ a d o,AE B AE K OH DX AE D OH
abacorados,a b a k o ɾ a d o s,AE B AE K OH DX AE D OH S
abacorar,a b a k o ɾ a ɾ,AE B AE K OH DX AE DX
abacá,a b a k a,AE B AE K AE
abad,a b a d,AE B AE D
abadejo,a b a d e x o,AE B AE D EH OH
abadengo,a b a d e n ɡ o,AE B AE D EH N G OH
abadernada,a b a d e r n a d a,AE B AE D EH R N AE D AE
abadernadas,a b a d e r n a d a s,AE B AE D EH R N AE D AE S
abadernado,a b a d e r n a d o,AE B AE D EH R N AE D OH
abadernados,a b a d e r n a d o s,AE B AE D EH R N AE D OH S
abadernar,a b a d e r n a ɾ,AE B AE D EH R N AE DX
abadernábamos,a b a d e r n a b a m o s,AE B AE D EH R N AE B AE M OH S
abadesa,a b a d e s a,AE B AE D EH S AE
abadiano,a b a d j a n o,AE B AE D Y AE N OH
abadán,a b a d a n,AE B AE D AE N
abadí,a b a d i,AE B AE D IH
abadía,a b a d i a,AE B AE D IH AE
abaja,a b a x a,AE B AE AE
abajada,a b a x a d a,AE B AE AE D AE
abajadas,a b a x a d a s,AE B AE AE D AE S
abajadero,a b a x a d e ɾ o,AE B AE AE D EH DX OH
abajado,a b a x a d o,AE B AE AE D OH
abajados,a b a x a d o s,AE B AE AE D OH S
abajar,a b a x a ɾ,AE B AE AE DX
abajera,a b a x e ɾ a,AE B AE EH DX AE
abajeña,a b a x e ɲ a,AE B AE EH AE
abajeño,a b a x e ɲ o,AE B AE EH OH
abajo,a b a x o,AE B AE OH
abalconado,a b a l k o n a d o,AE B AE L K OH N AE D OH
abaldonada,a b a l d o n a d a,AE B AE L D OH N AE D AE
abaldonadas,a b a l d o n a d a s,AE B AE L D OH N AE D AE S
abaldonado,a b a l d o n a d o,AE B AE L D OH N AE D OH
abaldonados,a b a l d o n a d o s,AE B AE L D OH N AE D OH S
abaldonar,a b a l d o n a ɾ,AE B AE L D OH N AE DX
abaleada,a b a l e a d a,AE B AE L EH AE D AE
abaleadas,a b a l e a d a s,AE B AE L EH AE D AE S
abaleado,a b a l e a d o,AE B AE L EH AE D OH
abaleados,a b a l e a d o s,AE B AE L EH AE D OH S
abalear,a b a l e a ɾ,AE B AE L EH AE DX
abaleo,a b a l e o,AE B AE L EH OH
abalorio,a b a l o ɾ j o,AE B AE L OH DX Y OH
abaluartada,a b a l w a r t a d a,AE B AE L W AE R T AE D AE
abaluartadas,a b a l w a r t a d a s,AE B AE L W AE R T AE D AE S
abaluartado,a b a l w a r t a d o,AE B AE L W AE R T AE D OH
abaluartados,a b a l w a r t a d o s,AE B AE L W AE R T AE D OH S
abaluartar,a b a l w a r t a ɾ,AE B AE L W AE R T AE DX
abana,a b a n a,AE B AE N AE
abanada,a b a n a d a,AE B AE N AE D AE
abanadas,a b a n a d a s,AE B AE N AE D AE S
abanado,a b a n a d o,AE B AE N AE D OH
abanados,a b a n a d o s,AE B AE N AE D OH S
abanamos,a b a n a m o s,AE B AE N AE M OH S
abanar,a b a n a ɾ,AE B AE N AE DX
abanaríamos,a b a n a ɾ i a m o s,AE B AE N AE DX IH AE M OH S
abanas,a b a n a s,AE B AE N AE S
abancalada,a b a n k a l a d a,AE B AE N K AE L AE D AE
abancaladas,a b a n k a l a d a s,AE B AE N K AE L AE D AE S
abancalado,a b a n k a l a d o,AE B AE N K AE L AE D OH
abancalados,a b a n k a l a d o s,AE B AE N K AE L AE D OH S
abancalar,a b a n k a l a ɾ,AE B AE N K AE L AE DX
abanderada,a b a n d e ɾ a d a,AE B AE N D EH DX AE D AE
abanderadas,a b a n d e ɾ a d a s,AE B AE N D EH DX AE D AE S
abanderado,a b a n d e ɾ a d o,AE B AE N D EH DX AE D OH
abanderados,a b a n d e ɾ a d o s,AE B AE N D EH DX AE D OH S
abanderamiento,a b a n d e ɾ a m j e n t o,AE B AE N D EH DX AE M Y EH N T OH
abanderar,a b a n d e ɾ a ɾ,AE B AE N D EH DX AE DX
abanderés,a b a n d e ɾ e s,AE B AE N D EH DX EH S
abandona,a b a n d o n a,AE B AE N D OH N AE
abandonada,a b a n d o n a d a,AE B AE N D OH N AE D AE
abandonadas,a b a n d o n a d a s,AE B AE N D OH N AE D AE S
abandonado,a b a n d o n a d o,AE B AE N D OH N AE D OH
abandonados,a b a n d o n a d o s,AE B AE N D OH N AE D OH S
abandonamiento,a b a n d o n a m j e n t o,AE B AE N D OH N AE M Y EH N T OH
abandonamos,a b a n d o n a m o s,AE B AE N D OH N AE M OH S
abandonando,a b a n d o n a n d o,AE B AE N D OH N AE N D OH
abandonar,a b a n d o n a ɾ,AE B AE N D OH N AE DX
abandonares,a b a n d o n a ɾ e s,AE B AE N D OH N AE DX EH S
abandonaríamos,a b a n d o n a ɾ i a m o s,AE B AE N D OH N AE DX IH AE M OH S
abandonas,a b a n d o n a s,AE B AE N D OH N AE S
abandonismo,a b a n d o n i s m o,AE B AE N D OH N IH S M OH
abandonista,a b a n d o n i s t a,AE B AE N D OH N IH S T AE
abandonistas,a b a n d o n i s t a s,AE B AE N D OH N IH S T AE S
abandono,a b a n d o n o,AE B AE N D OH N OH
abandonos,a b a n d o n o s,AE B AE N D OH N OH S
abandonáramos,a b a n d o n a ɾ a m o s,AE B AE N D OH N AE DX AE M OH S
abanicada,a b a n i k a d a,AE B AE N IH K AE D AE
abanicadas,a b a n i k a d a s,AE B AE N IH K AE D AE S
abanicado,a b a n i k a d o,AE B AE N IH K AE D OH
abanicados,a b a n i k a d o s,AE B AE N IH K AE D OH S
abanicar,a b a n i k a ɾ,AE B AE N IH K AE DX
abanico,a b a n i k o,AE B AE N IH K OH
abano,a b a n o,AE B AE N OH
abanos,a b a n o s,AE B AE N OH S
abanto,a b a n t o,AE B AE N T OH
abanáramos,a b a n a ɾ a m o s,AE B AE N AE DX AE M OH S
abaratada,a b a ɾ a t a d a,AE B AE DX AE T AE D AE
abaratadas,a b a ɾ a t a d a s,AE B AE DX AE T AE D AE S
abaratado,a b a ɾ a t a d o,AE B AE DX AE T AE D OH
abaratados,a b a ɾ a t a d o s,AE B AE DX AE T AE D OH S
abaratamiento,a b a ɾ a t a m j e n t o,AE B AE DX AE T AE M Y EH N T OH
abaratar,a b a ɾ a t a ɾ,AE B AE DX AE T AE DX
abarbetada,a b a r b e t a d a,AE B AE R B EH T AE D AE
abarbetadas,a b a r b e t a d a s,AE B AE R B EH T AE D AE S
abarbetado,a b a r b e t a d o,AE B AE R B EH T AE D OH
abarbetados,a b a r b e t a d o s,AE B AE R B EH T AE D OH S
abarbetar,a b a r b e t a ɾ,AE B AE R B EH T AE DX
abarca,a b a r k a,AE B AE R K AE
abarcada,a b a r k a d a,AE B AE R K AE D AE
abarcadas,a b a r k a d a s,AE B AE R K AE D AE S
abarcado,a b a r k a d o,AE B AE R K AE D OH
abarcador,a b a r k a d o ɾ,AE B AE R K AE D OH DX
abarcados,a b a r k a d o s,AE B AE R K AE D OH S
abarcamos,a b a r k a m o s,AE B AE R K AE M OH S
abarcando,a b a r k a n d o,AE B AE R K AE N D OH
abarcar,a b a r k a ɾ,AE B AE R K AE DX
abarcaríamos,a b a r k a ɾ i a m o s,AE B AE R K AE DX IH AE M OH S
abarcáramos,a b a r k a ɾ a m o s,AE B AE R K AE DX AE M OH S
abarloada,a b a r l o a d a,AE B AE R L OH AE D AE
abarloadas,a b a r l o a d a s,AE B AE R L OH AE D AE S
abarloado,a b a r l o a d o,AE B AE R L OH AE D OH
abarloados,a b a r l o a d o s,AE B AE R L OH AE D OH S
abarloar,a b a r l o a ɾ,AE B AE R L OH AE DX
abarracada,a b a r a k a d a,AE B AE R AE K AE D AE
abarracadas,a b a r a k a d a s,AE B AE R AE K AE D AE S
abarracado,a b a r a k a d o,AE B AE R AE K AE D OH
abarracados,a b a r a k a d o s,AE B AE R AE K AE D OH S
abarracar,a b a r a k a ɾ,AE B AE R AE K AE DX
abarrada,a b a r a d a,AE B AE R AE D AE
abarradas,a b a r a d a s,AE B AE R AE D AE S
abarrado,a b a r a d o,AE B AE R AE D OH
abarrados,a b a r a d o s,AE B AE R AE D OH S
abarrar,a b a r a ɾ,AE B AE R AE DX
abarrotada,a b a r o t a d a,AE B AE R OH T AE D AE
abarrotadas,a b a r o t a d a s,AE B AE R OH T AE D AE S
abarrotado,a b a r o t a d o,AE B AE R OH T AE D OH
abarrotados,a b a r o t a d o s,AE B AE R OH T AE D OH S
abarrotar,a b a r o t a ɾ,AE B AE R OH T AE DX
abarrote,a b a r o t e,AE B AE R OH T EH
abarrotería,a b a r o t e ɾ i a,AE B AE R OH T EH DX IH AE
abasta,a b a s t a,AE B AE S T AE
abastada,a b a s t a d a,AE B AE S T AE D AE
abastadas,a b a s t a d a s,AE B AE S T AE D AE S
abastado,a b a s t a d o,AE B AE S T AE D OH
abastados,a b a s t a d o s,AE B AE S T AE D OH S
abastamiento,a b a s t a m j e n t o,AE B AE S T AE M Y EH N T OH
abastamos,a b a s t a m o s,AE B AE S T AE M OH S
abastar,a b a s t a ɾ,AE B AE S T AE DX
abastara,a b a s t a ɾ a,AE B AE S T AE DX AE
abastaras,a b a s t a ɾ a s,AE B AE S T AE DX AE S
abastarda,a b a s t a r d a,AE B AE S T AE R D AE
abastardada,a b a s t a r d a d a,AE B AE S T AE R D AE D AE
abastardadas,a b a s t a r d a d a s,AE B AE S T AE R D AE D AE S
abastardado,a b a s t a r d a d o,AE B AE S T AE R D AE D OH
abastardados,a b a s t a r d a d o s,AE B AE S T AE R D AE D OH S
abastardamos,a b a s t a r d a m o s,AE B AE S T AE R D AE M OH S
abastardando,a b a s t a r d a n d o,AE B AE S T AE R D AE N D OH
abastardar,a b a s t a r d a ɾ,AE B AE S T AE R D AE DX
abastardara,a b a s t a r d a ɾ a,AE B AE S T AE R D AE DX AE
abastardaras,a b a s t a r d a ɾ a s,AE B AE S T AE R D AE DX AE S
abastardareis,a b a s t a r d a ɾ e i s,AE B AE S T AE R D AE DX EH IH S
abastardaremos,a b a s t a r d a ɾ e m o s,AE B AE S T AE R D AE DX EH M OH S
abastardares,a b a s t a r d a ɾ e s,AE B AE S T AE R D AE DX EH S
abastardará,a b a s t a r d a ɾ a,AE B AE S T AE R D AE DX AE
abastardarás,a b a s t a r d a ɾ a s,AE B AE S T AE R D AE DX AE S
abastardaréis,a b a s t a r d a ɾ e i s,AE B AE S T AE R D AE DX EH IH S
abastardaríamos,a b a s t a r d a ɾ i a m o s,AE B AE S T AE R D AE DX IH AE M OH S
abastardas,a b a s t a r d a s,AE B AE S T AE R D AE S
abastardaste,a b a s t a r d a s t e,AE B AE S T AE R D AE S T EH
abastarde,a b a s t a r d e,AE B AE S T AE R D EH
abastardemos,a b a s t a r d e m o s,AE B AE S T AE R D EH M OH S
abastardes,a b a s t a r d e s,AE B AE S T AE R D EH S
abastardo,a b a s t a r d o,AE B AE S T AE R D OH
abastardá,a b a s t a r d a,AE B AE S T AE R D AE
abastardáramos,a b a s t a r d a ɾ a m o s,AE B AE S T AE R D AE DX AE M OH S
abastardáremos,a b a s t a r d a ɾ e m o s,AE B AE S T AE R D AE DX EH M OH S
abastardás,a b a s t a r d a s,AE B AE S T AE R D AE S
abastardé,a b a s t a r d e,AE B AE S T AE R D EH
abastardés,a b a s t a r d e s,AE B AE S T AE R D EH S
abastareis,a b a s t a ɾ e i s,AE B AE S T AE DX EH IH S
abastaremos,a b a s t a ɾ e m o s,AE B AE S T AE DX EH M OH S
abastares,a b a s t a ɾ e s,AE B AE S T AE DX EH S
abastará,a b a s t a ɾ a,AE B AE S T AE DX AE
abastarás,a b a s t a ɾ a s,AE B AE S T AE DX AE S
abastaríamos,a b a s t a ɾ i a m o s,AE B AE S T AE DX IH AE M OH S
abastas,a b a s t a s,AE B AE S T AE S
abastaste,a b a s t a s t e,AE B AE S T AE S T EH
abaste,a b a s t e,AE B AE S T EH
abastemos,a b a s t e m o s,AE B AE S T EH M OH S
abastes,a b a s t e s,AE B AE S T EH S
abastionada,a b a s t j o n a d a,AE B AE S T Y OH N AE D AE
